 	n	g	ó	o	y	a	b	í	s	í	á	t	ώ	i	a	s	ω	s	ω	n	g	ω	m	i	b	í	a	d	í	i	</S>
notre	0.0384357	0.0147098	0.0068948	0.0038269	0.0027419	0.00255856	0.00238112	0.0170287	0.0329499	0.089486	0.0975013	0.173136	0.159134	0.0957408	0.0370593	0.0191141	0.0140339	0.0137535	0.0140383	0.0180845	0.014862	0.012431	0.0156328	0.00741201	0.0119348	0.00812978	0.0118224	0.0124489	0.0163735	0.0197656	0.016578
maman	0.257064	0.248653	0.201496	0.136202	0.0789877	0.0442654	0.00859901	0.00323105	0.00178343	0.00205137	0.00154656	0.000205634	0.000231536	0.000110644	0.000216823	0.00023408	0.000234909	0.000418107	0.000732908	0.000873534	0.00212856	0.00226864	0.00231151	0.00172973	0.00113481	0.00113134	0.000834297	0.000663525	0.0003844	0.00016742	0.000107907
a	0.018393	0.0260095	0.0372029	0.0266171	0.0405912	0.0623124	0.0859976	0.0745341	0.0581854	0.0429223	0.0546273	0.0454144	0.0344086	0.0201727	0.0165645	0.0140052	0.0180619	0.02419	0.033321	0.026825	0.0329888	0.0371645	0.0219016	0.0265589	0.0281465	0.0219941	0.0137684	0.0151492	0.0155483	0.0169003	0.00952312
ramassé	0.0282083	0.0142617	0.0193529	0.0247195	0.016234	0.0126244	0.0126342	0.0152617	0.0163733	0.0209934	0.0170243	0.0264555	0.0237739	0.028064	0.026522	0.0281873	0.0202541	0.0267608	0.0436681	0.0395878	0.0415435	0.0429047	0.046844	0.0468367	0.0427096	0.0526608	0.0393998	0.0367488	0.0417165	0.0602734	0.087401
les	0.0270357	0.0114439	0.00933238	0.0170655	0.0151453	0.0123403	0.0106961	0.0161769	0.0272155	0.0388157	0.0347314	0.0314553	0.0300317	0.0341069	0.0307735	0.0311871	0.0324556	0.0353864	0.0376503	0.0348807	0.0533762	0.0430122	0.0594098	0.056595	0.0633215	0.0458173	0.0255287	0.0231659	0.0289264	0.0341311	0.0487898
champignons	0.00786482	0.00601879	0.00590113	0.00618697	0.00655561	0.00625238	0.00506302	0.00598857	0.00804969	0.0114096	0.00675345	0.00835935	0.00828504	0.0162471	0.0216352	0.0290416	0.034873	0.0417244	0.052957	0.0569801	0.0735827	0.0610592	0.0869933	0.0838216	0.0919813	0.0768237	0.0542406	0.0378281	0.0347653	0.0194455	0.0333119
sur	0.0151376	0.0113448	0.0105674	0.0105801	0.0119959	0.0118315	0.0117935	0.0105	0.0110811	0.0145526	0.0107861	0.0136423	0.0101237	0.0119342	0.0191192	0.0295016	0.0348748	0.0414188	0.0573739	0.052334	0.0538714	0.0669026	0.0328127	0.0655534	0.0401427	0.066723	0.0437641	0.0540117	0.0571082	0.0473807	0.0712363
ce	0.0244256	0.0184322	0.018186	0.0194546	0.0203564	0.0204745	0.0145817	0.0105269	0.010891	0.0129131	0.00633135	0.00510858	0.00432191	0.00530066	0.00622144	0.00771829	0.011532	0.0116043	0.0211492	0.0218069	0.0296459	0.0486076	0.0615127	0.0765076	0.0815965	0.09835	0.0609797	0.0528884	0.0596231	0.057468	0.101484
palmier-là	0.0245462	0.0152844	0.0149799	0.0149573	0.0128776	0.00809809	0.00327474	0.00390823	0.00516235	0.00606153	0.00401143	0.00445656	0.00470531	0.00981598	0.0146467	0.0201628	0.0277014	0.0291751	0.0417403	0.0363273	0.0378357	0.043286	0.0315138	0.0607517	0.0446133	0.0902715	0.0646253	0.0687373	0.0791935	0.0690765	0.108202
</S>	0.0502364	0.0231462	0.0277057	0.0309389	0.0283701	0.0252614	0.0259849	0.0105411	0.00739663	0.00554328	0.00428251	0.00433792	0.00526454	0.0092629	0.0107164	0.0160622	0.0128084	0.0154916	0.0288077	0.0309613	0.049005	0.0597149	0.0678697	0.0623906	0.0601376	0.0500797	0.034232	0.0357791	0.0380323	0.058583	0.111056
