 	a	m	b	o	r	a	á	d	i	s	ó	b	é	é	m	ú	n	g	á	i	d	i	m	ó	m	ú	a	a	b	v	a	k	a	á	</S>
il	0.058064	0.0525057	0.0762423	0.0684367	0.0597616	0.0321777	0.0416822	0.0283351	0.0271619	0.0245237	0.0237449	0.0277812	0.0415119	0.0314819	0.0317967	0.0427563	0.0329162	0.0345966	0.0481769	0.0350852	0.0141839	0.00930634	0.0125506	0.00563554	0.00918375	0.00579238	0.0073771	0.0138868	0.016206	0.0175166	0.0189153	0.0152948	0.0134011	0.0130866	0.00892489
y	0.019948	0.0387748	0.0568524	0.0386663	0.0434637	0.0262351	0.0456945	0.0379468	0.0585814	0.0664767	0.0671981	0.110629	0.078745	0.0528301	0.0460817	0.0372986	0.021539	0.0294036	0.0222935	0.00604944	0.00743623	0.00881527	0.00791503	0.00548591	0.00664679	0.00314872	0.00540767	0.0049286	0.00673722	0.00460451	0.0054153	0.0065675	0.00693259	0.00657615	0.00867509
a	0.0134954	0.0147376	0.00751887	0.00803104	0.00479609	0.0109663	0.0148816	0.0351902	0.0315984	0.0463029	0.060067	0.0854191	0.124839	0.111428	0.0882338	0.052637	0.0448377	0.0345677	0.0347735	0.044275	0.0205771	0.0301346	0.00916478	0.00786836	0.00761136	0.00672195	0.00759016	0.00650049	0.00561705	0.00581893	0.00587311	0.00495067	0.00582807	0.00332226	0.00382568
des	0.0128912	0.0225735	0.0177796	0.0178863	0.0196467	0.0266818	0.0325526	0.0416373	0.0293025	0.0347487	0.0592026	0.0730071	0.0688628	0.0606527	0.0548632	0.0390022	0.0450455	0.0316472	0.0307492	0.0305105	0.0215654	0.0326416	0.0262768	0.0292308	0.0377868	0.023422	0.0161689	0.0104256	0.00540339	0.00561583	0.00543583	0.00472216	0.00685123	0.00924262	0.0159681
punaises	0.019389	0.0237706	0.0160136	0.0162772	0.0159615	0.0201504	0.0254582	0.0363538	0.033466	0.0496952	0.0704457	0.0537985	0.0690331	0.0428209	0.0531803	0.037459	0.0647983	0.0494822	0.0397841	0.04643	0.0212712	0.0184389	0.017403	0.0172828	0.0209699	0.0193912	0.020252	0.0125901	0.0111794	0.0103603	0.00729862	0.00780284	0.00786963	0.00479914	0.0193232
dans	0.0152276	0.0120137	0.00878062	0.0118593	0.0173571	0.0170721	0.0232593	0.0215655	0.0384566	0.0686106	0.057239	0.0850799	0.0706199	0.0689882	0.0436331	0.0428929	0.0374677	0.0265633	0.0221905	0.0296752	0.0135709	0.0203273	0.0114143	0.0106276	0.00911038	0.0114312	0.0106839	0.0174382	0.0138885	0.020107	0.0238472	0.0221199	0.031225	0.0214533	0.0442033
le	0.0239281	0.0217116	0.0214378	0.0254824	0.031003	0.0280844	0.0349997	0.027413	0.0359574	0.0319714	0.0329642	0.049023	0.0454658	0.0418456	0.0406394	0.0352476	0.0449273	0.0429428	0.0309056	0.0224324	0.00726784	0.01289	0.0138354	0.0218145	0.0263608	0.0128601	0.0139854	0.0152586	0.0152181	0.0205002	0.0221136	0.0185282	0.0285687	0.0231043	0.0793117
lit	0.0195681	0.0173023	0.0134882	0.0181582	0.0245129	0.0168897	0.0163652	0.0120795	0.0175257	0.0217	0.0243274	0.030384	0.0321612	0.0232604	0.0232059	0.019198	0.0212615	0.0166241	0.0189523	0.0248293	0.0204929	0.0201858	0.0196094	0.0236556	0.0243571	0.0209782	0.0214541	0.0240731	0.0324077	0.0259445	0.0393348	0.0446747	0.0786399	0.0597986	0.1326
je	0.0402519	0.0396054	0.0388774	0.0353899	0.0329777	0.020714	0.0285458	0.0126517	0.0208077	0.0340406	0.0325609	0.0600482	0.0509974	0.0400877	0.0227609	0.0209116	0.0120914	0.0117255	0.00671553	0.00984417	0.0118303	0.0255545	0.0153866	0.0144355	0.0109838	0.00840291	0.0072458	0.0170164	0.00885923	0.0119446	0.0282982	0.0349868	0.0394937	0.054687	0.139269
ne	0.0898556	0.0631531	0.0537697	0.0357157	0.0247281	0.00927672	0.0110333	0.00607688	0.0114033	0.0126396	0.0189034	0.0245814	0.0260374	0.0217231	0.0167497	0.0156149	0.0126542	0.0187412	0.0113852	0.0100827	0.00920177	0.0264109	0.0306763	0.0253362	0.0174975	0.0171648	0.0161886	0.0226471	0.0143859	0.0146901	0.02643	0.026493	0.0468607	0.0682617	0.14363
vais	0.146457	0.105746	0.068369	0.0517192	0.0253399	0.0104523	0.00788387	0.00658354	0.00838125	0.0105624	0.017525	0.0166209	0.0226184	0.0164653	0.015471	0.0143506	0.0218169	0.0232358	0.0147352	0.0136534	0.0123852	0.0237836	0.0325721	0.0264368	0.0186133	0.0133748	0.0125492	0.0123813	0.0100801	0.0127975	0.0152906	0.0166045	0.0378315	0.0447715	0.0925409
pas	0.0483648	0.0495215	0.0456205	0.0398291	0.0235023	0.0208221	0.0139586	0.0109076	0.0116778	0.0111728	0.0208471	0.0207078	0.0217223	0.015356	0.0132367	0.0111518	0.0189655	0.0268694	0.0104272	0.0127093	0.0106215	0.0204932	0.0211765	0.0199234	0.0162592	0.0175292	0.0144831	0.0220647	0.0256787	0.0284846	0.0481888	0.0463366	0.0638712	0.0629402	0.134579
dormir	0.0431035	0.0475835	0.0353673	0.0274365	0.0160314	0.0162343	0.0119964	0.0104572	0.0104059	0.00974981	0.0165908	0.0163491	0.0177684	0.0134838	0.0113263	0.0105745	0.0162531	0.0247226	0.00994503	0.0114967	0.0117615	0.0213247	0.0317759	0.0285843	0.0184499	0.0193959	0.0176759	0.0252784	0.0285535	0.036753	0.0515919	0.048989	0.0609464	0.0708863	0.151157
dedans	0.0345091	0.0369793	0.0278793	0.0223156	0.0199798	0.02083	0.0174523	0.0147146	0.0159686	0.0146106	0.0190563	0.0211508	0.022603	0.0168221	0.0145412	0.0126743	0.0211507	0.0264777	0.012788	0.0150949	0.00958514	0.0245707	0.0328115	0.0315378	0.0258797	0.0225301	0.0251287	0.0284381	0.0307668	0.043051	0.0483177	0.0437147	0.0536497	0.0565446	0.115876
</S>	0.0353481	0.0349339	0.03077	0.0282415	0.0275297	0.0240356	0.0161538	0.010696	0.0123974	0.0107646	0.0122126	0.0149365	0.0136449	0.00916435	0.0087748	0.00673668	0.0112011	0.0126323	0.00787953	0.00693115	0.00738402	0.0141368	0.0183636	0.0246081	0.0201795	0.0210174	0.0215863	0.0240222	0.0301693	0.0447068	0.0482447	0.0540725	0.0784498	0.0910072	0.167067
