 	n	g	w	ε	b	ó	l	á	a	l	έ	έ	t	s	έ	s	i	</S>
la	0.0593619	0.0860978	0.0352422	0.0118716	0.00688117	0.0125284	0.0324955	0.0520514	0.0830175	0.0911913	0.114659	0.155354	0.0857307	0.0671973	0.0421139	0.025477	0.0184383	0.0202916
panthère	0.191489	0.0981804	0.133127	0.336027	0.14645	0.0602399	0.0192139	0.00513871	0.00457463	0.00136861	0.000719442	0.000496889	0.000376229	0.000604908	0.00074194	0.000750658	0.000334094	0.000166788
est	0.0272928	0.0293707	0.0253047	0.0598421	0.0748717	0.117356	0.112197	0.130611	0.126892	0.0999835	0.0549607	0.0342472	0.0300253	0.0258589	0.0200078	0.0153959	0.00750678	0.00827473
à	0.0433276	0.0416069	0.0666804	0.0867934	0.0547779	0.0422969	0.0451843	0.0384338	0.0499932	0.0338133	0.0467873	0.0577202	0.0681536	0.066089	0.0528978	0.0490973	0.07237	0.0839771
l'	0.135734	0.0260236	0.0164665	0.0328848	0.0188249	0.0205384	0.0229385	0.0394079	0.026575	0.0268379	0.0297931	0.0325009	0.047431	0.0634496	0.0965452	0.130648	0.109121	0.12428
affût	0.0222722	0.0163768	0.0133763	0.0141273	0.0111705	0.0132082	0.0210322	0.0308766	0.0265574	0.0320783	0.0399332	0.0461414	0.073522	0.109132	0.112928	0.12323	0.129799	0.164239
de	0.035556	0.0291826	0.0265059	0.0274997	0.0233113	0.0297705	0.0360453	0.0343889	0.0487864	0.050044	0.0658578	0.0838778	0.0798378	0.0798795	0.0715892	0.0762304	0.0811978	0.120439
la	0.0231971	0.0191085	0.0185035	0.0246442	0.0302009	0.0343812	0.0333596	0.0269052	0.0441198	0.0345437	0.0263911	0.0392246	0.0393064	0.0653198	0.115804	0.137772	0.13269	0.154528
gazelle	0.0525564	0.0308797	0.0278976	0.035999	0.0271615	0.0311211	0.0301532	0.0231911	0.0570214	0.0387345	0.0520342	0.0633856	0.0516039	0.0531885	0.0559591	0.0641573	0.10332	0.201636
</S>	0.227645	0.0516472	0.0329487	0.0435614	0.019483	0.0182616	0.0149843	0.0169088	0.0281648	0.0217297	0.0306479	0.0419613	0.044223	0.0460236	0.0737977	0.0762898	0.0815335	0.130188
