 	o	k	w	ώ	n	i	s	i	b	í	s	í	o	s	í	n	á	á	d	z	e	n	ω	</S>
c'	0.0171225	0.0181797	0.0185919	0.0124272	0.012509	0.0133189	0.0194946	0.020223	0.0327237	0.0542429	0.0653179	0.0705274	0.0688487	0.066387	0.0650979	0.113046	0.0959193	0.0743124	0.0398198	0.0153824	0.0168032	0.0200172	0.0267336	0.0429537
est	0.100787	0.0858175	0.0574482	0.056409	0.0591745	0.139738	0.0896584	0.0698354	0.0448105	0.0259171	0.0237676	0.0113422	0.0122742	0.0268715	0.0200661	0.0173063	0.0106766	0.0101527	0.0117194	0.0188133	0.0166372	0.0263664	0.0289284	0.0354831
toi	0.0190688	0.0165218	0.0126392	0.0131695	0.00520931	0.00539577	0.00746483	0.00372658	0.00365691	0.0075062	0.00966425	0.00832685	0.00787448	0.00542163	0.00936091	0.0159935	0.0274364	0.0698374	0.0889993	0.161936	0.169672	0.157207	0.10903	0.0648804
qui	0.0202214	0.0187828	0.0329277	0.0324412	0.0366665	0.0290362	0.034652	0.0145919	0.015141	0.0140246	0.0132695	0.00792119	0.014269	0.0203619	0.0601568	0.0594381	0.0893792	0.0804757	0.06018	0.0638962	0.0776914	0.0470523	0.046012	0.111411
nous	0.0520225	0.0447201	0.0554765	0.0684632	0.0712783	0.0537986	0.0358369	0.0128027	0.0148862	0.0118314	0.015923	0.00932727	0.0166158	0.0383434	0.0502877	0.0815812	0.0633301	0.0486511	0.0210033	0.0151944	0.0177841	0.0251636	0.053717	0.121962
a	0.0806691	0.0994228	0.076195	0.0751626	0.0650204	0.0536638	0.0744269	0.0440853	0.0432433	0.0367932	0.0406987	0.0229496	0.0223499	0.0221936	0.0191231	0.0296451	0.0240817	0.0247752	0.023048	0.0195516	0.0192916	0.0126288	0.0160157	0.0549648
fait	0.133616	0.139778	0.0593859	0.0887896	0.0841709	0.0626098	0.0336625	0.0273387	0.0368507	0.0179705	0.0214995	0.0161419	0.020204	0.0143847	0.0135288	0.0228394	0.0160654	0.0178583	0.0209715	0.0208211	0.011174	0.0187356	0.0280051	0.0735982
rater	0.221757	0.110167	0.0419788	0.0481086	0.0326457	0.0266137	0.0132801	0.0122893	0.0137831	0.0112298	0.0156151	0.0153526	0.0179551	0.0119044	0.0139671	0.0164824	0.0182573	0.0312321	0.0329255	0.0454265	0.0383112	0.0560242	0.0522619	0.102431
le	0.129634	0.080501	0.0455091	0.0348537	0.0102584	0.00837671	0.00471586	0.00602501	0.0072412	0.00702302	0.00911478	0.0132023	0.00848484	0.00349579	0.00286091	0.00317633	0.006043	0.0128348	0.0175184	0.0626675	0.058983	0.0966178	0.14677	0.224093
voyage	0.181397	0.0940467	0.058099	0.0331379	0.0127939	0.0115286	0.0120976	0.0114359	0.0133322	0.0248612	0.0277176	0.0167341	0.0105693	0.00732184	0.00561196	0.00645926	0.00800497	0.00736386	0.0100289	0.0194603	0.0228358	0.0270007	0.0811701	0.296991
</S>	0.0950457	0.0738438	0.0485895	0.0390278	0.0259738	0.0280219	0.0220787	0.015344	0.0153247	0.0103832	0.00823346	0.00900584	0.00982846	0.00818987	0.0072623	0.00723019	0.0130517	0.0171954	0.0359719	0.0726225	0.0807002	0.0756089	0.108155	0.173311
