 	e	k	a	n	d	í	l	í	y	é	é	k	a	n	d	á	w	a	o	y	ú	r	u	w	ó	y	é	e	s	ε	r	έ	i	b	h	ώ	ω	</S>
sa	0.0152069	0.00963956	0.0162037	0.0133364	0.0131178	0.00740269	0.00779212	0.0144988	0.0202758	0.0269085	0.0334915	0.0437482	0.081397	0.108558	0.13709	0.0578312	0.0372542	0.0252132	0.0127223	0.013599	0.012935	0.0236284	0.0136377	0.0150078	0.0111196	0.0176277	0.0175646	0.0277488	0.0145007	0.0191941	0.0178755	0.0253907	0.0176442	0.0166051	0.0126705	0.011267	0.012791	0.0175052
manière	0.00719463	0.0122099	0.018976	0.0134589	0.00800738	0.0191285	0.0216124	0.0147922	0.0108532	0.0227547	0.0191448	0.0334009	0.0326512	0.0572347	0.0855015	0.038292	0.0353214	0.0429586	0.0492319	0.11093	0.0968786	0.0302288	0.0493052	0.0184284	0.0245256	0.0207894	0.0125089	0.00686051	0.00973081	0.00806988	0.0100368	0.0129215	0.0189408	0.0116946	0.00754943	0.00450187	0.00204192	0.0013316
de	0.223016	0.105514	0.0587773	0.0666438	0.045105	0.0371818	0.0288689	0.0189397	0.0157783	0.0177047	0.0170527	0.0160358	0.0116626	0.00826596	0.0132663	0.011998	0.0137713	0.011743	0.0172954	0.0129322	0.0145149	0.0128479	0.0208549	0.0162002	0.0161381	0.0127628	0.00897546	0.0113185	0.0152541	0.0109287	0.0103431	0.0100445	0.0126812	0.0110041	0.0103494	0.0138423	0.0223452	0.0180426
respecter	0.0506231	0.091727	0.160151	0.0836677	0.0644229	0.0275326	0.0185194	0.0160891	0.0243663	0.0451161	0.0245023	0.0247938	0.0155817	0.0111381	0.0127429	0.0104477	0.0171462	0.0133507	0.0198859	0.0458719	0.0241694	0.0207828	0.0389515	0.0289698	0.0149149	0.00840748	0.00410386	0.00375463	0.00380175	0.00418101	0.0035593	0.00359795	0.00340923	0.00377606	0.00405367	0.00514946	0.00873332	0.0380071
cette	0.0384633	0.0538394	0.0598268	0.0469792	0.044759	0.0347264	0.011861	0.0152303	0.0165983	0.0355468	0.0287539	0.0237239	0.0206796	0.0179462	0.0303781	0.0227233	0.0163983	0.0228605	0.0451044	0.0421749	0.0260475	0.0240401	0.0255506	0.021188	0.0107202	0.0135185	0.0088455	0.0103026	0.00954275	0.00908999	0.0110913	0.0107905	0.0101554	0.0131139	0.0126414	0.0174505	0.0320009	0.105337
femme	0.0195769	0.0328477	0.0602248	0.0678195	0.103675	0.0763336	0.0471977	0.0419295	0.0300681	0.0308678	0.0282808	0.0280296	0.0136593	0.0149065	0.0123913	0.0133669	0.00654067	0.0073622	0.0118769	0.0183106	0.0179224	0.0198842	0.0281023	0.0236412	0.0160784	0.0126537	0.0124118	0.00884281	0.00725989	0.00769534	0.00827775	0.0103189	0.0133435	0.0139434	0.0157479	0.0174974	0.0249854	0.0761278
cache	0.0708001	0.0605056	0.0275753	0.0300757	0.0305885	0.0515803	0.0473967	0.031265	0.0181617	0.012003	0.0120886	0.0110179	0.00888141	0.00766642	0.00663676	0.0078472	0.00548071	0.00658598	0.0115764	0.0158423	0.0123432	0.0143448	0.0138566	0.0150512	0.0170111	0.0136804	0.014543	0.0151737	0.0157626	0.014561	0.0189976	0.0232952	0.0235662	0.0313557	0.0429465	0.0485331	0.0720832	0.119319
quelque	0.0723778	0.109059	0.0647048	0.059913	0.0442105	0.0308267	0.0243177	0.015153	0.0125381	0.0142029	0.0139395	0.0116986	0.0128562	0.00875558	0.0114697	0.00886085	0.00643916	0.0108493	0.0142514	0.0158849	0.00865965	0.014232	0.0104181	0.0121028	0.00724018	0.00954182	0.00542545	0.00563845	0.00522619	0.00596701	0.00894662	0.0101303	0.0079849	0.015856	0.0243158	0.0353548	0.0703783	0.180272
chose	0.078843	0.0953848	0.0957861	0.0496766	0.0274853	0.0142861	0.0184603	0.0106754	0.0106109	0.00935035	0.00808279	0.00735219	0.00698373	0.00633305	0.00927924	0.00609724	0.0072324	0.014037	0.0145115	0.0116014	0.00941162	0.0129932	0.00777232	0.0162595	0.0120185	0.019894	0.0101294	0.00999414	0.0119418	0.0151741	0.0174262	0.0174033	0.016362	0.0245624	0.0370188	0.0539516	0.0741605	0.131457
</S>	0.0516035	0.0511196	0.0449469	0.0397942	0.024561	0.0166321	0.0174068	0.0146537	0.015138	0.0180447	0.0175306	0.0144276	0.0166813	0.00862773	0.014925	0.00831568	0.00716104	0.0167355	0.0227876	0.0130165	0.00874684	0.0245988	0.00902741	0.0135051	0.010058	0.016357	0.0161716	0.0155219	0.0117005	0.0151631	0.0176465	0.0181527	0.0151794	0.0300952	0.0470891	0.0596101	0.0733938	0.163874
