 	i	f	i	a	b	á	a	p	á	á	m	ó	o	t	ó	m	b	á	</S>
on	0.0717778	0.02649	0.0302987	0.0554532	0.0703036	0.0265898	0.0480155	0.0477526	0.058883	0.0537106	0.0585021	0.0617218	0.0631716	0.0621379	0.0553031	0.0550968	0.0563225	0.06592	0.0325494
fabrique	0.0247876	0.0454411	0.034569	0.0443426	0.0620341	0.0917546	0.0874033	0.0922833	0.0971694	0.0742183	0.0952534	0.123128	0.0570788	0.0308815	0.0157378	0.00870936	0.00376929	0.00470243	0.006736
le	0.0084509	0.0328401	0.0278163	0.0200831	0.0270011	0.0707546	0.0769871	0.080629	0.0570609	0.0471767	0.0473572	0.0584673	0.0621813	0.0542527	0.0618544	0.0794778	0.0698197	0.074129	0.043661
masque	0.0284783	0.0538043	0.0646724	0.0368936	0.0652275	0.157639	0.0688932	0.098616	0.0783347	0.0828455	0.104301	0.0457998	0.0298471	0.0137314	0.0112421	0.00898251	0.0156243	0.0141384	0.0209289
avec	0.0727321	0.0522824	0.0396527	0.0355086	0.0420794	0.0681728	0.0585774	0.0743792	0.0537411	0.0409947	0.021065	0.015419	0.0212261	0.0254966	0.034059	0.0491331	0.0625295	0.0739057	0.159046
le	0.0296479	0.0361276	0.0315091	0.0367078	0.0336657	0.0481359	0.0429104	0.0483158	0.038683	0.0403676	0.0476517	0.0411924	0.0440419	0.0500462	0.0747083	0.0809364	0.103751	0.080632	0.0909692
bois	0.0322448	0.0396795	0.0318921	0.0356133	0.0373927	0.0511169	0.0404253	0.0458071	0.0430384	0.0471091	0.0583906	0.0622561	0.0764697	0.0645564	0.0705912	0.068559	0.0587623	0.0576142	0.0784813
qu'	0.0231472	0.0289828	0.0296434	0.0380092	0.0387337	0.0508353	0.0464022	0.0633677	0.0624432	0.0646895	0.08531	0.0902208	0.103449	0.0792092	0.0456607	0.0330436	0.0232907	0.0239973	0.0695647
on	0.0726323	0.0864181	0.080587	0.0620181	0.0440336	0.0457953	0.0461249	0.0471065	0.0496829	0.048462	0.0509054	0.0536397	0.0568418	0.0541152	0.0425164	0.0381224	0.0284285	0.028536	0.0640338
appelle	0.151212	0.130581	0.109956	0.0707046	0.0585833	0.0393589	0.0181207	0.0139759	0.014832	0.0138138	0.0144562	0.0186409	0.0203544	0.0201286	0.0168807	0.0264073	0.0296919	0.0546817	0.17762
otombá	0.107587	0.0856967	0.0843007	0.0605351	0.0408582	0.0523417	0.0224877	0.017468	0.0193035	0.0193882	0.0346534	0.0509094	0.0426485	0.0392177	0.0284709	0.0324749	0.0274424	0.0459464	0.18827
</S>	0.0810402	0.0883805	0.0833494	0.0542475	0.0344064	0.0375591	0.0247718	0.0233998	0.0279495	0.0289513	0.0302215	0.0357585	0.0404537	0.0384196	0.0435423	0.057853	0.0431626	0.061897	0.164636
