 	i	k	a	n	g	o	b	á	a	s	é	á	m	á	b	v	ú	l	a	b	v	ú	</S>
ce	0.0442692	0.0767286	0.0336284	0.0122809	0.00940482	0.0123994	0.0259259	0.0399992	0.0542046	0.0831358	0.084055	0.0942703	0.0886161	0.0770052	0.060144	0.0376145	0.0346451	0.0341862	0.0304063	0.021933	0.0143037	0.0169256	0.0139182
qui	0.0656553	0.0352834	0.0339633	0.0508805	0.0447024	0.0618746	0.0425661	0.0425818	0.0648172	0.0865769	0.0636025	0.0418945	0.0375196	0.0461265	0.0610892	0.0378115	0.0402913	0.0506395	0.0335254	0.0367176	0.0140075	0.00300615	0.00486721
fait	0.0342659	0.020901	0.0199861	0.0179578	0.0316593	0.0265662	0.0227673	0.0325998	0.0332393	0.0444808	0.0568728	0.0668113	0.0735481	0.0821538	0.0887499	0.0750361	0.0883254	0.0669885	0.0381214	0.029628	0.0200602	0.0188634	0.0104176
le	0.0347251	0.0450765	0.0688487	0.0821705	0.0580148	0.0511577	0.0404381	0.0348072	0.045624	0.0236182	0.0321044	0.0247516	0.0259726	0.0227614	0.0154525	0.0207908	0.0285145	0.0228042	0.0268779	0.0454835	0.0604313	0.0773613	0.112213
rythme	0.0406161	0.0315869	0.0334029	0.0541236	0.0485581	0.0241561	0.0147665	0.0204986	0.0230059	0.0193577	0.0257265	0.0220693	0.0247171	0.0279194	0.0366843	0.0661229	0.0851693	0.0758448	0.0818815	0.0753474	0.0635632	0.042766	0.0621157
dans	0.0697398	0.0358389	0.017348	0.02045	0.0209951	0.0224186	0.0328899	0.0289873	0.0255589	0.0237898	0.0398772	0.0341582	0.0289659	0.0151733	0.0152024	0.0171682	0.0259574	0.0303053	0.0554555	0.0531146	0.0552856	0.126826	0.204494
la	0.0336616	0.0257107	0.0211402	0.0244857	0.0295006	0.0287076	0.0198558	0.015457	0.0148667	0.0138053	0.0146676	0.0195818	0.0181235	0.0181573	0.0207638	0.0236507	0.0464323	0.0676575	0.0870469	0.102426	0.117614	0.117949	0.118738
danse	0.0483338	0.0483397	0.0574472	0.054572	0.0513926	0.0467792	0.0305812	0.0127726	0.0105975	0.00621516	0.00834933	0.00483109	0.00534878	0.00547583	0.00637742	0.0169959	0.0179145	0.0185096	0.0207304	0.0471122	0.0872948	0.130946	0.263083
ikango	0.104757	0.0703666	0.0606776	0.0516157	0.0491584	0.0240489	0.0129579	0.00632161	0.00496739	0.00357959	0.00427272	0.00294125	0.00347803	0.00365777	0.00470205	0.010644	0.0102551	0.010186	0.0140329	0.0345334	0.0959823	0.155226	0.261637
c'	0.0334741	0.0208635	0.0197537	0.0252873	0.0250233	0.0321761	0.0475849	0.0248797	0.023102	0.0165732	0.0315765	0.0137247	0.0197898	0.0139674	0.0141038	0.0182561	0.024802	0.0273775	0.0475152	0.0576034	0.0744056	0.156808	0.231352
est	0.0459516	0.0714862	0.103069	0.101788	0.0798237	0.0837346	0.0502891	0.0376561	0.037685	0.0236827	0.0248974	0.0176372	0.0223689	0.0197309	0.0144158	0.0105779	0.0133643	0.00938977	0.015598	0.0207528	0.0338574	0.0523292	0.109914
le	0.157889	0.131399	0.121071	0.0876542	0.0613799	0.0350876	0.00714329	0.00397123	0.00364226	0.0021892	0.00191021	0.00181548	0.00200703	0.0033952	0.00676622	0.0175757	0.0235503	0.0267795	0.0252144	0.0309225	0.0585337	0.0452198	0.144884
son	0.0561106	0.114025	0.159663	0.143589	0.118708	0.0334401	0.0181796	0.0188057	0.0182014	0.0104698	0.00772458	0.00671046	0.00553708	0.00655648	0.00790818	0.0108107	0.0157061	0.0186288	0.0224498	0.0312956	0.0397789	0.0489423	0.0867576
doux	0.101573	0.0838651	0.0919411	0.0913349	0.0742485	0.0411249	0.0121196	0.0101457	0.0111462	0.00615836	0.00531982	0.0046367	0.00371207	0.00297308	0.00294271	0.00593246	0.00749349	0.00992492	0.00997459	0.0302387	0.066145	0.0790493	0.248
et	0.0552548	0.0456039	0.0531171	0.0537643	0.0379433	0.0268437	0.0257209	0.0228695	0.0214785	0.0152166	0.0125307	0.00964082	0.00575734	0.00378405	0.00378004	0.00772396	0.011882	0.0176527	0.0245843	0.0410752	0.0760335	0.16318	0.264563
lourd	0.0523993	0.0473828	0.0394078	0.028262	0.024734	0.0236071	0.0235979	0.0232421	0.0229414	0.0226496	0.0220558	0.0212036	0.0221083	0.0233539	0.0253136	0.0323653	0.0470859	0.052336	0.0697953	0.0587544	0.0705423	0.101191	0.14567
produit	0.0512313	0.0619932	0.0635643	0.0605429	0.0392603	0.0324457	0.0235557	0.0232398	0.0252705	0.0189943	0.0185535	0.0140843	0.0149109	0.0142781	0.012591	0.0160394	0.0222604	0.0383303	0.0627856	0.0719403	0.0794914	0.0986546	0.135982
en	0.127026	0.0646281	0.047295	0.0365094	0.0173688	0.0184712	0.0210887	0.0155639	0.0139406	0.016247	0.0194595	0.0157188	0.0173338	0.016674	0.015083	0.0187898	0.0263495	0.0369191	0.0544355	0.0686114	0.0806254	0.0921206	0.159741
battant	0.0584456	0.0221033	0.0273716	0.0396611	0.033639	0.0176091	0.00741969	0.00472257	0.00490797	0.00416866	0.00351126	0.0034471	0.00376623	0.00419746	0.00742478	0.018465	0.0425271	0.0638419	0.0913068	0.08571	0.0954331	0.144965	0.215355
les	0.114713	0.0894121	0.0570276	0.0290823	0.0181175	0.0150465	0.0175067	0.0131738	0.011031	0.0104392	0.0120621	0.0100425	0.0111364	0.0111014	0.0157078	0.0177187	0.0215524	0.0342942	0.0440286	0.0781604	0.0923095	0.128253	0.148083
mains	0.079613	0.0314917	0.0338482	0.0564757	0.0461443	0.027825	0.0127899	0.00880409	0.00902405	0.00825209	0.00509465	0.00449168	0.00488221	0.00543343	0.00836683	0.0117694	0.0155561	0.0223642	0.049486	0.0649917	0.0802268	0.160033	0.253036
</S>	0.0827271	0.0545913	0.0336323	0.0280622	0.0190723	0.020035	0.0167104	0.0114239	0.0106533	0.00801246	0.00672753	0.00598068	0.00883573	0.0116576	0.0203352	0.0251665	0.0284161	0.0417947	0.0533024	0.0655709	0.079464	0.171774	0.196055
