 	d	z	w	a	á	o	y	e	b	h	é	r	á	m	w	ε	n	έ	w	á	r	e	o	b	a	é	m	ó	o	b	á	n	d	á	i	m	b	y	é	n	g	í	</S>
va	0.031782	0.00960451	0.0124191	0.0230645	0.100457	0.052174	0.0602078	0.070577	0.0407433	0.0552905	0.0404145	0.0359898	0.0291205	0.0259562	0.0333962	0.0264539	0.0165288	0.0322944	0.0208227	0.0198077	0.0144538	0.00478354	0.00882877	0.0124718	0.00945777	0.00802932	0.00911997	0.00739306	0.00488409	0.00955324	0.00932243	0.0106536	0.0108808	0.0119731	0.0169665	0.0129359	0.012786	0.0156454	0.0115525	0.0126487	0.0154066	0.0154984	0.0176507
avertir	0.0327925	0.043117	0.0347316	0.0317973	0.0256677	0.0237198	0.0390486	0.047326	0.0383421	0.0523434	0.0384552	0.0536977	0.0764364	0.0493779	0.0717646	0.0741597	0.0717427	0.0476695	0.0304148	0.0288091	0.016814	0.0134035	0.0145879	0.00620495	0.00291592	0.00163819	0.00158381	0.00135633	0.000549779	0.000796982	0.00081326	0.000844789	0.00178623	0.00172481	0.00188275	0.00243328	0.00212724	0.0020502	0.00250602	0.00227868	0.00233614	0.00343982	0.00451146
le	0.0166289	0.0364973	0.0432024	0.02145	0.0183382	0.0231482	0.0273868	0.0226411	0.0206788	0.0254448	0.0208968	0.0137881	0.0168205	0.0346944	0.0214131	0.0234763	0.0204822	0.0255342	0.0318198	0.0442845	0.035743	0.0251419	0.0226381	0.0509429	0.0416684	0.0274479	0.0241614	0.0266341	0.0125784	0.0116219	0.0119922	0.0103705	0.0113559	0.0101324	0.0137908	0.0207502	0.0136318	0.0153774	0.0206053	0.0177285	0.0222671	0.0288108	0.0159825
notable	0.00757216	0.0186624	0.0274188	0.0193385	0.0234143	0.0299932	0.0397743	0.0426671	0.0317447	0.030653	0.0209025	0.0506088	0.0234804	0.0323323	0.0664712	0.0460411	0.0581299	0.0265989	0.0236524	0.024165	0.0336546	0.0249745	0.0188041	0.0189769	0.0109368	0.0124976	0.00757866	0.00521134	0.00438446	0.00618399	0.00439407	0.00747735	0.0120329	0.0166898	0.0245434	0.029444	0.01881	0.0266706	0.0123277	0.0067827	0.0122398	0.0162382	0.0255254
que	0.00740885	0.00743528	0.00525022	0.00546898	0.00618246	0.00901951	0.00897386	0.0111371	0.0143501	0.0136413	0.0151773	0.0143622	0.0238127	0.0240866	0.0228356	0.0348609	0.0342967	0.0351048	0.0250285	0.0380452	0.0339875	0.0580889	0.0408872	0.0438188	0.0331745	0.0326989	0.0293556	0.0337558	0.0346877	0.0266529	0.0238219	0.0212581	0.0160301	0.0190027	0.0154148	0.0114907	0.0116006	0.0185255	0.019644	0.02078	0.028893	0.0288262	0.0411263
le	0.00452348	0.00815375	0.00871531	0.00534935	0.008413	0.00844163	0.00780249	0.00864818	0.0105669	0.0102247	0.0130342	0.0137398	0.0177681	0.0196232	0.0287691	0.0334338	0.0438971	0.052399	0.0431426	0.0465481	0.0294334	0.0599428	0.0406054	0.0426197	0.0425458	0.0419696	0.0489369	0.0412088	0.0480719	0.0220354	0.0253173	0.00944475	0.0138958	0.0120256	0.00859617	0.00619476	0.00687496	0.0113557	0.012244	0.0161817	0.0190077	0.0255413	0.0227571
recensement	0.0106511	0.0113202	0.0101253	0.00864443	0.011336	0.0129574	0.012031	0.013238	0.0120923	0.0111359	0.0111608	0.0129309	0.0143679	0.0123502	0.0148119	0.0169551	0.0149197	0.0112874	0.0094892	0.0128237	0.0142791	0.0256624	0.024624	0.039746	0.0334554	0.0542108	0.0562937	0.0623343	0.0492555	0.0417501	0.0407861	0.0181604	0.0173399	0.0137763	0.0172066	0.0118316	0.0128097	0.0242587	0.0209076	0.0322337	0.0439503	0.0464984	0.0540008
commence	0.00814728	0.00807326	0.00785135	0.00635849	0.00896004	0.00997936	0.00966359	0.0100333	0.012511	0.0109851	0.0118483	0.0159524	0.0244424	0.0221023	0.026505	0.0271022	0.026134	0.0190246	0.0158028	0.0208902	0.0232777	0.0383252	0.0332002	0.0519127	0.0381729	0.0396512	0.036163	0.0514677	0.0375806	0.0341881	0.0272772	0.0123558	0.0132368	0.0126075	0.0198027	0.0182078	0.0213275	0.0232513	0.0241142	0.0254498	0.0284364	0.0365443	0.0510824
demain	0.0118037	0.0112623	0.0105858	0.00955121	0.00927099	0.00661915	0.00770061	0.00538064	0.00518028	0.00473494	0.0047005	0.00581781	0.00726447	0.00664137	0.00567028	0.00809226	0.00464749	0.00550348	0.00474347	0.0085661	0.00870841	0.0218717	0.0142593	0.0247791	0.0214102	0.0348047	0.0448156	0.0498253	0.0607633	0.0525374	0.0508492	0.0431484	0.0429447	0.0367531	0.0349595	0.0314974	0.0282518	0.0369378	0.0369211	0.0415851	0.046247	0.0451052	0.0472878
</S>	0.0239276	0.0248891	0.0213236	0.0130787	0.0120494	0.00826736	0.00969056	0.00711708	0.00525298	0.00498921	0.00485687	0.00656233	0.00795488	0.00787213	0.00979328	0.010384	0.0103735	0.0046136	0.00523417	0.0119337	0.00768842	0.0317727	0.0104721	0.016724	0.0161458	0.0240718	0.0303877	0.0506715	0.0748008	0.0545781	0.0569501	0.0287524	0.0267713	0.0201678	0.0200041	0.0175631	0.0212833	0.0241137	0.0255436	0.0347488	0.0470594	0.0544332	0.0951324
