 	l	e	k	ú	m	a	a	a	t	ú	e	m	ó	y	έ	έ	s	ε	r	έ	b	á	a	l	a	b	í	n	í	</S>
il	0.0447228	0.0257715	0.0281125	0.0276929	0.0301452	0.0320498	0.0714397	0.0600388	0.0555583	0.0553191	0.0567563	0.0390376	0.0264809	0.0274057	0.0222813	0.0236668	0.0178429	0.0190449	0.0182666	0.0187391	0.0248	0.029995	0.0225186	0.0220559	0.0216314	0.0293008	0.0320729	0.033159	0.0381275	0.0459663
faut	0.0876935	0.101027	0.0690332	0.0535008	0.0726703	0.0815537	0.0767669	0.0765486	0.0556536	0.0708649	0.0546942	0.0739364	0.0440035	0.0269571	0.00573485	0.00868617	0.00511743	0.00429873	0.00378397	0.00366669	0.00308084	0.00255973	0.00259473	0.00191144	0.00205762	0.00189953	0.00116539	0.0016436	0.00253906	0.0043562
faire	0.044341	0.0732223	0.0542233	0.0611255	0.0731448	0.0628973	0.0760672	0.0986603	0.0527195	0.0535196	0.0500048	0.051775	0.0204113	0.030491	0.0347747	0.0351968	0.025261	0.0199953	0.0131127	0.0105573	0.00978062	0.00982908	0.00604803	0.0064123	0.00483278	0.00350364	0.00633821	0.0035286	0.00381146	0.0044145
attention	0.0332905	0.0412757	0.0383505	0.0517514	0.0590247	0.0657075	0.0688857	0.0403257	0.0637791	0.0429625	0.0409609	0.0402283	0.04166	0.0493329	0.0428765	0.0450571	0.0515359	0.0428351	0.0267756	0.0238511	0.0128813	0.0101847	0.00600497	0.00668607	0.00441815	0.00540271	0.00556249	0.00758216	0.00896873	0.0218419
à	0.0348466	0.030348	0.0285683	0.0275039	0.0281816	0.0301708	0.0309672	0.0289956	0.0305002	0.0317682	0.0290079	0.0285477	0.0315925	0.0468467	0.0584391	0.0498188	0.0513079	0.0582473	0.0498895	0.0433412	0.0287406	0.0220088	0.0182619	0.0211034	0.0146615	0.0168154	0.0129037	0.0251413	0.0234779	0.0679963
ce	0.0352052	0.0284929	0.0287498	0.0294307	0.0314321	0.0298739	0.0282861	0.028776	0.0239184	0.0253623	0.0220471	0.0296371	0.0284175	0.0387204	0.0427945	0.0401208	0.0402115	0.038723	0.0362465	0.0213658	0.0255543	0.0316286	0.0317842	0.0270877	0.0261354	0.0325018	0.0280043	0.0427611	0.047663	0.0790678
que	0.035209	0.0287154	0.0270699	0.0269537	0.0276702	0.0259539	0.0233734	0.0156341	0.0114647	0.0116253	0.0118833	0.0136121	0.0156833	0.0273249	0.0390046	0.0456267	0.0555884	0.0595457	0.0475042	0.0356315	0.0307957	0.03145	0.0379835	0.0340963	0.0365792	0.0446134	0.0461645	0.0466888	0.0484108	0.058143
l'	0.0216656	0.0221133	0.0219379	0.0224079	0.0244329	0.0239345	0.028189	0.0246449	0.0191769	0.0209065	0.023792	0.0336049	0.0394773	0.0538644	0.0586876	0.0532801	0.0476475	0.046981	0.0433795	0.0285674	0.02721	0.0262274	0.028333	0.0246549	0.023389	0.0337608	0.0331392	0.0421621	0.0480754	0.0543573
on	0.14368	0.0927324	0.0887359	0.0668898	0.0219696	0.0205683	0.0135099	0.00845317	0.0129636	0.0124065	0.0116327	0.0156959	0.0128675	0.0121532	0.0107712	0.0135078	0.0147861	0.0203827	0.0258514	0.0115553	0.0169455	0.0124658	0.0226531	0.0188018	0.0203355	0.0356712	0.0294502	0.0345473	0.0313386	0.146678
vous	0.0468589	0.0379267	0.0250632	0.020402	0.0131206	0.00744611	0.00598161	0.00581683	0.00490638	0.00546048	0.0062252	0.00538721	0.00633876	0.0101083	0.0120966	0.0171359	0.0312131	0.0419554	0.0672561	0.0405961	0.0613028	0.0468151	0.0486869	0.0539102	0.0381769	0.0603075	0.0521094	0.0616765	0.0723781	0.093341
dit	0.0825864	0.05132	0.0427858	0.0394537	0.0300615	0.0145216	0.010531	0.00618087	0.00568707	0.00585049	0.00956775	0.00977703	0.0095942	0.0103291	0.0103919	0.0143099	0.0210862	0.0267163	0.0399978	0.0218607	0.0343187	0.0316733	0.0323614	0.0309683	0.028863	0.0581317	0.0387997	0.0758729	0.0963099	0.110092
</S>	0.0707201	0.0566625	0.0425574	0.0345843	0.0335713	0.026058	0.0250827	0.0251127	0.0124296	0.0151634	0.0163723	0.0210227	0.0177387	0.0267071	0.0248638	0.0295111	0.0284441	0.0351896	0.0327799	0.019988	0.0263566	0.0197187	0.0291591	0.0275735	0.0305242	0.0420725	0.0357686	0.0523987	0.0453317	0.0965373
