 	b	á	a	t	ó	n	g	á	n	d	é	e	y	á	n	y	ω	s	í	m	ó	m	y	ε	n	g	ε	</S>
on	0.180621	0.27542	0.239531	0.0603949	0.0124727	0.00973949	0.0167476	0.0159878	0.0146826	0.0105186	0.0145105	0.0141225	0.0149306	0.0128717	0.0153453	0.0155573	0.00858313	0.00795859	0.00896754	0.00747821	0.00475852	0.005487	0.00417643	0.0035872	0.00575015	0.00548201	0.00618194	0.00813609
construit	0.02853	0.0251053	0.0364611	0.0300958	0.0337157	0.0591797	0.0480982	0.0523291	0.0536922	0.0502202	0.0341655	0.0289423	0.044811	0.0446211	0.0532747	0.0437549	0.0621184	0.046506	0.0229334	0.0259169	0.0270076	0.0380272	0.0424442	0.0372025	0.0113989	0.00839375	0.00558208	0.00547227
la	0.0331458	0.0427909	0.0291012	0.0115457	0.0133121	0.0320205	0.0496079	0.0678501	0.0490968	0.0445711	0.0313614	0.0289264	0.0369362	0.0408053	0.0375811	0.0358815	0.0346627	0.0446485	0.0319948	0.0269612	0.0250181	0.0245004	0.0311474	0.0292062	0.0342727	0.0497301	0.0585514	0.0247726
cage	0.00821331	0.00980048	0.0124556	0.0145284	0.0193175	0.0435689	0.0591425	0.0929597	0.0911842	0.0629973	0.0643147	0.0499001	0.0454064	0.0447109	0.0378359	0.0400591	0.044269	0.0353785	0.0265811	0.0271619	0.0369086	0.0302475	0.0220767	0.0247728	0.0157498	0.0147747	0.0152441	0.0104406
des	0.0066941	0.00668209	0.00614189	0.00854177	0.0152043	0.0232537	0.0175088	0.0198522	0.0205904	0.0210958	0.0125267	0.0236258	0.0214468	0.0216571	0.0359478	0.0446751	0.0530077	0.0529425	0.050003	0.0495677	0.0545201	0.0361699	0.0450407	0.0483805	0.05112	0.060942	0.0642245	0.128637
oiseaux	0.0127076	0.0116553	0.0106622	0.0154813	0.0140844	0.0122754	0.00707859	0.00882637	0.0106961	0.0108743	0.0118558	0.0219174	0.0207199	0.027171	0.0539521	0.0591498	0.0544461	0.0623152	0.0715098	0.0837341	0.0821538	0.0617006	0.0531079	0.0481058	0.0491201	0.0372263	0.0405341	0.0469385
avec	0.015225	0.0157513	0.0143597	0.0160089	0.0209781	0.0272876	0.0246694	0.0305117	0.023492	0.0231188	0.0154198	0.0221354	0.0207151	0.0228335	0.0395255	0.0554798	0.0551748	0.0313685	0.0207443	0.0280523	0.0299837	0.0294036	0.0503994	0.0570741	0.0556439	0.0658293	0.079922	0.108892
la	0.02036	0.0182838	0.0185684	0.032208	0.0313533	0.021175	0.010828	0.0112781	0.0112144	0.0113513	0.00900218	0.0113692	0.0119688	0.0118011	0.0201012	0.0320583	0.0496418	0.0426115	0.0321176	0.0432726	0.0447551	0.0395525	0.0599671	0.0689829	0.0577193	0.070147	0.0732488	0.135063
partie	0.0149753	0.0125731	0.0144797	0.0134547	0.00949025	0.00420662	0.00337843	0.00455225	0.00535743	0.00542203	0.00424058	0.00758049	0.00758127	0.00931376	0.018849	0.0262375	0.0287788	0.0239369	0.0255174	0.0321875	0.0549744	0.0409164	0.0503268	0.0630064	0.0698343	0.098022	0.137635	0.213172
intérieure	0.0368974	0.0304184	0.0260597	0.0197636	0.0186021	0.0320435	0.0383448	0.0441097	0.0412819	0.0328807	0.0195545	0.0202072	0.031636	0.034522	0.0343882	0.0363947	0.0410959	0.0343564	0.0213839	0.0202011	0.0275344	0.0193967	0.031639	0.045651	0.0445842	0.0521187	0.0568804	0.108054
du	0.0354705	0.0269432	0.0162119	0.0133773	0.0205839	0.0280543	0.0355562	0.0456687	0.0423477	0.0342778	0.0204091	0.0185379	0.0300887	0.0343951	0.0374223	0.0419669	0.0476882	0.041495	0.0238296	0.0234003	0.0348822	0.0258677	0.0405819	0.0433127	0.0463206	0.0617929	0.0642995	0.0652182
bambou	0.083618	0.046595	0.0431178	0.020728	0.0163353	0.0170008	0.0199648	0.0346332	0.024854	0.0226871	0.0151672	0.0272349	0.0323225	0.0395951	0.0426633	0.0353853	0.0301558	0.0229348	0.0144815	0.0113197	0.0167207	0.0143194	0.0152634	0.0226049	0.0399857	0.0443145	0.0686463	0.177351
</S>	0.0915834	0.0703295	0.0312778	0.0106718	0.0119743	0.0141026	0.00940124	0.0121559	0.0132024	0.0121879	0.00719746	0.0114708	0.0163712	0.0202101	0.0493777	0.0654823	0.0518966	0.0397667	0.0270689	0.0166497	0.0220973	0.0182479	0.0243277	0.028386	0.0502536	0.0598759	0.0918705	0.122563
