 	l	a	á	d	í	á	b	h	i	á	a	n	y	a	m	a	o	b	v	a	k	a	á	</S>
dans	0.0112834	0.0171202	0.0256694	0.0209	0.0344856	0.0267701	0.0240652	0.043986	0.0368198	0.0548038	0.0359885	0.0342567	0.0390381	0.0894197	0.0807107	0.107561	0.0820556	0.0356772	0.0254627	0.0370096	0.0516669	0.0358262	0.0288476	0.0205761
ce	0.211681	0.0974194	0.0657808	0.0359183	0.024193	0.0274842	0.0404662	0.0210543	0.0271436	0.0155732	0.0127504	0.0148648	0.0186045	0.0380058	0.0343884	0.056774	0.0591206	0.021253	0.0279746	0.0282896	0.0254637	0.0206158	0.032128	0.0430527
champ	0.0545784	0.0781913	0.0428245	0.0460967	0.0715427	0.090865	0.0695555	0.0349459	0.0344042	0.0613598	0.0254118	0.0354063	0.073769	0.0210729	0.0297305	0.0292474	0.0272102	0.0325533	0.0339557	0.0332718	0.0310538	0.0155456	0.0141129	0.0132947
de	0.0693583	0.0453197	0.0411825	0.0381704	0.0316909	0.0326938	0.033533	0.0420568	0.0381539	0.0584143	0.062472	0.0649423	0.0517344	0.0292034	0.0206165	0.0139158	0.019101	0.0247595	0.029168	0.0326093	0.0341424	0.044878	0.0455167	0.0963669
chasse	0.0366067	0.0191933	0.0244806	0.0296079	0.0373439	0.0391064	0.0554899	0.0484182	0.0385576	0.0363509	0.0366491	0.0269683	0.0488985	0.0215367	0.0326602	0.0366801	0.0543816	0.0470685	0.0501645	0.0480852	0.0489289	0.044023	0.0446875	0.0941123
on	0.0422013	0.0282154	0.0466512	0.0523314	0.0683893	0.0566475	0.0654987	0.0421962	0.0369519	0.0341939	0.0394152	0.0266048	0.0311519	0.0174278	0.0129773	0.0156386	0.0356641	0.0387986	0.0466367	0.0347891	0.0376575	0.0355633	0.0469392	0.107459
ne	0.0500787	0.0344691	0.0391293	0.0383582	0.043797	0.0408368	0.0257675	0.0169112	0.0120595	0.013876	0.0103596	0.013353	0.0134778	0.011614	0.0195827	0.0337244	0.0787965	0.0820075	0.0842449	0.0632285	0.0544844	0.0498385	0.0668962	0.103109
trouve	0.144881	0.0640789	0.0436951	0.0246891	0.0319005	0.0213708	0.0226015	0.0180074	0.0140362	0.0173092	0.0144412	0.0134683	0.0125033	0.0138454	0.0180853	0.0216594	0.0274535	0.0341146	0.043011	0.0465155	0.0570896	0.0644071	0.101677	0.129159
plus	0.158112	0.0812129	0.0523423	0.0441276	0.0474796	0.0431656	0.0404476	0.0333751	0.0305166	0.0432973	0.0273963	0.0320509	0.0172472	0.0209802	0.0202453	0.021389	0.0247785	0.0290831	0.0329406	0.038638	0.0316976	0.0303688	0.0412711	0.0578366
de	0.163351	0.036687	0.0187467	0.0163255	0.015004	0.0145255	0.0146326	0.0157065	0.0140705	0.0142417	0.0133222	0.0151064	0.0149714	0.015983	0.0165648	0.0161919	0.0264399	0.0310406	0.0499145	0.0756973	0.0992761	0.0828758	0.10911	0.110215
gibier	0.0923633	0.0397477	0.0244698	0.019036	0.0128139	0.0135414	0.00863058	0.00954538	0.00603724	0.0081065	0.00672344	0.00677474	0.00439911	0.00494643	0.00576453	0.00905677	0.0191796	0.0292431	0.0554559	0.100801	0.1091	0.0964847	0.143953	0.173825
</S>	0.0976864	0.0435138	0.0295642	0.0195802	0.0162277	0.0133078	0.0111742	0.0142888	0.00795196	0.0136816	0.0103187	0.00905186	0.00615702	0.00725343	0.0110868	0.0162107	0.0264205	0.0391662	0.0633114	0.0833682	0.0831987	0.100014	0.111666	0.1658
