 	d	z	á	d	z	a	a	m	ó	ε	b	ώ	ω	y	á	n	g	á	y	á	e	l	ó	m	i	n	ω	m	ó	y	á	ε	w	ε	s	έ	</S>
assieds-toi	0.0705	0.0197917	0.0885644	0.0715679	0.0218576	0.0745395	0.0700584	0.0438429	0.0178918	0.0261827	0.0351584	0.0188576	0.0266341	0.0345264	0.0409926	0.0525456	0.0334133	0.0186436	0.0181155	0.0152691	0.0173448	0.010541	0.0111293	0.00902609	0.00976341	0.00952464	0.00970536	0.0103843	0.0103711	0.0142251	0.0178378	0.0132561	0.0101639	0.00969504	0.00974979	0.0125694	0.0157599
à	0.066643	0.0550568	0.0673226	0.0466789	0.0582115	0.0957124	0.106221	0.0498242	0.0299916	0.0222702	0.0366501	0.053308	0.059323	0.052271	0.0385008	0.0343582	0.0133409	0.0222229	0.0189296	0.00962624	0.0119637	0.00469512	0.00163434	0.00217357	0.000693747	0.00130461	0.0010795	0.000965964	0.00156764	0.00380836	0.0024704	0.0038598	0.00297711	0.00497204	0.00292179	0.00571555	0.0107333
ma	0.0259955	0.0497483	0.0228489	0.025357	0.032663	0.0246332	0.0215194	0.024694	0.0229422	0.0259161	0.0488318	0.0667725	0.0530059	0.0598191	0.0508891	0.0797554	0.0572828	0.0540157	0.0256036	0.0254404	0.020018	0.0111522	0.011158	0.00924242	0.00817193	0.0136133	0.0148121	0.0149107	0.0161774	0.0141836	0.0121167	0.0121868	0.0103696	0.00939443	0.00876686	0.00887919	0.00711298
droite	0.0218559	0.0203648	0.010258	0.0120295	0.0145836	0.0249182	0.0290773	0.0312192	0.0386276	0.0393441	0.0536951	0.107678	0.0929233	0.0587864	0.0399055	0.0484345	0.0268909	0.0300885	0.0245124	0.0188879	0.0120421	0.0151512	0.0109515	0.0169765	0.0124213	0.024549	0.0182909	0.0135846	0.0171557	0.0127025	0.0122984	0.0145041	0.0149016	0.0109472	0.0142985	0.0130889	0.0220549
et	0.00533433	0.00717302	0.00290398	0.00321617	0.00508429	0.00509431	0.00978561	0.0136786	0.0133212	0.0142225	0.0212293	0.0373945	0.0322734	0.0941175	0.040076	0.0620949	0.0290326	0.0609125	0.0669015	0.0420598	0.0312344	0.0438893	0.0310734	0.0374746	0.0343321	0.0223624	0.0246175	0.0282222	0.0157287	0.0117768	0.012851	0.0182687	0.0124035	0.0154351	0.0289042	0.0253585	0.0401616
toi	0.0179648	0.0206211	0.0105115	0.0116076	0.014025	0.00768877	0.00951845	0.0204304	0.0152914	0.0183406	0.0194364	0.017258	0.0138546	0.0218777	0.0184189	0.02593	0.0287916	0.034892	0.0225496	0.042628	0.0469342	0.0503352	0.0563991	0.0482281	0.0549459	0.0345504	0.0430334	0.0406575	0.0288025	0.0342734	0.0286629	0.0395296	0.0286675	0.0267999	0.0123782	0.0165024	0.0176634
à	0.0135582	0.013445	0.0110599	0.011642	0.0121722	0.0129236	0.0144767	0.014004	0.0135203	0.0145995	0.021813	0.0440358	0.0280077	0.0379982	0.0378432	0.0357441	0.0197127	0.0303475	0.0316319	0.0291071	0.0274453	0.0331709	0.0326459	0.0313008	0.0346563	0.0332228	0.0382344	0.0370257	0.0312104	0.0290296	0.0279505	0.0325898	0.0225461	0.022008	0.0282756	0.0330794	0.0579658
ma	0.0181409	0.0167074	0.0122202	0.0124771	0.0115923	0.0129937	0.0141697	0.0114019	0.0112501	0.0115605	0.0186595	0.0409259	0.0330072	0.038832	0.0360915	0.0384166	0.0234446	0.0366849	0.0375872	0.033262	0.0283227	0.0262768	0.0227585	0.0202021	0.0254466	0.0245461	0.0310267	0.034253	0.0336404	0.0322534	0.0316226	0.0335415	0.0228808	0.0229724	0.0328589	0.0434417	0.0645307
gauche	0.080287	0.0518884	0.0342181	0.0312149	0.0207455	0.021155	0.0102731	0.00607538	0.00739716	0.005247	0.00614454	0.0137954	0.0125932	0.0188815	0.0177103	0.0226055	0.01945	0.0237003	0.0230672	0.0241009	0.0278234	0.0283671	0.0205843	0.0264767	0.0196951	0.0314444	0.0228103	0.0182542	0.0220618	0.0226937	0.0175142	0.0288373	0.0250816	0.0286949	0.0507916	0.070984	0.0873351
</S>	0.0308209	0.0202308	0.0180709	0.0170022	0.0131318	0.0141152	0.00977789	0.00769444	0.0102207	0.00713389	0.00806062	0.00735263	0.00857889	0.00820557	0.00952751	0.0124789	0.0135412	0.0270553	0.0369097	0.0448199	0.0558932	0.0450591	0.0262044	0.0331479	0.0273065	0.0353883	0.0262309	0.0271927	0.0183293	0.0253359	0.0177542	0.0377837	0.0234364	0.0495001	0.068882	0.0672526	0.0905742
