 	w	a	á	w	u	r	u	o	d	é	b	h	á	m	b	ώ	n	g	ω	m	b	v	á	a	n	g	ó	l	ó	m	i	y	a	w	a	</S>
il	0.187551	0.218216	0.251022	0.127823	0.0431642	0.016877	0.006489	0.00611612	0.00704438	0.00921392	0.00961522	0.0106773	0.00839581	0.00678491	0.0060884	0.00657368	0.00398445	0.00418062	0.00346029	0.00217563	0.0035834	0.00387373	0.00298615	0.00282345	0.00282544	0.00289406	0.00376092	0.00399091	0.00322451	0.00391375	0.00539954	0.00577923	0.0051055	0.00368575	0.00641931	0.0042823
vient	0.0125026	0.00624305	0.00528548	0.00652364	0.0163794	0.0745926	0.0997091	0.118726	0.104888	0.106383	0.0932456	0.0627163	0.0262312	0.00966749	0.00198752	0.00121398	0.00207621	0.011827	0.020289	0.00960003	0.00591958	0.00553418	0.00698834	0.0109343	0.00768725	0.00596598	0.0137205	0.00872659	0.00771469	0.0184093	0.0181027	0.0131697	0.0214499	0.0366807	0.0162451	0.0126631
d'	0.0148801	0.0169072	0.0162144	0.0185414	0.0275156	0.0338297	0.0359847	0.0367167	0.0243684	0.0283283	0.0192958	0.0201341	0.0204678	0.0213517	0.0298479	0.0197513	0.0381992	0.0303012	0.0403428	0.0322475	0.0412453	0.0261915	0.0217255	0.0348722	0.0290478	0.0279091	0.0341578	0.0239728	0.034107	0.0396613	0.0465851	0.0215943	0.0206952	0.0150656	0.0322207	0.025723
emprunter	0.0071702	0.00876466	0.00787237	0.0073557	0.00763495	0.00989961	0.0133488	0.00933238	0.0171804	0.0194804	0.0262465	0.0202136	0.0232999	0.0220756	0.0288424	0.0260165	0.0416314	0.0327469	0.0383023	0.0665848	0.0618734	0.0504191	0.0530652	0.0390802	0.048398	0.0232156	0.0268178	0.0367189	0.0448958	0.0233485	0.0367998	0.0188768	0.0184562	0.018265	0.0309979	0.0347724
de	0.00405556	0.00409274	0.00397138	0.00436467	0.00643483	0.00835211	0.0102389	0.011104	0.0191749	0.0191975	0.0229739	0.0275184	0.0299675	0.0377187	0.0456481	0.0608864	0.0738166	0.0397643	0.0410954	0.0701259	0.059563	0.0449962	0.0571756	0.0366828	0.0350395	0.027968	0.0235707	0.0314874	0.0386167	0.0101868	0.0128457	0.00722739	0.0097098	0.012506	0.0139487	0.0379738
l'	0.00346481	0.0033941	0.00322082	0.00435807	0.00685235	0.00969938	0.0127736	0.0170892	0.0258307	0.0222756	0.0314687	0.0227043	0.0317594	0.0326717	0.0523387	0.0463489	0.0516869	0.021272	0.0428548	0.0505243	0.0311406	0.0265863	0.0493378	0.0659387	0.0423248	0.0455246	0.0375664	0.0550626	0.0325794	0.0265756	0.023685	0.0153784	0.0130242	0.00943586	0.0112591	0.0219924
argent	0.0110429	0.0107533	0.0118663	0.0114396	0.0122296	0.0128619	0.0156838	0.0180492	0.0233004	0.028806	0.0324766	0.0283105	0.0385361	0.0360391	0.041352	0.0374248	0.0540483	0.0444464	0.0514309	0.0496666	0.038563	0.0333474	0.0495336	0.0399088	0.0197715	0.0224404	0.0258062	0.0325262	0.0133398	0.025568	0.0154881	0.0152028	0.0239663	0.0159184	0.0157393	0.0431163
à	0.0100526	0.011974	0.0157311	0.0134842	0.014748	0.0156282	0.0198393	0.0238049	0.0255721	0.0289981	0.0278089	0.0285631	0.0288063	0.0266586	0.0285172	0.0269971	0.0262251	0.0230827	0.0201612	0.0296473	0.0342248	0.0383703	0.0406688	0.0390949	0.0395483	0.0431797	0.0396436	0.043797	0.0356472	0.0379395	0.020059	0.0189176	0.0239932	0.0243404	0.0228749	0.0514006
son	0.00959471	0.0105746	0.0106567	0.0135508	0.0157115	0.0147582	0.0129488	0.0106069	0.00876174	0.00993876	0.00845137	0.00715368	0.00998543	0.012547	0.0149783	0.0179934	0.0238882	0.0242543	0.0259023	0.0451639	0.0468825	0.0656043	0.0609312	0.0497865	0.024414	0.0264733	0.0321681	0.0227616	0.0204373	0.0422386	0.045027	0.0428073	0.0389064	0.0409721	0.0608202	0.0723491
oncle	0.00815331	0.00651367	0.00901148	0.00896711	0.0109803	0.0150303	0.0146476	0.0123861	0.0132103	0.0140118	0.0120788	0.0156188	0.0164867	0.0287376	0.0215844	0.0303762	0.0343246	0.0448393	0.0580226	0.0805409	0.0741895	0.078315	0.0476121	0.0395653	0.023401	0.0272075	0.0300929	0.0149728	0.0104975	0.0310047	0.0209914	0.0106762	0.0111727	0.0125533	0.0504445	0.0617816
</S>	0.01001	0.00901487	0.00973194	0.0151202	0.0178396	0.0167555	0.0147864	0.012478	0.0125533	0.0127659	0.0112462	0.0117271	0.0136021	0.0168456	0.0197538	0.0259236	0.0272712	0.024733	0.0212835	0.0401927	0.0444629	0.0520532	0.0585792	0.0373563	0.0436463	0.0275322	0.0254554	0.0155669	0.0233868	0.0287837	0.0524305	0.0395675	0.0469731	0.0345324	0.054015	0.072024
