 	o	y	ú	r	u	w	ó	l	á	a	k	y	á	i	t	ú	u	b	á	t	s	ε	r	i	m	b	é	á	l	i	n	y	a	m	i	</S>
cette	0.0132298	0.00837257	0.00943325	0.0101534	0.00933858	0.00343604	0.0102878	0.0183131	0.0132733	0.0197879	0.0190025	0.0351784	0.0208799	0.0294846	0.0705485	0.0846727	0.0671573	0.0403505	0.0478826	0.0295969	0.0246277	0.0254952	0.0394342	0.0201956	0.0215917	0.0195102	0.0281235	0.0269413	0.0299111	0.0219457	0.0262225	0.0275112	0.0193621	0.0245115	0.0387701	0.0454667
femme	0.0743423	0.108562	0.263744	0.178508	0.164069	0.0270457	0.0737369	0.0152918	0.0113021	0.00921944	0.00283644	0.00507422	0.00320568	0.00306329	0.00126738	0.00113015	0.000934369	0.0012188	0.00311156	0.00174162	0.0017424	0.00240515	0.00191323	0.00153453	0.00228365	0.00139339	0.00395213	0.00428063	0.00486214	0.00588747	0.00462139	0.00469742	0.00731941	0.00179276	0.001119	0.000790977
lance	0.0100821	0.0120663	0.0181145	0.0122361	0.0177258	0.0638633	0.118111	0.127017	0.172962	0.0521861	0.046849	0.0560305	0.0343193	0.0290228	0.0237964	0.0234781	0.0143121	0.0172689	0.0159895	0.0123562	0.00607858	0.00836471	0.0077004	0.00825006	0.00722569	0.00795348	0.0080721	0.00724758	0.0155524	0.0109527	0.00916918	0.00739137	0.0044969	0.0044279	0.00594808	0.00338088
des	0.0514541	0.0451115	0.0400426	0.036216	0.0335342	0.038792	0.0208855	0.0145882	0.0106137	0.0105168	0.00793647	0.0109376	0.00722867	0.0119643	0.0135909	0.0142522	0.0222428	0.0187209	0.0252713	0.0371616	0.0383406	0.0372068	0.0375529	0.0448384	0.0457874	0.0358195	0.0290459	0.0313457	0.0334851	0.0283046	0.0275076	0.0399215	0.0277247	0.0274965	0.0231032	0.0214581
in	0.0576014	0.0356519	0.0241958	0.0228124	0.0318721	0.0498948	0.0581285	0.0335945	0.0245943	0.0184112	0.00892776	0.0149794	0.00834064	0.0139605	0.0177478	0.0208062	0.0249964	0.0260563	0.0258177	0.0219631	0.0261604	0.0257065	0.0257056	0.0259624	0.0234144	0.0229624	0.0337686	0.0312439	0.0333772	0.0301537	0.0350925	0.0278304	0.0260959	0.0303027	0.0221205	0.0397503
jures	0.0508261	0.0228831	0.0189618	0.0160891	0.0167837	0.0128335	0.0140176	0.0106512	0.00954101	0.0110454	0.00830673	0.00977379	0.00889521	0.0139177	0.0220088	0.0216579	0.0251711	0.0268939	0.017356	0.0215736	0.0337618	0.0250028	0.028663	0.0364382	0.0392416	0.0429549	0.0609011	0.0525291	0.042503	0.0433612	0.0485701	0.0315937	0.0380618	0.0377614	0.0295965	0.0498723
obscènes	0.0301661	0.0217985	0.0118274	0.0105892	0.0103528	0.0119262	0.0149325	0.0103177	0.0116584	0.0102126	0.0113418	0.00913863	0.0133725	0.0132328	0.0183917	0.0211024	0.0269778	0.0288439	0.0254444	0.0415469	0.053839	0.0439963	0.0391201	0.0640225	0.054615	0.0583458	0.0505392	0.0378218	0.0286079	0.0408185	0.0333164	0.0200121	0.0356324	0.0230946	0.0272396	0.0358044
parce	0.0207479	0.013146	0.00880242	0.00834014	0.0103442	0.0101645	0.014107	0.00893114	0.0108846	0.00947365	0.0116103	0.0118291	0.0138242	0.0125481	0.0271252	0.0272369	0.039447	0.033621	0.0277317	0.0292836	0.0371644	0.03636	0.0372487	0.0462876	0.0432367	0.0450754	0.0397332	0.0379266	0.0427031	0.0472036	0.0390783	0.0331135	0.0453583	0.0379621	0.0353013	0.0470485
qu'	0.0302551	0.0324539	0.0227535	0.0145703	0.0120751	0.0226324	0.0244831	0.0147883	0.0143644	0.0118591	0.0123638	0.0144715	0.010944	0.0115232	0.016114	0.0199409	0.0265127	0.0259759	0.0256461	0.0445931	0.0401306	0.0386622	0.0379194	0.0450363	0.0459839	0.045494	0.037606	0.0316324	0.035909	0.0318991	0.0278829	0.0290003	0.0302165	0.0403498	0.0309998	0.0429574
elle	0.0198774	0.0202964	0.018573	0.015397	0.0104713	0.0117742	0.0135777	0.00925241	0.00746395	0.00736858	0.00967482	0.0130326	0.0129319	0.0131021	0.0234894	0.0221506	0.0387075	0.0406416	0.0452607	0.0525669	0.0446399	0.0404658	0.035291	0.0380581	0.0380696	0.0356606	0.0366835	0.0357272	0.0365807	0.0432779	0.0303478	0.0310478	0.0310967	0.035324	0.0324341	0.0496854
