 	n	g	á	l	í	i	b	ó	n	d	á	o	d	z	w	á	n	g	y	ε	l	έ	e	y	e	n	g	a	y	é	é	y	a	a	</S>
j'	0.0919597	0.301191	0.188521	0.166935	0.0717955	0.0171117	0.00844492	0.0070772	0.00392189	0.00271551	0.00349386	0.00224138	0.00339701	0.00878171	0.00997193	0.0138697	0.00780743	0.0108212	0.00613839	0.00596104	0.00522771	0.00476685	0.00454753	0.0041941	0.00399654	0.00362917	0.00413634	0.00448735	0.00476451	0.00474918	0.00504297	0.00511254	0.00462987	0.00457507	0.00398358
envisage	0.0257282	0.0144257	0.0289945	0.0173821	0.0159297	0.0289157	0.0765892	0.0409252	0.0946893	0.0879989	0.131762	0.0827998	0.073034	0.0398022	0.0338507	0.0373285	0.0245612	0.0256065	0.0223352	0.0137193	0.0117668	0.00996964	0.00623272	0.00500912	0.00394785	0.00304272	0.00372577	0.00407052	0.00319307	0.00248051	0.00272946	0.00525565	0.00493449	0.00501915	0.0122444
d'	0.0633903	0.0696378	0.0505201	0.0292184	0.0211535	0.0245433	0.0303361	0.0257488	0.0220988	0.0220684	0.018605	0.0231583	0.0263553	0.0220109	0.0331191	0.0324119	0.0510402	0.0291532	0.0369565	0.0354052	0.0317323	0.0312832	0.0202353	0.0179269	0.0159504	0.0206993	0.0205814	0.0285044	0.0246488	0.0235932	0.0183073	0.0172523	0.0176715	0.0200816	0.0246009
aller	0.0550616	0.0388112	0.0285098	0.0330128	0.0151026	0.0161175	0.0106473	0.00784941	0.00863683	0.0113424	0.0302285	0.015365	0.0218312	0.0309551	0.0507804	0.0436767	0.073334	0.0407974	0.0413762	0.0558912	0.0841523	0.048883	0.03339	0.0231218	0.0191344	0.0176481	0.0197832	0.0189079	0.0155344	0.0153135	0.0126906	0.0101311	0.0136688	0.0159739	0.0223399
à	0.00996074	0.00942465	0.00977987	0.00643551	0.00639718	0.0061933	0.00715439	0.00916607	0.0109955	0.014762	0.0138759	0.0182724	0.0244745	0.020584	0.0209953	0.0205942	0.0272643	0.0244558	0.0275935	0.0344854	0.0390129	0.0501023	0.056918	0.0527118	0.0539172	0.056561	0.0493429	0.0494513	0.0404112	0.0406668	0.0378685	0.0166475	0.0333332	0.0449727	0.0552181
brazaville	0.0136891	0.0127878	0.00874221	0.00521442	0.00580676	0.0109614	0.0112257	0.0135699	0.0150121	0.0163204	0.0207555	0.0470023	0.0500265	0.039626	0.043326	0.0305879	0.0376861	0.0362788	0.0610908	0.0468681	0.0384589	0.0396269	0.0417094	0.0392116	0.0376505	0.0448044	0.0333363	0.0237798	0.0192941	0.0202622	0.0152618	0.0141414	0.015928	0.0263601	0.063597
la	0.00649913	0.00361998	0.00365052	0.00402834	0.0030848	0.00548837	0.00480878	0.0067051	0.00836077	0.0147292	0.0251578	0.0389373	0.0481087	0.0460041	0.0533496	0.0377932	0.0613524	0.0428651	0.0508254	0.052787	0.039653	0.0476104	0.0332783	0.0311556	0.0218638	0.0194223	0.0197428	0.0186311	0.0226887	0.0176295	0.0160968	0.0275001	0.0348704	0.0518642	0.0798376
semaine	0.0043952	0.00620069	0.00682627	0.00831444	0.0044703	0.00669492	0.00429235	0.0055344	0.00766726	0.0120058	0.0186118	0.0281954	0.0348033	0.0315438	0.0268779	0.0305033	0.0407443	0.0389387	0.0430516	0.0488533	0.0516162	0.0532313	0.0447937	0.0373548	0.0266392	0.0144773	0.0146515	0.0161361	0.031947	0.0169673	0.0155893	0.0310936	0.0458826	0.0702313	0.120864
prochaine	0.041609	0.0226204	0.0155962	0.0196798	0.0131229	0.0213032	0.0168656	0.0186958	0.0180937	0.0192236	0.0294859	0.0344988	0.035985	0.0285791	0.0276215	0.015127	0.0166026	0.0210779	0.0258532	0.0191123	0.0244191	0.0359928	0.0424203	0.0553428	0.0452014	0.0245443	0.0135918	0.011571	0.0119299	0.0150988	0.0172754	0.0243574	0.0294454	0.0543411	0.133715
</S>	0.113538	0.0606533	0.0417233	0.0399039	0.035827	0.0152732	0.0170557	0.0146954	0.0124207	0.0127597	0.0203712	0.0162152	0.0146053	0.0175574	0.0166129	0.0203907	0.0285592	0.0254043	0.0199119	0.0188602	0.023703	0.0255071	0.0212703	0.0151612	0.0207947	0.0188903	0.0157686	0.023467	0.0279791	0.0287762	0.038524	0.0367451	0.0359427	0.0461737	0.0589584
