 	l	é	e	b	ó	n	d	á	a	n	d	z	ú	e	b	á	a	f	ú	ú	n	g	á	s	á	n	d	é	e	y	á	b	á	a	</S>
on	0.133918	0.0613915	0.0423262	0.0361839	0.028436	0.0436362	0.050714	0.0403049	0.044163	0.0430051	0.0286772	0.0475035	0.0212631	0.0327607	0.0484487	0.0335429	0.0179415	0.0143663	0.0111535	0.0158209	0.00654314	0.0135281	0.0144751	0.016489	0.00685227	0.0200325	0.00985158	0.0118486	0.0100909	0.0144201	0.0186808	0.0126677	0.0191589	0.00919816	0.0206065
entend	0.0691453	0.0573382	0.0541431	0.0523134	0.057571	0.0562805	0.0582623	0.055607	0.066801	0.0639163	0.0758539	0.0637005	0.0476227	0.0273253	0.0339898	0.0188691	0.0138919	0.0107866	0.00629441	0.00398508	0.00383567	0.00371184	0.00524291	0.00473847	0.00348522	0.00613937	0.00338079	0.00594674	0.00765335	0.00692008	0.0131252	0.0132335	0.00968783	0.0096079	0.00959367
les	0.0590237	0.0559018	0.0411628	0.0337258	0.024078	0.0201296	0.0201388	0.0277874	0.0302202	0.0318906	0.0334739	0.034122	0.0364248	0.0237299	0.025798	0.0243919	0.0288893	0.0416687	0.0512021	0.0368279	0.0297428	0.0256465	0.023846	0.0209865	0.0220142	0.0189428	0.0262	0.0216968	0.0213358	0.0201038	0.0162917	0.0201296	0.0177162	0.0220461	0.0127142
abeilles	0.012649	0.0142494	0.0156647	0.0171593	0.0223923	0.0228211	0.0239644	0.0233569	0.0255287	0.0241706	0.027629	0.0214938	0.0188477	0.0195929	0.0215464	0.0276525	0.0291035	0.0336588	0.0383449	0.0238672	0.0396081	0.0525054	0.0667932	0.0434533	0.0559805	0.0429436	0.0347868	0.033098	0.0195189	0.0186748	0.0201483	0.0167082	0.0162686	0.0253459	0.0504732
bourdonner	0.00939045	0.00910597	0.0121724	0.00986415	0.014939	0.0196695	0.0258157	0.028323	0.0302083	0.0304029	0.0315245	0.0299293	0.0308297	0.0321943	0.0229633	0.0345073	0.032791	0.0351331	0.0493581	0.048011	0.0649099	0.0623793	0.0424998	0.0273332	0.0332289	0.0211383	0.0215173	0.0240864	0.0170071	0.0167112	0.01936	0.0183878	0.01922	0.0276513	0.0474363
autour	0.0257725	0.0185259	0.0135341	0.0105662	0.0127043	0.013909	0.0132596	0.0109664	0.00936316	0.00873929	0.00890366	0.00875096	0.0106028	0.0119145	0.0211432	0.0267657	0.0237106	0.0342565	0.0516612	0.0577717	0.0558468	0.044989	0.0582939	0.0553985	0.0613	0.0534524	0.0468864	0.0385191	0.0208505	0.0227034	0.0199171	0.0191556	0.0188472	0.0348475	0.0561716
de	0.0167276	0.0124153	0.0142901	0.0146691	0.0163568	0.0193033	0.0204989	0.022093	0.0255683	0.0251134	0.0209818	0.018776	0.0219899	0.0317941	0.0297689	0.0443621	0.0320873	0.0265173	0.0425462	0.0422621	0.0601758	0.0539385	0.0338856	0.0251834	0.0324693	0.0233277	0.0233117	0.0262821	0.0223009	0.0255317	0.0303363	0.0315813	0.0284054	0.031074	0.0540748
la	0.0111694	0.0108819	0.00960117	0.0100478	0.00979038	0.0100713	0.0122839	0.013222	0.0116096	0.0105174	0.0127858	0.0116663	0.0103364	0.0120042	0.0102305	0.0154098	0.0193432	0.0380715	0.0627837	0.0672469	0.0723974	0.0730845	0.0554643	0.0390922	0.0415308	0.033032	0.0341892	0.0345302	0.0328109	0.0333832	0.0346424	0.0326941	0.0356659	0.0339487	0.0444613
ruche	0.025646	0.0173629	0.0170977	0.0163243	0.013686	0.00977271	0.00662936	0.00481118	0.00496886	0.0050562	0.00612094	0.00563908	0.00661837	0.00709631	0.0111377	0.0147842	0.013649	0.0266493	0.0366623	0.0288557	0.0220565	0.0250255	0.0553241	0.0305846	0.0449849	0.037365	0.0368143	0.0545601	0.0440907	0.0466033	0.0554389	0.0520135	0.0548756	0.0589117	0.102783
</S>	0.0209033	0.0176523	0.0155187	0.0177493	0.0149209	0.0124303	0.0136584	0.0142491	0.0125788	0.0100442	0.0107647	0.00787555	0.00658341	0.0071441	0.00421978	0.00900372	0.010783	0.0287579	0.0423361	0.0427353	0.0378006	0.0479216	0.0600169	0.0264193	0.0510628	0.0237987	0.0287991	0.0433652	0.0250248	0.0272223	0.0346723	0.0225881	0.0328583	0.04681	0.171731
