 	o	y	í	l	í	í	m	á	t	ú	n	g	u	ó	s	í	í	s	i	n	g	á	n	d	z	a	a	</S>
l'	0.0092789	0.0105026	0.0126092	0.0176525	0.023153	0.0263862	0.0243504	0.0410829	0.045836	0.0403493	0.0433481	0.0410951	0.0510739	0.0276899	0.0376396	0.02646	0.0424003	0.0227755	0.0380044	0.0498633	0.0548185	0.038737	0.053486	0.0507934	0.0623737	0.0395209	0.0408759	0.0278436
abondance	0.00741324	0.00630511	0.0098097	0.0230449	0.0203645	0.0323333	0.0804654	0.0840038	0.0720981	0.032912	0.0770486	0.082082	0.0554927	0.0819942	0.0687643	0.0630898	0.0575179	0.0228295	0.0297666	0.019985	0.0199788	0.0165735	0.0111038	0.00666775	0.00742816	0.00599517	0.00258209	0.00234992
de	0.0220017	0.00755566	0.0102558	0.0226005	0.0207383	0.0125626	0.00712758	0.00703969	0.00667132	0.00479257	0.0106347	0.0181879	0.0337906	0.0404405	0.0470843	0.0577132	0.0779901	0.151037	0.131363	0.111575	0.0440661	0.0514945	0.0253073	0.022866	0.0194119	0.0176872	0.0123242	0.00568143
nourriture	0.054538	0.062949	0.08966	0.0902685	0.0681544	0.0335257	0.032019	0.0440962	0.0460171	0.0406469	0.0520368	0.0521953	0.0310365	0.0215951	0.018107	0.0218987	0.0160355	0.0295764	0.0402818	0.021025	0.0163485	0.0155198	0.00785378	0.0106209	0.0124755	0.0120393	0.0122044	0.0472749
m'	0.0368189	0.0319095	0.0554539	0.0864416	0.0559889	0.0393428	0.0288743	0.0244963	0.0203511	0.0158139	0.022971	0.0250244	0.0206329	0.0178324	0.0236193	0.0462502	0.0326315	0.0977922	0.0453652	0.0438016	0.0275536	0.0231425	0.0178443	0.0201302	0.0204755	0.0199079	0.0361882	0.0633462
a	0.0523365	0.0408822	0.0567167	0.0494156	0.0312187	0.0198432	0.0217765	0.0227287	0.0220306	0.0234208	0.0286487	0.0357214	0.0452312	0.0565858	0.0465783	0.0358781	0.0133073	0.0266525	0.0169438	0.0227541	0.027439	0.022337	0.0299629	0.0344119	0.0403273	0.0387491	0.0395689	0.0985332
sauvé	0.056873	0.0414512	0.0467224	0.0508115	0.024182	0.00998027	0.0093624	0.0104169	0.00870692	0.01108	0.0118355	0.0123752	0.0149527	0.0355836	0.05299	0.0544249	0.0414537	0.0524805	0.0315801	0.0352348	0.0304509	0.0384293	0.0384476	0.0457459	0.0359872	0.0344291	0.0476267	0.116386
de	0.0478381	0.0454913	0.0463826	0.0418526	0.0434609	0.0396405	0.0522668	0.0463218	0.0401064	0.0309354	0.0336138	0.032988	0.0279937	0.0320008	0.0388442	0.024714	0.0283619	0.0276729	0.0234936	0.0179203	0.0247876	0.0210144	0.0243394	0.0272363	0.024465	0.0283683	0.0394506	0.0884386
la	0.0599385	0.0591921	0.0635154	0.0564488	0.0401132	0.0163533	0.0228755	0.0265142	0.0208819	0.0153595	0.0193618	0.024942	0.0219352	0.0302563	0.0295611	0.0163407	0.0138732	0.0172646	0.0163695	0.0207835	0.0261118	0.0219691	0.0262415	0.0391012	0.0265823	0.0352395	0.0562702	0.176604
disette	0.123316	0.0760747	0.067479	0.0248325	0.0129588	0.0100675	0.0127166	0.0137185	0.0136884	0.00791189	0.00761841	0.00570479	0.00782019	0.0126311	0.0102041	0.0139258	0.00990322	0.00825309	0.00597564	0.00875485	0.0205672	0.0177256	0.0232232	0.0251554	0.0296694	0.032243	0.116342	0.281519
</S>	0.12224	0.0887499	0.106503	0.0656907	0.0322833	0.0151419	0.0177545	0.0218058	0.0171037	0.0143959	0.0233639	0.0262326	0.0257678	0.0330148	0.0310401	0.0456298	0.0197544	0.0150509	0.0129871	0.00765567	0.00880842	0.0087554	0.0131548	0.0166928	0.0197611	0.0199068	0.0282693	0.142486
