 	a	b	v	ú	r	u	b	á	á	y	ε	í	s	á	p	o	o	b	h	á	á	s	ε	m	i	m	b	v	á	a	m	w	ε	n	έ	</S>
les	0.111157	0.022632	0.0126696	0.00763056	0.0105766	0.0125293	0.0359773	0.0399351	0.0491266	0.0648444	0.0764897	0.0785189	0.0631822	0.0493339	0.0436947	0.0287358	0.0169653	0.017784	0.0125234	0.0142457	0.0127704	0.00559588	0.00965454	0.00979303	0.0117093	0.011005	0.0166453	0.0166117	0.0203573	0.0211929	0.0170456	0.0137214	0.0152303	0.0170811	0.0170815	0.0159529
étrangers	0.0429874	0.0621801	0.100018	0.0795104	0.0933661	0.0844233	0.0347988	0.0305963	0.0357655	0.0357003	0.0426185	0.0477223	0.0204984	0.00810375	0.00759014	0.00732205	0.00554949	0.00855212	0.01366	0.0174471	0.0110661	0.00838152	0.0124996	0.0153939	0.0127113	0.0130147	0.0129803	0.0152149	0.0199503	0.016641	0.0200004	0.0170884	0.0123268	0.0180063	0.0118547	0.00445976
qui	0.0191206	0.0284189	0.0262489	0.0363391	0.0340157	0.0355978	0.0407746	0.0347681	0.0401115	0.0365932	0.0394847	0.0367666	0.0460455	0.0347484	0.0322582	0.0253417	0.0188077	0.0165054	0.0174524	0.0143709	0.0133147	0.0118175	0.0178425	0.0178645	0.0236886	0.0209054	0.0237135	0.0269391	0.0417028	0.0350443	0.0506561	0.030492	0.03211	0.0154064	0.0195592	0.00517349
sont	0.0212848	0.0235284	0.0217418	0.0432113	0.0291132	0.0322789	0.0293755	0.0247242	0.0233098	0.0221033	0.0245413	0.020854	0.0227122	0.0232184	0.028123	0.0162016	0.0218048	0.0205802	0.0209496	0.0290427	0.0150256	0.0312761	0.0191161	0.018823	0.0240066	0.0260077	0.0366156	0.0333087	0.0362515	0.032357	0.0314964	0.0532168	0.0412137	0.0239895	0.035575	0.043022
arrivés	0.029176	0.0224521	0.0313175	0.0273903	0.0240386	0.0258842	0.021388	0.0181322	0.0177506	0.013033	0.0147032	0.0166705	0.01954	0.0341822	0.0265358	0.0303634	0.0322361	0.0322212	0.0361506	0.0401166	0.0303245	0.0320836	0.0305867	0.0299703	0.0304293	0.0332696	0.033397	0.0315154	0.0322058	0.0310127	0.0325503	0.0197157	0.0261516	0.0221985	0.0294301	0.0418769
dans	0.01268	0.00976675	0.011453	0.0128525	0.0134857	0.0188313	0.0195862	0.0158291	0.0169347	0.0130279	0.0146636	0.0161171	0.016312	0.0288272	0.0266982	0.0281553	0.0288078	0.0330424	0.0357602	0.0347367	0.0396246	0.0474627	0.0494291	0.0376309	0.0543686	0.0490325	0.0412391	0.0342916	0.0332686	0.0320486	0.0290728	0.0217278	0.0285222	0.0260717	0.0285495	0.0400921
le	0.00921319	0.0078611	0.0114574	0.0293256	0.0299831	0.0334843	0.0382733	0.0338628	0.0327279	0.03211	0.0343271	0.0354959	0.0329341	0.0405607	0.0440116	0.0389766	0.0361546	0.039656	0.02993	0.0255772	0.0228112	0.0320332	0.0265789	0.0208544	0.024148	0.0240387	0.0193497	0.0164527	0.0172043	0.0198057	0.0186244	0.0246124	0.0273734	0.0241222	0.0313819	0.0346866
village	0.0175573	0.0166613	0.0173152	0.0238791	0.0239303	0.0249504	0.0259482	0.0167773	0.0130978	0.0105413	0.0117022	0.01013	0.0129795	0.0156127	0.0210685	0.0310709	0.0415096	0.0424747	0.044915	0.029413	0.0412995	0.0425531	0.0400567	0.0354718	0.0419871	0.0276348	0.0239825	0.0249608	0.0186589	0.0264902	0.0250011	0.0146413	0.0232933	0.0241496	0.0536853	0.0846001
ont	0.0188498	0.0173653	0.0190255	0.0178941	0.0140258	0.0131441	0.00959731	0.00682939	0.00618859	0.00404809	0.00491317	0.00325081	0.0031871	0.00629152	0.0111768	0.0114693	0.0293458	0.0247342	0.0430403	0.0452466	0.047586	0.0687219	0.0556398	0.0330479	0.058983	0.0470731	0.0440792	0.0303928	0.0324383	0.0344162	0.0333974	0.0272047	0.0396557	0.0345839	0.04528	0.0578767
débarqué	0.031279	0.0227908	0.0253909	0.0190083	0.0141419	0.0109445	0.00682364	0.00529686	0.00490643	0.00559389	0.00442222	0.00501545	0.00564686	0.0062235	0.00712697	0.0106122	0.0264133	0.0208718	0.028935	0.0335482	0.0397268	0.0565921	0.0247708	0.0399662	0.0333652	0.0364077	0.0270077	0.033042	0.0278592	0.0291183	0.0423731	0.0448458	0.0487013	0.0563794	0.0618189	0.103034
chez	0.028017	0.024155	0.0262689	0.0393997	0.0270798	0.0261222	0.0162866	0.00983791	0.00764892	0.00578351	0.0061666	0.00427769	0.00446412	0.00969187	0.0222544	0.0256136	0.0622817	0.0312272	0.0548431	0.0468423	0.0527185	0.0419142	0.0350346	0.0220352	0.0261886	0.0235969	0.0174244	0.0144944	0.010207	0.0124864	0.0120233	0.0193701	0.0195367	0.0281505	0.0491555	0.137401
le	0.0240532	0.0212821	0.0256475	0.0338398	0.0218095	0.0229222	0.0191766	0.0118987	0.00909026	0.00774945	0.00655132	0.00695822	0.00955022	0.018809	0.0317432	0.024275	0.0421508	0.0330173	0.0401375	0.0422277	0.0473493	0.0526637	0.0315786	0.0338866	0.0357051	0.028035	0.0205275	0.023904	0.018274	0.0195818	0.0248516	0.0333123	0.0224824	0.0340778	0.0463773	0.0745034
notable	0.0237349	0.0312869	0.0465871	0.0530013	0.0463083	0.0347338	0.0123167	0.00692358	0.00741982	0.00578173	0.0052959	0.00597855	0.00773582	0.0129638	0.00944926	0.0246157	0.0271754	0.0161596	0.0218395	0.0158668	0.0224008	0.0121179	0.0116302	0.0208388	0.0149146	0.0123217	0.00965849	0.0116755	0.0184792	0.0211505	0.0343872	0.0385899	0.0432896	0.0643404	0.0962889	0.152742
</S>	0.0233657	0.0252327	0.0406796	0.0453579	0.0267833	0.0272166	0.0145299	0.00921218	0.00784264	0.00518994	0.00480734	0.00483173	0.00777747	0.012468	0.0127625	0.0305692	0.0533212	0.0262279	0.0408814	0.0262426	0.0487545	0.0284243	0.0261822	0.0422331	0.0218126	0.0136813	0.00757514	0.0107939	0.0110476	0.0126696	0.0210764	0.0279809	0.028361	0.0497761	0.0730279	0.131304
