 	w	a	á	s	ó	m	b	i	o	t	o	a	m	ú	ó	d	z	á	n	d	e	</S>
il	0.156342	0.378677	0.242782	0.0696728	0.0405369	0.0239097	0.00806861	0.00587841	0.0113758	0.00477827	0.00476683	0.00602549	0.0044493	0.00529842	0.0102379	0.00409119	0.00454019	0.00383455	0.00453744	0.00318337	0.00406998	0.00294354
a	0.0282854	0.017143	0.015892	0.0520443	0.0924741	0.0283754	0.0646582	0.108838	0.148341	0.119758	0.095896	0.0628536	0.0428696	0.0247224	0.0138604	0.0102963	0.0111992	0.0156693	0.0143114	0.00742452	0.00521561	0.0198726
acheté	0.0256989	0.0300687	0.0222953	0.0145021	0.0262421	0.0266089	0.0386982	0.0419899	0.0684077	0.0495633	0.0330223	0.0444417	0.0613841	0.0617486	0.0629144	0.0569315	0.0438273	0.0424874	0.0462882	0.0518135	0.0652892	0.0857765
ce	0.0174855	0.0144302	0.0115583	0.00902602	0.00738553	0.00735167	0.00798177	0.0140243	0.0168923	0.0191141	0.0289906	0.0296548	0.0374371	0.0636429	0.101386	0.105252	0.142793	0.0441726	0.0373678	0.0700974	0.104203	0.109753
noyau	0.0110892	0.011523	0.00895239	0.00640867	0.0111916	0.0125928	0.014113	0.0180002	0.0299431	0.0302389	0.044271	0.0596263	0.0485441	0.0492573	0.088174	0.0643689	0.103888	0.0745165	0.0698538	0.077582	0.0681295	0.0977358
de	0.0128505	0.0122576	0.00977079	0.0113593	0.00835466	0.00950648	0.00865724	0.0157471	0.0150759	0.0196904	0.0261342	0.0352972	0.0391428	0.0347457	0.0560308	0.0564926	0.115251	0.0710605	0.0787468	0.106214	0.117982	0.139633
palmier	0.0106785	0.0130208	0.0133213	0.0212406	0.0273336	0.0300213	0.0312991	0.0295215	0.0307375	0.0327317	0.0318155	0.0324604	0.0348352	0.0281986	0.0401925	0.0443081	0.0603432	0.0747201	0.0907894	0.0827132	0.0730597	0.166658
au	0.0235301	0.0219214	0.0188322	0.0221466	0.0193602	0.0195325	0.019926	0.0206936	0.023649	0.0239582	0.0257654	0.0308858	0.0390657	0.0346574	0.052089	0.0652914	0.0712789	0.0937922	0.0983305	0.0973056	0.0829959	0.0949927
marché	0.0122188	0.0123686	0.0145885	0.0131661	0.0156259	0.0148066	0.0162521	0.0257168	0.0269369	0.0351223	0.0318104	0.0317128	0.0308268	0.0366624	0.0472612	0.0598868	0.0769682	0.0855979	0.111875	0.115815	0.0932095	0.0915712
</S>	0.0110029	0.0124647	0.0131338	0.0113424	0.0136961	0.0127677	0.0176056	0.0291973	0.0254206	0.0323185	0.0257584	0.026037	0.0295502	0.0406041	0.0565483	0.0713098	0.0751608	0.0736744	0.0993378	0.111161	0.101867	0.110042
