 	n	g	á	í	t	έ	m	i	p	o	o	m	b	é	á	l	a	n	ω	</S>
j'	0.0818509	0.229618	0.251886	0.0940183	0.0332825	0.0179339	0.0103273	0.0130943	0.0205067	0.022258	0.0401194	0.047906	0.0494991	0.0216333	0.0157915	0.0111764	0.0085539	0.00808884	0.00951086	0.0129447
ai	0.194186	0.200009	0.152266	0.0749693	0.0214873	0.029092	0.0375666	0.0252952	0.0508777	0.0215572	0.0120276	0.0106982	0.0115454	0.015614	0.0172607	0.0123196	0.018645	0.026689	0.0256796	0.042214
quitté	0.0284955	0.0246292	0.0357591	0.0604854	0.0631651	0.0879324	0.056368	0.0295666	0.0520148	0.0509923	0.0612873	0.0655823	0.0631016	0.0562693	0.041987	0.0402512	0.0544829	0.0473437	0.0505056	0.0297804
le	0.0335202	0.0288587	0.0256762	0.0409318	0.0718183	0.0599242	0.0472734	0.0519778	0.0477183	0.0354748	0.0468134	0.0414899	0.0380981	0.0382642	0.0390011	0.0438445	0.0592425	0.0663867	0.0856832	0.0980026
village	0.00992008	0.0114764	0.00716466	0.0167421	0.0391226	0.0729178	0.0716698	0.0656331	0.0676871	0.0570329	0.0575831	0.055612	0.0577575	0.0543819	0.0620056	0.0485323	0.0457274	0.0585897	0.0570034	0.0834406
à	0.0225591	0.0166746	0.0128927	0.0146745	0.016984	0.0174727	0.0291632	0.0207067	0.028616	0.0438435	0.0412391	0.041284	0.0433369	0.0636919	0.0669024	0.0762699	0.0875549	0.118363	0.111427	0.126344
cause	0.139082	0.0878986	0.0404315	0.0254599	0.021692	0.0249455	0.0279555	0.0293903	0.0302348	0.0281549	0.036326	0.04452	0.0449839	0.0391752	0.0392302	0.0425634	0.0482717	0.0539658	0.0640403	0.131678
de	0.0595217	0.0341183	0.0249781	0.0248072	0.0239595	0.0240478	0.0258338	0.0241738	0.0220446	0.0266008	0.0294151	0.0377617	0.0480581	0.0683967	0.0687019	0.0770326	0.0812417	0.0879787	0.0930704	0.118257
toi	0.0572662	0.0410893	0.0356052	0.0273234	0.0170118	0.0222479	0.0176762	0.010033	0.011542	0.0126326	0.0260273	0.037075	0.0479347	0.0419039	0.0508096	0.0690344	0.100604	0.11286	0.119731	0.141592
</S>	0.0468524	0.0409224	0.0373037	0.0270673	0.0170178	0.0208518	0.0167099	0.0103888	0.00982299	0.0110246	0.0239458	0.0361851	0.0489389	0.0417454	0.0510625	0.0719878	0.107941	0.103651	0.122656	0.153925
