 	m	ó	e	k	y	é	n	i	y	é	w	a	á	k	y	e	n	g	o	n	d	a	m	b	v	έ	</S>
sur	0.00908026	0.0110878	0.00821389	0.0059346	0.00581862	0.00630391	0.0159859	0.0381824	0.0437056	0.0893622	0.176554	0.0966748	0.0504059	0.0468072	0.0417351	0.0329642	0.0293581	0.0311646	0.0320649	0.032409	0.0344388	0.0295478	0.0287712	0.0315192	0.0271167	0.0213179	0.0234758
cette	0.144847	0.0734551	0.0571096	0.0370876	0.0180625	0.00673765	0.00359254	0.00438292	0.00995904	0.0178399	0.03294	0.0409631	0.120843	0.0828743	0.061409	0.0559409	0.0394154	0.0428812	0.0311559	0.0228518	0.0164902	0.0114305	0.0178538	0.00897572	0.0128597	0.0129716	0.0150697
bande	0.0205166	0.0136545	0.0115073	0.0110845	0.0173976	0.021101	0.0318159	0.0310495	0.0274896	0.0460882	0.0301829	0.0182915	0.0230834	0.0858376	0.111103	0.09079	0.0869113	0.052528	0.0703052	0.0689437	0.0506665	0.0291637	0.0179565	0.0105737	0.0121892	0.00401984	0.00574939
de	0.0315248	0.0441693	0.0324704	0.0225308	0.0215714	0.0305325	0.0595163	0.0636259	0.0641291	0.0773876	0.0641613	0.0344594	0.0311698	0.0437319	0.0587318	0.0649622	0.0375969	0.0293994	0.0238333	0.0220564	0.0206021	0.0183627	0.0141966	0.0204479	0.0176885	0.0180151	0.0331262
terrain	0.0247669	0.0333641	0.0358862	0.0215116	0.0236523	0.0400835	0.0628008	0.0618486	0.0606323	0.0501669	0.0781616	0.0620008	0.0328114	0.0206684	0.0165895	0.0187927	0.0198488	0.0112058	0.0189978	0.0217383	0.0158184	0.0182256	0.0310547	0.0258459	0.0431686	0.0399702	0.110388
il	0.0171346	0.0175396	0.0267839	0.0313495	0.0455781	0.0463578	0.0471318	0.0408655	0.0432041	0.0390418	0.0391793	0.0369062	0.019279	0.0298458	0.0216593	0.0279743	0.0326469	0.0244581	0.0252457	0.0370878	0.0414661	0.0441088	0.0418739	0.05056	0.0461901	0.0568898	0.0696422
a	0.0673505	0.0432977	0.0425965	0.034192	0.0342467	0.0264731	0.0128215	0.00797732	0.0121104	0.00807686	0.0117501	0.015979	0.016758	0.0396268	0.0310083	0.0375803	0.048377	0.0375711	0.0347532	0.0374875	0.0384876	0.0347189	0.0455975	0.0528945	0.0612562	0.0753237	0.0916876
fait	0.171339	0.0880658	0.0662621	0.0439008	0.0306974	0.0181336	0.00929642	0.00765911	0.00793391	0.00614929	0.00963254	0.0123047	0.016244	0.037029	0.0310796	0.0284889	0.0320635	0.0324737	0.0305777	0.0257115	0.0257733	0.0239401	0.0360585	0.0292159	0.0392195	0.0545582	0.0861915
une	0.304871	0.141728	0.0762855	0.0373987	0.0147071	0.0102478	0.00706895	0.00584043	0.00492597	0.00453061	0.00336073	0.00303071	0.00473433	0.0166763	0.0167736	0.0136548	0.0224482	0.0245525	0.0262176	0.0185305	0.0162199	0.0229303	0.0274069	0.0268294	0.0328639	0.0473548	0.0688111
belle	0.0614246	0.0318974	0.0190702	0.0119361	0.00725621	0.00559044	0.00403026	0.00332741	0.00337163	0.00306948	0.00303641	0.00485598	0.00556028	0.0292853	0.0209456	0.0264745	0.05807	0.0524436	0.0735099	0.0482832	0.0339016	0.0459612	0.0547152	0.047263	0.060537	0.106172	0.178011
plantation	0.0770784	0.0429139	0.0216796	0.00989293	0.00855855	0.00657189	0.00572399	0.00461318	0.00531434	0.00513678	0.0055897	0.00659389	0.00472277	0.0224547	0.0172543	0.0237099	0.0609635	0.0187225	0.0359864	0.0235861	0.0216766	0.0417828	0.055511	0.0436663	0.0644109	0.131858	0.234027
</S>	0.0951306	0.0623675	0.0375546	0.0221778	0.0164313	0.0106146	0.00750342	0.00578902	0.00665711	0.00528051	0.00488221	0.00428616	0.00370078	0.015357	0.0122663	0.0161223	0.0466914	0.0211007	0.0459072	0.0314773	0.0264578	0.0405545	0.0703171	0.0278658	0.059747	0.118009	0.18575
