 	l	e	d	í	o	b	h	e	r	á	o	t	i	á	l	a	w	a	k	a	á	w	a	a	d	í	i	b	o	ó	b	v	ú	s	u	</S>
on	0.281006	0.0665733	0.124864	0.113565	0.0558792	0.030757	0.0196722	0.0151841	0.0177265	0.0175703	0.0172176	0.0176359	0.0161282	0.0162017	0.0177143	0.0110839	0.0098413	0.00967793	0.0080408	0.00393958	0.00770814	0.00620567	0.00952734	0.00366132	0.00495755	0.00467516	0.0140184	0.0107839	0.00939343	0.0107732	0.00872145	0.0123224	0.00802667	0.00768647	0.00567853	0.00558104
ne	0.104373	0.106771	0.0913599	0.0592183	0.0535319	0.0459844	0.0538807	0.0390837	0.0355436	0.0434235	0.00638693	0.0118323	0.014088	0.0328028	0.0207693	0.036636	0.0317397	0.0261924	0.01783	0.0139948	0.010767	0.00451802	0.0036456	0.0025265	0.000634582	0.0032348	0.0113754	0.0092491	0.022394	0.0202623	0.0144671	0.0190711	0.00930981	0.00863947	0.0072572	0.00720481
peut	0.027403	0.065996	0.0861328	0.0737456	0.0714027	0.0721803	0.0528605	0.0499251	0.0438354	0.0524973	0.0305043	0.0367008	0.0309084	0.0295782	0.0450781	0.02293	0.0282227	0.0117859	0.0137478	0.0212483	0.0155551	0.0125821	0.0105497	0.0101326	0.00248647	0.00526461	0.0065943	0.0078212	0.00839182	0.00961866	0.00863022	0.00690237	0.00645171	0.00662237	0.00621991	0.00949363
pas	0.0089678	0.00893218	0.00668688	0.00497639	0.00656527	0.00570217	0.005263	0.00676609	0.0133499	0.00818873	0.01275	0.0131231	0.0123082	0.0116338	0.013178	0.013328	0.0240498	0.0177706	0.0542032	0.0660346	0.027556	0.0397367	0.0230114	0.0868878	0.0619518	0.105899	0.0639079	0.0317968	0.0405193	0.0845019	0.0127358	0.0266833	0.0163857	0.0146828	0.0206195	0.029347
parler	0.00959347	0.0149957	0.00911649	0.0106184	0.0106405	0.0116616	0.0136329	0.0136439	0.0155307	0.0152777	0.0185451	0.0155108	0.017644	0.0281568	0.0241097	0.0169003	0.0335235	0.0298625	0.0196916	0.0261367	0.0306891	0.0299203	0.0455167	0.0757539	0.0308048	0.0690125	0.0634057	0.0407508	0.0498946	0.0528956	0.026383	0.0377651	0.0249211	0.0243664	0.02451	0.0186179
avec	0.0365019	0.0337631	0.0525828	0.0578199	0.0680391	0.0719276	0.068096	0.0548741	0.0502099	0.0443406	0.0405821	0.0363539	0.0413908	0.0479048	0.0371837	0.0183729	0.0146387	0.00803453	0.0082276	0.0121449	0.00963072	0.00942496	0.00778034	0.0140955	0.00941703	0.0084235	0.00800087	0.00545533	0.00617321	0.00819593	0.0101001	0.0127824	0.0153251	0.0185759	0.01758	0.0360499
lui	0.0334814	0.0236485	0.0450845	0.0446344	0.0409639	0.0456297	0.0550349	0.0484286	0.0569413	0.0528215	0.0424829	0.0316687	0.0396335	0.0588497	0.0534492	0.0211091	0.0272503	0.0207048	0.0148131	0.0196074	0.0137683	0.008754	0.00809102	0.0190898	0.00351258	0.0129131	0.00386358	0.00878421	0.0105453	0.0128102	0.0114256	0.0145729	0.0175415	0.0196602	0.0202428	0.0381874
il	0.0531514	0.0356843	0.053723	0.0495738	0.0566095	0.0612735	0.0522631	0.0457349	0.0456892	0.0338054	0.0422943	0.026304	0.0276546	0.026526	0.0350137	0.018642	0.0157365	0.011795	0.00973937	0.0144202	0.0176646	0.0148325	0.0117131	0.0136127	0.00457815	0.00411604	0.0029744	0.00591755	0.00694455	0.00999328	0.0135745	0.0196674	0.0238029	0.0320092	0.0326135	0.0703523
est	0.0659547	0.064449	0.0458421	0.0414567	0.0418351	0.0443968	0.0352527	0.0321951	0.0318219	0.022892	0.0267425	0.0241821	0.0223953	0.022151	0.0300434	0.0243415	0.0269664	0.0201655	0.0190044	0.0226965	0.0229367	0.01585	0.0116348	0.0106422	0.00494161	0.00635899	0.003399	0.00539345	0.00844761	0.011558	0.0133254	0.0198366	0.0228191	0.0415039	0.0451022	0.0914657
borné	0.0508584	0.0481994	0.0368563	0.0236571	0.0240338	0.0265014	0.0234336	0.0218249	0.0283782	0.0161607	0.0272168	0.0198878	0.01828	0.0212723	0.0279597	0.024409	0.0243434	0.0228145	0.0272691	0.0329975	0.0267964	0.0204294	0.0206466	0.0247623	0.0171811	0.0201591	0.0143105	0.0210852	0.0261555	0.0243683	0.0240315	0.0323948	0.0267926	0.0436661	0.0478704	0.0629959
</S>	0.0276049	0.0249186	0.0222524	0.0198661	0.0188813	0.0183009	0.013453	0.0106215	0.00963899	0.00764146	0.00875833	0.00616054	0.00633841	0.00740064	0.00873873	0.00772166	0.0105955	0.0137823	0.0219885	0.036784	0.0232723	0.0189803	0.0284207	0.0774322	0.022784	0.0389729	0.021106	0.0152528	0.0227612	0.041223	0.0417784	0.0646058	0.0653232	0.0717186	0.0740736	0.0708469
