 	w	a	a	d	í	n	g	í	l	í	w	a	e	t	é	n	d	i	m	ó	i	b	o	ó	l	í	í	d	í	l	a	p	ó	r	á	</S>
elle	0.0735053	0.208282	0.229087	0.25586	0.0970062	0.0198226	0.0231628	0.00725964	0.00381933	0.00340391	0.00343244	0.00542894	0.00651457	0.00542783	0.00317482	0.00234788	0.00297778	0.00338976	0.003664	0.00199575	0.00343872	0.00200677	0.00302267	0.00454297	0.00201268	0.00371709	0.0034839	0.00320517	0.00239467	0.00210698	0.00191645	0.00187441	0.00186207	0.00179135	0.00177984	0.0012817
lui	0.149466	0.0541872	0.0502605	0.0473751	0.113464	0.149711	0.0540696	0.0307938	0.0363531	0.0233963	0.0437048	0.0274957	0.0122425	0.00708992	0.00707673	0.0140225	0.0147345	0.0104854	0.0125047	0.0100235	0.0257829	0.0151519	0.0104718	0.00942092	0.00325665	0.00392836	0.00191009	0.00179428	0.00258431	0.00547093	0.0129539	0.00925841	0.00491692	0.00410176	0.00576217	0.0147784
posa	0.0101435	0.0117565	0.0156047	0.0193755	0.025493	0.032259	0.0302536	0.0175482	0.0150876	0.0222888	0.0201007	0.0383157	0.0472874	0.0457822	0.0571386	0.0620971	0.0523384	0.055746	0.0492523	0.0401721	0.0530507	0.0307633	0.0559645	0.0192371	0.0219104	0.0220113	0.0181934	0.0125064	0.0179475	0.0153597	0.0120487	0.00915265	0.00902469	0.00963373	0.0122796	0.0128755
un	0.0265914	0.0250454	0.0251973	0.0210364	0.0240226	0.0301682	0.025094	0.0217257	0.0248311	0.0174076	0.0231278	0.0169136	0.0241341	0.018907	0.0216338	0.0301494	0.031669	0.0304658	0.0241814	0.0285089	0.0146934	0.0396095	0.0338604	0.0255763	0.0347921	0.0325871	0.024248	0.0229993	0.0238495	0.0376547	0.0283405	0.0238691	0.0253079	0.0343434	0.0460247	0.0614337
bandage	0.00205307	0.00613686	0.00772246	0.00794587	0.00990543	0.00894215	0.00861002	0.0054504	0.0103386	0.0102463	0.0106835	0.0166312	0.0247224	0.0230628	0.0182641	0.0276764	0.0341154	0.0320417	0.0328071	0.0277131	0.0373806	0.0297229	0.0437124	0.0458334	0.0925963	0.0422378	0.0838675	0.0643921	0.0600973	0.0406074	0.024138	0.0194788	0.0217759	0.0196257	0.0243727	0.0250923
autour	0.00674797	0.00959443	0.00935406	0.0120043	0.0114898	0.00964203	0.00729843	0.0101062	0.0137309	0.0192251	0.0192846	0.0233013	0.0237354	0.0279109	0.0194893	0.0368986	0.0366206	0.0408632	0.0405577	0.0388858	0.0486199	0.0336311	0.0458088	0.0249346	0.0493876	0.0323542	0.048166	0.0230506	0.038483	0.034437	0.0395363	0.0208812	0.0194609	0.0316881	0.0439094	0.0489107
de	0.0228779	0.0252654	0.0265718	0.0219658	0.0293946	0.0247123	0.0166837	0.0363871	0.0278095	0.0238635	0.0202834	0.0162311	0.0107964	0.0101426	0.0148055	0.0170968	0.0201061	0.0241902	0.0240594	0.0279327	0.0266709	0.0245257	0.0243874	0.0170231	0.0283608	0.0258219	0.0324347	0.0233252	0.029118	0.0318839	0.0432486	0.0296769	0.0265696	0.0447512	0.0637762	0.0872503
sa	0.0561499	0.057029	0.0388757	0.0535098	0.034538	0.0598695	0.0326537	0.0210464	0.0165637	0.0144168	0.016497	0.0138384	0.0100449	0.0110177	0.0108467	0.0116943	0.0116719	0.0119699	0.0113058	0.0113684	0.0114441	0.0132904	0.0116241	0.0172681	0.0207219	0.0166681	0.0174602	0.0134734	0.0137994	0.0168628	0.0263184	0.0279597	0.0456983	0.0722381	0.0730711	0.0971946
tête	0.00546283	0.00424216	0.00444159	0.00408147	0.00362248	0.0060289	0.00654808	0.00967319	0.00794716	0.00690071	0.0065629	0.00677509	0.00736748	0.00854823	0.00808383	0.0105225	0.0148334	0.0130662	0.0176528	0.0169428	0.0215582	0.0185175	0.0276966	0.070001	0.08811	0.0508038	0.0582809	0.066264	0.0521418	0.0549633	0.0373529	0.0495305	0.0512261	0.0438648	0.0683216	0.0720631
blessée	0.0134522	0.00734385	0.00466306	0.00734322	0.00913107	0.010046	0.0208949	0.0208914	0.0410884	0.0192789	0.0107501	0.0142352	0.011498	0.0279284	0.0345347	0.0257875	0.0173807	0.0181637	0.0181237	0.015652	0.0115042	0.0105785	0.0122035	0.0172566	0.0221349	0.011498	0.00989056	0.00950652	0.00853067	0.0208985	0.018924	0.0325894	0.055327	0.0871827	0.101839	0.221949
</S>	0.0596727	0.0322139	0.0238239	0.0318209	0.021901	0.0426296	0.0490744	0.0308656	0.0270057	0.0177418	0.011491	0.00923861	0.00632453	0.0127716	0.0112788	0.0150684	0.0153307	0.0130597	0.00966063	0.0107317	0.00842262	0.0127756	0.013207	0.0186915	0.0167157	0.018634	0.0145083	0.0158631	0.0131811	0.0165792	0.0163242	0.0214594	0.0411643	0.0679668	0.0893349	0.163467
