 	d	i	n	g	a	í	m	i	p	ε	r	έ	έ	t	s	i	n	a	d	i	a	í	m	i	s	á	á	o	t	ú	b	h	a	</S>
le	0.200875	0.0358762	0.016049	0.028003	0.0151015	0.0174446	0.013892	0.013853	0.0218578	0.0222651	0.0313493	0.0452331	0.0373047	0.0263491	0.0110995	0.00712889	0.0065202	0.009657	0.00974651	0.0157691	0.0179898	0.0134734	0.0244664	0.0317271	0.0291864	0.0395596	0.0354961	0.0323474	0.0388023	0.0314211	0.0465227	0.0263797	0.0225274	0.0247263
ballon	0.0308915	0.0711989	0.185024	0.126992	0.255688	0.144571	0.0619677	0.0264328	0.00831082	0.00463714	0.00136955	0.000880044	0.00199991	0.00204485	0.00124836	0.00230225	0.00119511	0.00239288	0.0019883	0.00421444	0.00505672	0.00540029	0.00436148	0.014081	0.0105655	0.00697999	0.00479878	0.00365482	0.00344855	0.00273005	0.00123239	0.00143781	0.000518256	0.000384862
s'	0.0286388	0.047336	0.0299703	0.0279642	0.0116775	0.0107928	0.00766545	0.0061352	0.00427778	0.00469841	0.0048882	0.0178923	0.0268609	0.0278716	0.0203781	0.0298413	0.0315804	0.0389516	0.0494363	0.0546031	0.0872344	0.063145	0.0790243	0.0543046	0.0403328	0.032695	0.0272918	0.0234798	0.0223519	0.0219451	0.0208421	0.0142598	0.0183416	0.0132916
est	0.0963189	0.0878521	0.0758488	0.0489871	0.0261574	0.0211162	0.0210973	0.018996	0.0219392	0.015582	0.0183967	0.0275003	0.0400274	0.0227032	0.0222446	0.0361892	0.0354382	0.0439194	0.0596319	0.0522521	0.0412117	0.0424312	0.051368	0.0181034	0.0101441	0.00799286	0.00441369	0.00407898	0.00373813	0.00516157	0.0039897	0.00177912	0.00268306	0.0107066
dégonflé	0.00896699	0.0153622	0.0229402	0.0206439	0.0175645	0.0178888	0.0150594	0.0145082	0.0153013	0.0234651	0.0198396	0.0187929	0.0163284	0.0185036	0.023226	0.039069	0.0542416	0.0333574	0.048364	0.0445192	0.0560044	0.0603788	0.0458692	0.0317393	0.0222023	0.0256756	0.0208163	0.0334135	0.0352106	0.03507	0.0350507	0.0368359	0.0280824	0.0457087
parce	0.0142142	0.0111636	0.0138761	0.0103483	0.0113428	0.0108897	0.0120343	0.0112983	0.00940978	0.013816	0.0180085	0.0129712	0.0174888	0.0170611	0.0280384	0.0461033	0.0318587	0.0376009	0.0403491	0.0374626	0.0357399	0.0408656	0.0315082	0.0266153	0.0289854	0.0302918	0.0351161	0.0426496	0.0455783	0.0488768	0.051076	0.0534834	0.0562309	0.0676469
qu'	0.0345236	0.0181397	0.0136859	0.011368	0.0121003	0.0171795	0.0175798	0.0310434	0.0351407	0.0381969	0.0387397	0.0457862	0.037796	0.0230604	0.0255694	0.0579235	0.0226922	0.0389234	0.0265299	0.0363775	0.0394789	0.0432062	0.0226229	0.0248813	0.0236491	0.021402	0.0218661	0.0248231	0.0254087	0.0219057	0.0232429	0.037686	0.0319882	0.0554829
il	0.0218044	0.0253397	0.0346518	0.0252211	0.0298023	0.032752	0.0334363	0.02722	0.0232826	0.0257916	0.0280361	0.0263487	0.0180662	0.0163311	0.0213976	0.033413	0.0292199	0.0486424	0.0301063	0.0390899	0.0370958	0.0381137	0.0361225	0.0214623	0.0330835	0.0232713	0.0231593	0.023381	0.0215296	0.0202526	0.0157586	0.0191455	0.0275801	0.0900909
est	0.0558151	0.0459507	0.0267352	0.0256939	0.0170348	0.0109513	0.0100084	0.00858629	0.00638989	0.0062426	0.00614847	0.00938109	0.00941165	0.0143317	0.0371504	0.063452	0.0563128	0.0825422	0.0603746	0.0658836	0.0498844	0.0512546	0.0441096	0.0190876	0.0296757	0.0207657	0.0168312	0.0131267	0.0123599	0.0154795	0.015388	0.00819198	0.0204645	0.064984
troué	0.0411332	0.0282232	0.0143344	0.0120746	0.00520671	0.00324648	0.00380574	0.00346654	0.00366986	0.00420528	0.00422434	0.00703107	0.00722164	0.0116974	0.0324985	0.051794	0.055551	0.0619051	0.0654601	0.0572821	0.0464468	0.0640166	0.0536706	0.0346245	0.0464397	0.026718	0.023308	0.0170099	0.0174915	0.0221077	0.030908	0.0230497	0.0526202	0.0675575
</S>	0.0859294	0.0547253	0.0429796	0.0212176	0.0192037	0.0180417	0.018797	0.0190467	0.0182817	0.0206823	0.0217817	0.0253234	0.0143287	0.0136009	0.0244817	0.0170818	0.0278602	0.0347017	0.0273003	0.0382746	0.0227629	0.0314577	0.0320367	0.0274226	0.0308776	0.03119	0.0259307	0.0238473	0.018734	0.0213683	0.0156753	0.0152714	0.0406999	0.0990855
