 	e	k	ú	b	h	ú	l	ú	y	é	é	k	ú	b	h	ú	b	á	a	n	g	á	e	t	ó	n	g	o	é	p	έ	ε	n	g	á	k	y	έ	r	ε	</S>
la	0.0108364	0.0131997	0.00946953	0.00912255	0.0122368	0.00875888	0.00962654	0.0116353	0.0155356	0.00990511	0.0189683	0.0378744	0.0656422	0.0931943	0.0349031	0.049092	0.029611	0.0122621	0.018124	0.013782	0.0176178	0.0153983	0.0170231	0.020019	0.0210436	0.0270939	0.0260584	0.0203835	0.0361271	0.0361358	0.0328699	0.0258207	0.0188625	0.0231196	0.0257597	0.0275279	0.0281896	0.0203768	0.0194667	0.0249164	0.0324098
manière	0.0419247	0.059013	0.0443051	0.0508704	0.0467019	0.029004	0.0319818	0.0217794	0.0229749	0.0287163	0.0595598	0.124473	0.0900774	0.0924919	0.037687	0.0192489	0.0140476	0.0116926	0.0136306	0.0122411	0.00731777	0.0091076	0.00555127	0.00468463	0.00304931	0.00314079	0.00727521	0.00338518	0.00902817	0.0154015	0.0200475	0.00944787	0.00385314	0.00568325	0.00611246	0.0154536	0.00504952	0.00593608	0.00416986	0.00255096	0.00133324
dont	0.0383072	0.0192079	0.0145471	0.0121437	0.00986913	0.0157352	0.0265869	0.0143897	0.0149464	0.0148277	0.021799	0.0348768	0.0377069	0.0380133	0.0391798	0.0687539	0.0839373	0.0537733	0.105293	0.0569672	0.0320015	0.0320466	0.0167095	0.0150037	0.0119071	0.0086416	0.0096407	0.0160313	0.00882632	0.0145149	0.0170187	0.0164946	0.0145673	0.0103117	0.00943183	0.00929823	0.00476972	0.00563372	0.00553577	0.00966665	0.0110875
ils	0.0440905	0.056741	0.0602875	0.0472395	0.0224512	0.0155469	0.0188448	0.0132675	0.0196826	0.024931	0.0164429	0.0235849	0.0368475	0.0369734	0.0353022	0.0387785	0.0367469	0.0285523	0.0418486	0.0439312	0.0300013	0.0388654	0.0149549	0.0276192	0.0204422	0.0173986	0.0147812	0.0116236	0.0131487	0.0114675	0.00820394	0.0136118	0.00949317	0.00955081	0.00499424	0.00662505	0.00661431	0.00599932	0.00738635	0.0154616	0.0496659
ont	0.0325609	0.0401831	0.0610134	0.0862509	0.083323	0.0490644	0.033516	0.0207075	0.020132	0.0178777	0.0117404	0.0143452	0.0120603	0.0171725	0.0134744	0.0353411	0.0280309	0.0338923	0.0503437	0.0350087	0.0434786	0.0299324	0.0267934	0.0256561	0.0282701	0.0125356	0.00966366	0.0143092	0.0049687	0.00638708	0.00584555	0.00644241	0.00411144	0.00309763	0.00387052	0.00435581	0.00365201	0.00519439	0.00571282	0.0156235	0.0440606
déboucher	0.0114529	0.0233971	0.0290487	0.0347155	0.0401795	0.0291713	0.0297442	0.0207038	0.0162457	0.0117828	0.0101004	0.0138379	0.0141506	0.0194118	0.0182268	0.0234541	0.0204131	0.0339155	0.0331135	0.0350825	0.0337163	0.0300876	0.0329538	0.0314389	0.0426258	0.0202459	0.0188792	0.0225135	0.0177923	0.0200902	0.0194373	0.0172855	0.0137155	0.0101986	0.00855396	0.0131693	0.0118699	0.0138828	0.0184109	0.0350674	0.0999175
mon	0.00781417	0.0077548	0.00946325	0.0045797	0.00327769	0.00455436	0.00724374	0.0117249	0.0180606	0.0219851	0.0148827	0.0121481	0.0128167	0.0123583	0.0156598	0.0212939	0.0143323	0.0219364	0.0226804	0.0486976	0.0391344	0.045588	0.0258029	0.0421677	0.0462407	0.0560787	0.0563944	0.0385084	0.0404998	0.0171143	0.0137969	0.0201532	0.0209257	0.0217861	0.00939565	0.0116786	0.0151612	0.0189394	0.0217687	0.0459916	0.099609
étang	0.0172565	0.0224855	0.0235001	0.0225914	0.0221096	0.0169092	0.0132028	0.0122816	0.0131479	0.0129667	0.00898821	0.01333	0.0145717	0.0161528	0.0126754	0.00935647	0.00700956	0.0116263	0.0086069	0.0164145	0.0157294	0.0184955	0.0183695	0.0277507	0.0401099	0.0321295	0.0341645	0.0324689	0.0329889	0.028674	0.0272961	0.0303967	0.0318462	0.0292272	0.0265323	0.0278563	0.0321533	0.0341798	0.0346014	0.0510319	0.0988149
m'	0.0496883	0.029081	0.0240055	0.0113021	0.00876743	0.0191437	0.0209477	0.016776	0.0199073	0.0218436	0.0101269	0.00825638	0.00819875	0.00595945	0.00559557	0.00554919	0.00674282	0.00644953	0.0139433	0.022878	0.0245645	0.026031	0.0238987	0.0367005	0.0458489	0.0414997	0.0369193	0.0372751	0.0301724	0.0159883	0.0124911	0.0160039	0.0152633	0.0151338	0.0133184	0.0123926	0.018409	0.0324917	0.0361684	0.0635901	0.130677
a	0.0609414	0.0392677	0.0309377	0.0200691	0.0139447	0.00812623	0.00704092	0.00706675	0.00899012	0.011948	0.00723894	0.00534172	0.00395421	0.0034698	0.00523851	0.00711227	0.0123373	0.013508	0.0153927	0.0152606	0.018683	0.0249226	0.0364364	0.0466204	0.0592437	0.0401736	0.0355099	0.027769	0.0254964	0.0203207	0.0140983	0.0161441	0.0189091	0.0194957	0.0162095	0.0192003	0.0321069	0.0376168	0.0415653	0.0609361	0.0913553
énervé	0.0771016	0.0340004	0.0228793	0.0125042	0.0102597	0.0102593	0.0057896	0.00547281	0.00884322	0.0115232	0.00725147	0.00461604	0.00360421	0.00316115	0.00464358	0.0059054	0.00953017	0.00948989	0.0144159	0.0175917	0.0247097	0.0348288	0.0377481	0.0441341	0.051519	0.0433318	0.0357134	0.0329008	0.0297347	0.0254693	0.0196143	0.0265007	0.0219823	0.0275562	0.0244706	0.0254419	0.0304061	0.0326369	0.0450631	0.0424502	0.0649451
</S>	0.0687621	0.0465327	0.0347322	0.0250246	0.0253864	0.0225198	0.00877741	0.00783079	0.00868071	0.00670692	0.0077634	0.00795735	0.00464462	0.00448481	0.00206059	0.00324607	0.00324929	0.00186007	0.00736039	0.0100258	0.0114522	0.0159984	0.0219338	0.0200509	0.0253008	0.0175705	0.0249599	0.0136793	0.0221745	0.0186123	0.0125759	0.0131212	0.0138215	0.0194684	0.0210535	0.0292388	0.0526845	0.0642396	0.0983594	0.0707576	0.105341
