 	o	n	d	ú	m	a	á	d	z	e	e	n	g	o	m	b	a	n	d	z	á	á	n	g	a	n	g	a	á	m	i	b	ó	r	í	s	á	w	a	</S>
ondouma	0.0105337	0.00949412	0.0111218	0.0122392	0.0129837	0.0264206	0.0293468	0.0651032	0.0677601	0.0590166	0.0660255	0.0426428	0.0488025	0.0643766	0.0674375	0.0441416	0.0403672	0.0192863	0.0200303	0.0159026	0.0162857	0.0106845	0.0121394	0.00895092	0.0075386	0.00692056	0.00593447	0.00865481	0.00932032	0.0154866	0.0106634	0.0116459	0.0122489	0.0155308	0.0203802	0.02091	0.0235713	0.0175068	0.0151059	0.017488
était	0.0515813	0.0515708	0.0354591	0.0235101	0.0295578	0.0383727	0.0544458	0.0261391	0.028637	0.0234928	0.0182456	0.0233713	0.0190648	0.0115441	0.016518	0.0209581	0.0249104	0.0295464	0.0457859	0.0558592	0.0445037	0.0333225	0.0369472	0.028159	0.036948	0.0287041	0.0176547	0.0175983	0.0134887	0.00889783	0.00543665	0.00556912	0.0062908	0.00942948	0.0154045	0.0105761	0.00924952	0.0118009	0.0101024	0.0213461
stérile	0.010487	0.0123514	0.01185	0.0228217	0.0187677	0.0209003	0.0185369	0.0108255	0.0065054	0.00601338	0.00871885	0.0120796	0.0115408	0.0159648	0.0344694	0.0370086	0.0511464	0.0747889	0.057406	0.0913366	0.0759006	0.0542838	0.0468901	0.0161653	0.0232714	0.0269037	0.0189479	0.017782	0.0314977	0.0300877	0.0253664	0.0274292	0.0196323	0.0130336	0.0103225	0.00460794	0.00681537	0.00925742	0.00345222	0.00483372
mais	0.0209966	0.0291735	0.0249207	0.0148754	0.0200863	0.0273286	0.0153919	0.0090449	0.0102377	0.0126468	0.0119244	0.0206888	0.0154094	0.0131419	0.0262263	0.03074	0.0344671	0.0467813	0.028557	0.025941	0.0318706	0.0215463	0.0369556	0.0268589	0.0559261	0.0260882	0.0682573	0.039955	0.0343541	0.0138806	0.0258366	0.030264	0.018927	0.0168619	0.0186442	0.0155118	0.018712	0.0181819	0.0181761	0.024612
le	0.0122967	0.0169284	0.0156114	0.0151825	0.0203381	0.0247115	0.0266463	0.0260678	0.0254545	0.0254597	0.0244941	0.0230124	0.0229522	0.0147791	0.0165264	0.0203407	0.0214409	0.0217231	0.0293778	0.0324134	0.0340058	0.0264433	0.0260972	0.0206504	0.0195469	0.0177874	0.0264712	0.0190859	0.0206838	0.0143502	0.0310236	0.0258753	0.0231903	0.0319359	0.0194337	0.0292764	0.0330969	0.0314723	0.0335936	0.0802229
guérisseur	0.0459508	0.0560801	0.0439575	0.0339084	0.0215483	0.0176992	0.0155024	0.0126132	0.00992439	0.00887979	0.00840787	0.00691421	0.00761477	0.00839667	0.0117284	0.01075	0.0118357	0.0132619	0.0247625	0.0218139	0.0409363	0.0312169	0.0325763	0.0402049	0.0206317	0.0243583	0.0226117	0.021644	0.0235569	0.0236207	0.0251534	0.0221171	0.0234164	0.0218336	0.0244352	0.0322911	0.0363992	0.0337919	0.0379958	0.0696587
l'	0.030588	0.01939	0.0149492	0.0159382	0.0161635	0.0170281	0.0186912	0.0182899	0.0189479	0.0175179	0.0182603	0.018886	0.0187909	0.0167116	0.0270638	0.0285189	0.0343471	0.0412087	0.0475989	0.0523253	0.0446972	0.0460705	0.0418581	0.0380542	0.0324351	0.0270448	0.0235399	0.017766	0.0196994	0.0181443	0.0208514	0.0174455	0.0180435	0.0226366	0.0191479	0.0180167	0.0134579	0.0128477	0.0240547	0.0329732
a	0.0641578	0.0391111	0.0288308	0.0280141	0.0205789	0.0132735	0.0123121	0.0123475	0.0133332	0.0135892	0.0138762	0.015472	0.0177895	0.0239526	0.0323856	0.0309665	0.0348991	0.0484189	0.0410617	0.0384135	0.0344878	0.0413098	0.0300558	0.0333981	0.0277533	0.0228403	0.0144015	0.0146364	0.0201	0.0183841	0.0215928	0.017546	0.0171863	0.0220788	0.013467	0.01189	0.00626416	0.00419072	0.036768	0.0488653
rendue	0.0608898	0.0215761	0.0142256	0.014592	0.0158919	0.0150716	0.00953965	0.00870799	0.00759328	0.00855948	0.00970623	0.00919917	0.00949947	0.00891839	0.0110766	0.0183373	0.0204736	0.0327444	0.0366552	0.0406734	0.0366211	0.0474326	0.0465188	0.0447546	0.0416781	0.0329866	0.0343202	0.0391528	0.0421522	0.0319156	0.0335737	0.0214295	0.0185069	0.0248496	0.0193748	0.0147506	0.0114291	0.0110154	0.0252262	0.0483802
féconde	0.0357775	0.0176095	0.0145901	0.0123507	0.00928493	0.00617673	0.00396256	0.00514646	0.00529078	0.00692925	0.00771744	0.00630479	0.00729234	0.00689551	0.00874794	0.0126221	0.0136633	0.0218388	0.0233305	0.0227466	0.0377046	0.0390987	0.0385575	0.0405223	0.0401263	0.0403945	0.0330447	0.0375256	0.0279598	0.0248618	0.022388	0.0144502	0.0234528	0.028154	0.0239058	0.0284554	0.0260911	0.0193734	0.0695182	0.136137
</S>	0.037202	0.0192026	0.0153006	0.0139377	0.0138578	0.0108174	0.00675572	0.00683276	0.00634655	0.00771746	0.0102373	0.00914643	0.00625802	0.00633158	0.00639611	0.0112664	0.0120738	0.0157396	0.0136018	0.0146498	0.0159264	0.0158766	0.0220142	0.0194049	0.0205342	0.0209894	0.0288543	0.0306294	0.0383322	0.0357287	0.0662129	0.0423426	0.0454887	0.0496385	0.0328482	0.0381581	0.0401112	0.0365796	0.0516876	0.104971
