 	e	w	ó	l	á	y	é	é	p	f	e	e	s	í	n	ω	é	k	y	e	o	b	é	l	a	b	a	r	e	</S>
la	0.00962685	0.0184374	0.00815747	0.00706024	0.0124945	0.0159558	0.0228108	0.0360997	0.0373135	0.0419552	0.0608265	0.0631779	0.076911	0.0681976	0.0483174	0.0393558	0.0376582	0.0327316	0.0305685	0.0250685	0.0179846	0.0198612	0.0315651	0.0395528	0.0348066	0.0394669	0.0259981	0.0353632	0.0274031	0.0352737
mauvaise	0.0136823	0.165056	0.163445	0.0801413	0.069883	0.126782	0.142121	0.0930201	0.0435096	0.0362538	0.016833	0.00855222	0.00444047	0.00230697	0.00117726	0.00121622	0.00094211	0.000899497	0.000805894	0.00177033	0.00186067	0.00085912	0.00241235	0.0037751	0.00453194	0.006636	0.00380655	0.00202397	0.000946234	0.000309671
parole	0.0250963	0.0282608	0.0252145	0.0639289	0.0965031	0.0847884	0.094651	0.0761915	0.089338	0.0366072	0.0545007	0.0144445	0.0113833	0.0157126	0.0120003	0.011553	0.0116289	0.010211	0.0117258	0.0184602	0.027441	0.0206171	0.057405	0.0316008	0.0216973	0.0138167	0.00588602	0.00966348	0.0131562	0.00651644
que	0.0401216	0.0298969	0.0198711	0.0220668	0.0258458	0.0232935	0.0368013	0.0185631	0.0177932	0.0181442	0.0168487	0.0321999	0.0386181	0.0526217	0.0473454	0.0473036	0.0580227	0.0582653	0.0430822	0.0384391	0.0368377	0.0219601	0.0133628	0.0148699	0.0127342	0.0162984	0.0176402	0.0255961	0.0419267	0.11363
tu	0.0605027	0.0435217	0.0391692	0.0415856	0.0396717	0.0321076	0.0336216	0.0321165	0.0240408	0.0150152	0.0217787	0.0164478	0.0189818	0.0285663	0.0272519	0.0289815	0.0341179	0.0375081	0.037676	0.0407527	0.0389332	0.0347635	0.0260644	0.0249014	0.0209846	0.0282589	0.0303365	0.0389454	0.0403229	0.0630738
as	0.0296603	0.029214	0.020626	0.0226722	0.0215382	0.0176163	0.0187978	0.0134149	0.00779487	0.00631764	0.00626947	0.00598113	0.00766567	0.0156126	0.0223414	0.0404653	0.0551544	0.0820291	0.0935719	0.074761	0.0613347	0.0462018	0.0305914	0.0289758	0.0248574	0.0306329	0.0249428	0.0364903	0.0379541	0.0865148
employé	0.0560919	0.0662708	0.0470842	0.0311262	0.0257138	0.0174819	0.0186845	0.0211834	0.0145149	0.0106459	0.0122947	0.0119428	0.0160627	0.0182009	0.0196478	0.0209699	0.0317831	0.0431159	0.0415583	0.0435223	0.0217793	0.0242556	0.027759	0.0312772	0.029694	0.034281	0.0292255	0.0342097	0.0336252	0.165998
e	0.052185	0.0245953	0.0185079	0.013052	0.0181413	0.0205969	0.0240651	0.0222853	0.0223262	0.0115959	0.0190667	0.0255862	0.0295565	0.039771	0.0402109	0.0518957	0.0444491	0.0385213	0.0305075	0.0195391	0.0208953	0.0228404	0.0203527	0.027613	0.030197	0.0250055	0.031109	0.0384376	0.0520039	0.165091
n'	0.0962455	0.0257811	0.0288985	0.0257806	0.0307316	0.0281529	0.0249264	0.0202725	0.0123762	0.0105941	0.0101475	0.0191065	0.0214821	0.0518984	0.100586	0.0780983	0.0768997	0.0447309	0.0345356	0.0166298	0.0141364	0.0137143	0.0100912	0.0152859	0.00633007	0.0125541	0.0247026	0.0287733	0.0460883	0.0704499
a	0.11787	0.0397224	0.0355065	0.0344548	0.0297771	0.0338188	0.0289954	0.0241378	0.0134234	0.00968604	0.0162394	0.0146889	0.0156214	0.0315696	0.0425067	0.0513408	0.0535076	0.0428773	0.0428238	0.0332118	0.0377708	0.0375813	0.0269241	0.0218379	0.0267789	0.0288204	0.0243397	0.0258883	0.0235493	0.0347298
pas	0.102883	0.0757257	0.052242	0.0347618	0.0227375	0.0205822	0.0160796	0.0106406	0.0106943	0.00725807	0.0128336	0.0150835	0.0157045	0.0186443	0.0251639	0.0368471	0.0325655	0.0268508	0.0247251	0.0283765	0.0346128	0.029672	0.0317711	0.034131	0.0354933	0.0481428	0.0530739	0.0554328	0.0385419	0.0487288
plu	0.341905	0.150466	0.0986696	0.0746479	0.0178261	0.0120118	0.0038129	0.00244419	0.00261763	0.00226909	0.00317697	0.00367494	0.00418535	0.00618014	0.0101995	0.0141955	0.0151426	0.0121038	0.00879268	0.0115258	0.0113989	0.0122884	0.0126236	0.0134142	0.0144733	0.0174717	0.0175112	0.02665	0.0322908	0.0460301
aux	0.169816	0.0672476	0.0740353	0.0525015	0.0277017	0.0285101	0.0177472	0.0205109	0.0132142	0.0152139	0.0167794	0.0120172	0.0125649	0.017663	0.0146979	0.0141659	0.0100352	0.0100035	0.0115165	0.0135623	0.0157064	0.0205988	0.0135988	0.014799	0.0151362	0.0209505	0.0374078	0.0494427	0.0551138	0.137742
gens	0.129382	0.074433	0.0495072	0.064735	0.038521	0.0251042	0.0107035	0.008736	0.00652307	0.00604015	0.00806154	0.00574574	0.00481509	0.00801537	0.0124612	0.0159353	0.0168913	0.0231134	0.0273783	0.0347736	0.0351487	0.0338948	0.0380171	0.032946	0.0340315	0.0405532	0.0518688	0.054685	0.0434081	0.0645708
</S>	0.0693497	0.0458672	0.0421664	0.0368626	0.0255348	0.0238877	0.00979767	0.00571034	0.00490304	0.00698237	0.00663591	0.00657386	0.00611068	0.00830349	0.0134169	0.0170798	0.0150986	0.0171313	0.0164573	0.0182592	0.0185236	0.0220733	0.0225091	0.0296875	0.0405483	0.0499594	0.0884774	0.107478	0.10181	0.122805
