 	e	b	a	a	m	i	y	é	é	d	í	e	m	b	ω	s	í	o	b	ó	n	d	a	k	a	á	</S>
cet	0.0184923	0.021362	0.0417021	0.0429638	0.0190377	0.0281087	0.0520439	0.0273315	0.0229836	0.0206434	0.0266226	0.0336849	0.0414687	0.017839	0.0248541	0.017341	0.0217049	0.0296125	0.0391063	0.055902	0.064055	0.0662942	0.0660564	0.0583545	0.0629777	0.0490567	0.0304006
homme	0.0214796	0.0330571	0.0589005	0.140165	0.159414	0.124658	0.0352708	0.0350993	0.0233338	0.0200784	0.0189204	0.044383	0.0353526	0.0172968	0.0130438	0.0155661	0.0138654	0.0151377	0.0258931	0.00845248	0.0152457	0.020031	0.0234622	0.0173761	0.0288224	0.028362	0.0073326
blanc-ci	0.0543157	0.0456726	0.0409509	0.0275154	0.0277002	0.0449428	0.0266474	0.0511789	0.0399151	0.03552	0.0261972	0.0228373	0.0261943	0.0737972	0.0935136	0.0625592	0.0335076	0.037803	0.0481158	0.039214	0.0318473	0.026828	0.0284692	0.0254524	0.0180945	0.00904285	0.00216732
ne	0.0455381	0.0607511	0.0470519	0.0610697	0.0625514	0.0419825	0.0153661	0.0175452	0.017466	0.0159562	0.0205266	0.0156654	0.0208328	0.0608851	0.0769691	0.0601751	0.0636374	0.0487218	0.0523763	0.0144915	0.028521	0.0228951	0.0284043	0.0216615	0.0162458	0.0197141	0.0429989
comprend	0.0556809	0.0550283	0.0500939	0.0494373	0.0479643	0.0555715	0.0345598	0.0350521	0.0348296	0.0334011	0.0270508	0.0294795	0.032257	0.0440199	0.0592003	0.0868497	0.070816	0.0420011	0.0260547	0.0119969	0.0150906	0.0112894	0.00800522	0.00974683	0.00970531	0.0202621	0.0445558
pas	0.027303	0.0230747	0.0260451	0.032827	0.0311804	0.0329841	0.0324444	0.0328671	0.0231349	0.0215132	0.0182968	0.0250837	0.0354006	0.032149	0.0376566	0.0286136	0.0460437	0.0537965	0.0527813	0.0526431	0.0505423	0.0509474	0.0435567	0.036579	0.0447567	0.0504921	0.0572867
la	0.0256898	0.0197033	0.0250675	0.0293567	0.0262398	0.0324356	0.0249149	0.0174293	0.0119663	0.00858233	0.00757996	0.0123962	0.0184697	0.031832	0.0558053	0.08854	0.125153	0.0695287	0.0414995	0.0425936	0.0519767	0.0465401	0.0423998	0.0337851	0.0338258	0.0361254	0.0405642
langue	0.0468751	0.0342923	0.0393656	0.0301315	0.0310737	0.0193491	0.0124978	0.0125812	0.011624	0.0152176	0.0127178	0.0169416	0.0282015	0.0393389	0.0366829	0.0374581	0.0194204	0.0218505	0.0281488	0.0105909	0.0192407	0.0357031	0.0380231	0.0526646	0.069664	0.112696	0.167649
mbochi	0.0780118	0.0510194	0.0499987	0.0554135	0.0481261	0.0352156	0.0343818	0.0372747	0.0290753	0.0447542	0.0266234	0.028197	0.0341521	0.0434571	0.0600224	0.067384	0.0649074	0.0266361	0.0211701	0.0103096	0.0140858	0.0158804	0.0167081	0.0157002	0.0175037	0.0221478	0.0518438
</S>	0.117452	0.0616206	0.0424052	0.0468137	0.0309427	0.0243701	0.0206801	0.0155376	0.0122773	0.0166318	0.0123312	0.0226765	0.0272449	0.0353228	0.0458915	0.0389855	0.0363966	0.0239048	0.0214268	0.0274588	0.0186574	0.0274189	0.0302004	0.032203	0.045153	0.0447929	0.121204
