 	w	a	a	k	a	l	í	s	í	o	t	é	m	a	a	b	v	ú	r	ú	n	d	é	e	y	á	o	l	ó	m	i	</S>
elle	0.0412627	0.102477	0.156956	0.281612	0.265143	0.0900372	0.0175876	0.00681366	0.00401318	0.00377564	0.00288657	0.0032281	0.00246208	0.00152606	0.00136659	0.00129263	0.00138823	0.00129477	0.00108468	0.00093981	0.00127203	0.0012248	0.00135628	0.0012553	0.000999186	0.00105571	0.00112779	0.00127116	0.000887427	0.000957172	0.000815364	0.000630478
changea	0.0090897	0.0115757	0.0105167	0.0139236	0.0197657	0.0250054	0.0915892	0.0513265	0.0393283	0.0597472	0.0621324	0.0768549	0.0669687	0.0447734	0.0462951	0.0461468	0.0339858	0.0410804	0.0328429	0.0244892	0.0258469	0.0404793	0.0265745	0.0197507	0.0200418	0.0102726	0.0193195	0.00918709	0.00403745	0.00393757	0.00420759	0.00890723
d'	0.0108133	0.0168554	0.0132815	0.0173611	0.0163548	0.0173563	0.0215857	0.0367072	0.0299194	0.0443425	0.0478751	0.0616591	0.0519932	0.0537013	0.0346907	0.0283608	0.0404275	0.0233718	0.0245118	0.0187401	0.020805	0.0271344	0.0421485	0.0550243	0.0396661	0.0411014	0.0264551	0.028279	0.0253176	0.0213101	0.026652	0.0361982
avis	0.00756534	0.012041	0.0103682	0.00840098	0.00880535	0.00852723	0.00744904	0.00997758	0.0146168	0.0143124	0.0224354	0.0297877	0.0323769	0.0360217	0.0521057	0.0430537	0.0475934	0.044026	0.0621667	0.069302	0.0585341	0.03615	0.0306278	0.0475992	0.0357299	0.0349844	0.027765	0.0289985	0.0256128	0.0323987	0.0372555	0.063411
et	0.00609421	0.0063149	0.00568641	0.00945441	0.00647393	0.00721963	0.0145465	0.0265114	0.0165299	0.0156525	0.0128807	0.014189	0.00906637	0.0137663	0.0313991	0.0483049	0.0533717	0.0323872	0.0614761	0.045284	0.0345124	0.0363938	0.0353634	0.0622129	0.0758208	0.078026	0.0413069	0.0338194	0.0304701	0.0316344	0.0397168	0.0641139
rentra	0.016604	0.0224796	0.0235012	0.0259916	0.0229644	0.030565	0.028442	0.0336178	0.0578553	0.0542466	0.0437448	0.0523471	0.0281688	0.0243243	0.0218776	0.0184532	0.0229727	0.0188089	0.0331673	0.0181128	0.0168267	0.0201539	0.0418487	0.0455053	0.0513303	0.0441966	0.0298494	0.0350815	0.0417293	0.0250135	0.02128	0.0289398
chez	0.0142177	0.0187187	0.0184678	0.0179858	0.0192686	0.0242019	0.0222869	0.0186305	0.0260463	0.0236714	0.0194918	0.0221228	0.0120744	0.0116991	0.0200488	0.025939	0.0377372	0.0363822	0.0364843	0.0301158	0.0248198	0.0255126	0.0381686	0.039074	0.0538282	0.05641	0.0543881	0.0575328	0.0639056	0.0510533	0.0297394	0.0499767
son	0.00963296	0.0127792	0.0127666	0.0120464	0.0123654	0.0140324	0.013806	0.0107285	0.0146691	0.0129913	0.0115519	0.0124243	0.00960121	0.00992719	0.0138223	0.0180481	0.0231945	0.0239366	0.02268	0.025154	0.0244264	0.0233565	0.0283297	0.0387429	0.0511473	0.0718421	0.0786408	0.0788956	0.082124	0.0680976	0.075084	0.0831549
mari	0.00577183	0.0068786	0.00572446	0.00646894	0.00652971	0.0056105	0.0097505	0.00935098	0.0088461	0.00672368	0.00611822	0.00756203	0.00796035	0.00884934	0.0201947	0.0212944	0.0277717	0.0221673	0.0167521	0.0206321	0.0199801	0.0180105	0.0251143	0.0364218	0.0451713	0.0468473	0.0656125	0.0804134	0.0778928	0.10433	0.104615	0.144633
</S>	0.00651185	0.00696833	0.00702679	0.00914163	0.00725539	0.00683486	0.0139673	0.0226731	0.0181523	0.0160038	0.0166396	0.0176748	0.0153534	0.0156932	0.0237926	0.0253748	0.0356456	0.0255005	0.0229877	0.0480548	0.0267079	0.022086	0.0165566	0.0162311	0.0222926	0.0296764	0.0473737	0.0764586	0.0664237	0.0796952	0.100883	0.134363
