 	b	a	r	e	á	s	á	r	e	á	d	z	w	e	s	á	k	ω	a	s	ú	s	u	á	b	v	u	u	s	á	n	d	é	e	</S>
trois	0.104166	0.0957085	0.0224415	0.0110665	0.0140103	0.00641251	0.0100454	0.017888	0.0377003	0.060204	0.0665715	0.0563536	0.0697395	0.0460701	0.0288785	0.0260268	0.0148808	0.0254803	0.0205254	0.0110924	0.016493	0.0202137	0.018322	0.0284163	0.0159039	0.0114252	0.0164742	0.0118379	0.011205	0.0149136	0.0162042	0.0231932	0.019687	0.0136524	0.0167966
personnes	0.0567816	0.0623755	0.0793594	0.0937487	0.0675137	0.0458227	0.0423978	0.053172	0.0643233	0.0595394	0.0435107	0.0541121	0.057246	0.0192655	0.0107494	0.00339846	0.00641673	0.00405212	0.00692846	0.0130927	0.011028	0.0133697	0.0105841	0.0124364	0.00855893	0.016611	0.0165236	0.00661456	0.00585598	0.00767269	0.00885222	0.00729804	0.00520973	0.00740824	0.0181706
sont	0.031028	0.042793	0.0527862	0.0458521	0.0359156	0.0654914	0.0683344	0.0529055	0.0579194	0.0436571	0.0354613	0.0144844	0.0239824	0.0300968	0.0178022	0.014935	0.0257839	0.0231009	0.0211275	0.0157337	0.014819	0.0182551	0.0182979	0.0193719	0.0143419	0.0156875	0.0170715	0.0152871	0.0150971	0.0242698	0.015588	0.0141072	0.0217956	0.031697	0.0251228
parties	0.0162248	0.0177882	0.0185193	0.0266379	0.0217524	0.0290568	0.0270845	0.0297614	0.019861	0.0184484	0.0212547	0.00879953	0.0125494	0.0256925	0.0199345	0.0292159	0.0400684	0.0474593	0.0454922	0.0345621	0.0349907	0.0396492	0.0265324	0.0439753	0.030201	0.027085	0.0281166	0.025696	0.0214563	0.032307	0.0186444	0.0253311	0.0315988	0.0401424	0.0641108
en	0.0152472	0.0166243	0.0141365	0.0142099	0.0165934	0.0246277	0.0236665	0.0251692	0.0188759	0.0187471	0.0175361	0.0208865	0.0304094	0.0435003	0.0363962	0.0345666	0.0364111	0.0271233	0.0357849	0.0258018	0.0360464	0.0183941	0.0197044	0.0181068	0.027219	0.018546	0.0162389	0.0206581	0.0185877	0.016791	0.0185948	0.0331057	0.0413701	0.0501285	0.150195
forêt	0.0194974	0.0211958	0.0149987	0.019949	0.0242792	0.028383	0.0293314	0.0174215	0.0136902	0.0122734	0.0131364	0.0077744	0.0152913	0.0195557	0.02574	0.0153073	0.0330987	0.0263689	0.0322527	0.0212957	0.0199622	0.0188147	0.0299721	0.0190212	0.0208401	0.0223994	0.033705	0.0268905	0.0341025	0.0314538	0.0495252	0.0497589	0.0729388	0.0636121	0.0961629
les	0.0105133	0.011288	0.0103833	0.0132075	0.0145464	0.0143981	0.0144898	0.0121078	0.00964656	0.00932408	0.0105699	0.00970825	0.0126821	0.0231655	0.0251164	0.0132259	0.0262389	0.0254178	0.029387	0.0351581	0.0430114	0.0325953	0.0409666	0.0187066	0.0317068	0.0532585	0.0503899	0.0424443	0.0371288	0.0269416	0.0478361	0.0529232	0.0667471	0.058863	0.0659062
autres	0.0495132	0.0491009	0.0542046	0.060089	0.0526537	0.0526069	0.0349038	0.0210032	0.0188637	0.0146116	0.00861889	0.00736151	0.00598601	0.00889471	0.00643338	0.0052659	0.010046	0.01547	0.0166022	0.0167709	0.0260838	0.0222442	0.0268794	0.0235003	0.0286355	0.0397607	0.0357028	0.0315629	0.0315907	0.0313145	0.0347528	0.0349089	0.0367091	0.0512116	0.0361428
sont	0.0250533	0.0169089	0.0159934	0.0154422	0.0170339	0.0167405	0.0112368	0.00964683	0.00673418	0.00603358	0.00630737	0.00672873	0.00871164	0.017848	0.0203352	0.0267865	0.0297528	0.0344236	0.0399124	0.0442799	0.0595379	0.0342598	0.0286612	0.0319753	0.0484091	0.0371942	0.0215767	0.0368754	0.0443051	0.0282144	0.0418537	0.045593	0.0492129	0.0522696	0.064152
restées	0.0412145	0.0311748	0.0259976	0.0166012	0.0174343	0.0144059	0.00419029	0.00416279	0.00274393	0.00248495	0.00269216	0.0034116	0.00286375	0.00576171	0.00608691	0.00606596	0.0148185	0.0211972	0.0254873	0.0213652	0.0357899	0.0193837	0.0352333	0.0350725	0.0521275	0.0237657	0.0163372	0.0428942	0.0533943	0.0563313	0.0613185	0.0627931	0.0613436	0.0810331	0.0930214
