 	b	e	a	b	í	í	d	í	o	s	ó	m	b	i	k	a	á	</S>
il	0.0194317	0.0279374	0.0576323	0.0518974	0.0734116	0.05691	0.0318918	0.0603732	0.0761782	0.0947048	0.0809397	0.0378958	0.0523442	0.0915407	0.0553319	0.0445306	0.0432217	0.043827
n'	0.234618	0.134039	0.0670214	0.0422846	0.134698	0.0774667	0.0295725	0.0153595	0.0159736	0.0175526	0.0131771	0.0184449	0.0289757	0.0221094	0.0400705	0.0383707	0.0294971	0.0407683
y	0.198075	0.156609	0.0491678	0.0215087	0.0748322	0.0782937	0.052431	0.025909	0.0351749	0.04075	0.0519463	0.0356645	0.0205735	0.0118756	0.0126116	0.0357997	0.0313827	0.0673949
a	0.352895	0.135352	0.0616494	0.0285777	0.0365396	0.0353374	0.0289963	0.0349465	0.0452717	0.0390083	0.0290846	0.0195244	0.0215798	0.0132826	0.0163333	0.025096	0.0301769	0.0463485
pas	0.0577883	0.0289519	0.017979	0.0239213	0.0295152	0.0211349	0.02225	0.0245375	0.0513682	0.057299	0.0859616	0.0554677	0.0807646	0.0709785	0.0726071	0.140831	0.0742878	0.0843565
d'	0.122043	0.0674817	0.0653649	0.054116	0.0441597	0.0276385	0.0327946	0.026367	0.0328331	0.0364937	0.0545025	0.0391717	0.0455538	0.0425531	0.0504338	0.0681384	0.0558401	0.134514
acheteur	0.143956	0.0991997	0.0697621	0.0455067	0.034521	0.0166691	0.0168358	0.0171905	0.0188853	0.0213837	0.0283076	0.0449613	0.0554872	0.0442498	0.0629799	0.076025	0.0612222	0.142857
pour	0.0763622	0.0524247	0.0703097	0.0663648	0.0471094	0.0228089	0.0235147	0.0189911	0.0253767	0.0308648	0.0468251	0.0379031	0.0488219	0.0658487	0.0494563	0.0960271	0.0857743	0.135217
ces	0.154399	0.0871397	0.0651498	0.0847318	0.0235209	0.0139809	0.00780148	0.00902078	0.0113277	0.0152324	0.0307576	0.0270035	0.0361301	0.0653753	0.0486428	0.104888	0.0840745	0.130824
marchandises	0.122346	0.0727551	0.035274	0.0265631	0.0177936	0.0163786	0.0167404	0.0257061	0.0298053	0.0403427	0.0460157	0.0687566	0.068799	0.0799435	0.0942912	0.0777886	0.0772746	0.0834256
</S>	0.135115	0.0845427	0.0665787	0.0629909	0.0265068	0.0131884	0.00590678	0.00536009	0.00562795	0.00843078	0.022361	0.0301218	0.0411404	0.0768217	0.116557	0.10466	0.0911713	0.102918
