 	n	g	a	n	g	a	á	k	a	n	g	i	w	á	e	k	ó	r	ó	m	í	b	h	í	s	a	l	á	w	a	l	a	l	ω	i	</S>
le	0.12279	0.0972731	0.14993	0.0613973	0.00452802	0.00313431	0.00353209	0.00927349	0.00814965	0.00911591	0.0133989	0.0126899	0.0268409	0.0228297	0.0394788	0.0526272	0.0347983	0.0390246	0.0341704	0.0391756	0.028118	0.0178478	0.0135787	0.0135048	0.0092334	0.0086877	0.016368	0.0161771	0.0131219	0.00930011	0.0118985	0.0113337	0.0123681	0.0100048	0.0140107	0.0102887
féticheur	0.0871204	0.0646773	0.054919	0.0628114	0.122707	0.200896	0.150438	0.083666	0.0523324	0.0241607	0.0203505	0.0100659	0.00697902	0.0050816	0.00138625	0.000390694	0.000172646	0.000193524	0.000240427	0.000370184	0.00113431	0.00448663	0.00284072	0.00674914	0.00280674	0.00342483	0.00232577	0.00366858	0.00816704	0.00275835	0.00203513	0.00339668	0.0021843	0.00223038	0.00181474	0.00101842
lui	0.0874421	0.0483335	0.0446681	0.0374927	0.0176724	0.0179801	0.024375	0.0340744	0.0768474	0.0996636	0.0749421	0.0375877	0.031378	0.030463	0.0178935	0.0168878	0.0169681	0.0251246	0.017019	0.00958854	0.0101305	0.0129411	0.0124536	0.0212808	0.0265791	0.0276212	0.0145667	0.0181532	0.0201083	0.0125015	0.010762	0.00823388	0.00763862	0.00689084	0.0115985	0.0121382
a	0.0205132	0.0192589	0.0285025	0.0312075	0.0653731	0.0759795	0.0633239	0.0460066	0.0499363	0.0319488	0.0361108	0.0370588	0.0321877	0.031233	0.0315445	0.0243095	0.0219127	0.0408037	0.0279828	0.0221805	0.0225212	0.0249439	0.0189368	0.0282426	0.0132365	0.01444	0.0126114	0.0122213	0.0165165	0.0125298	0.00792706	0.00703307	0.013769	0.013433	0.0183285	0.0259354
attaché	0.0108246	0.00645852	0.00725484	0.00672426	0.00648019	0.010328	0.0155216	0.016483	0.0196349	0.0257673	0.029445	0.0407559	0.0403691	0.0381297	0.0391808	0.0427771	0.0274785	0.0606944	0.0466083	0.0486514	0.0341665	0.0452047	0.0397508	0.0397157	0.0223759	0.0319673	0.0228768	0.0179923	0.0257806	0.023418	0.0192273	0.0166762	0.0176876	0.0200125	0.0351094	0.0484708
une	0.0164522	0.0170492	0.0253522	0.0182007	0.0177934	0.0224908	0.0247446	0.0211218	0.0262372	0.0337934	0.0353842	0.0504086	0.041448	0.0524692	0.0240569	0.0233507	0.0174293	0.0275445	0.0385936	0.0420654	0.0358308	0.0323878	0.0331459	0.0345301	0.0205334	0.0272305	0.0223995	0.0229261	0.0257223	0.0163457	0.0229126	0.0150145	0.0178222	0.0189467	0.0334584	0.0448077
amulette	0.0139999	0.0351977	0.04243	0.0330407	0.0256833	0.0241854	0.0219222	0.0232363	0.0257491	0.0322467	0.0310067	0.0362656	0.0383833	0.0410965	0.0453802	0.0343042	0.0264305	0.0469188	0.037672	0.0458052	0.0307466	0.0224163	0.0265888	0.0138187	0.00438178	0.00918071	0.0138772	0.00729482	0.0116295	0.014598	0.0170717	0.0124814	0.0226853	0.0220568	0.0375639	0.0726539
pour	0.0130575	0.0237765	0.0315383	0.024896	0.0221969	0.0227821	0.0245569	0.0184422	0.0256082	0.0257482	0.0263643	0.0230173	0.0166316	0.0251893	0.0188041	0.0158088	0.0202715	0.0335969	0.03585	0.0438043	0.0471098	0.0489204	0.0553626	0.0514825	0.0168863	0.0270201	0.0275024	0.023128	0.0232027	0.0229988	0.0217228	0.0221549	0.023918	0.0232175	0.0215276	0.0519046
le	0.0209073	0.0162297	0.016545	0.0166474	0.0179041	0.0155044	0.00945727	0.01024	0.0117559	0.0116986	0.00994571	0.0125822	0.0164048	0.0131766	0.0131191	0.0190471	0.0237288	0.0249903	0.0297036	0.0298415	0.0376706	0.0357188	0.0269695	0.0535542	0.012247	0.033573	0.0450284	0.0312869	0.0250476	0.0325304	0.0425441	0.0315017	0.0621463	0.0609602	0.064201	0.0655911
protéger	0.0370171	0.0272251	0.026885	0.0227829	0.020684	0.0141469	0.0125609	0.0110856	0.0107772	0.0124257	0.0113532	0.0136556	0.0147752	0.0138621	0.0218626	0.0294332	0.031046	0.0399332	0.0369059	0.04186	0.0356698	0.0228613	0.0259352	0.0167182	0.00516458	0.00990468	0.0240716	0.0137484	0.0108696	0.0145325	0.0455092	0.0167994	0.0701267	0.0483053	0.072195	0.117311
contre	0.0371542	0.0173315	0.0182707	0.0277042	0.0302721	0.0235115	0.021223	0.0203939	0.0208019	0.0250886	0.0134772	0.0123375	0.0098819	0.0111127	0.0121393	0.016932	0.0179529	0.0293278	0.02877	0.0341511	0.0370185	0.0243646	0.0228197	0.0290451	0.0251451	0.0308576	0.0404479	0.0308798	0.0223663	0.027321	0.0340096	0.0283316	0.0437576	0.0339529	0.0493537	0.0924952
