 	n	g	á	i	d	í	l	e	y	é	b	h	í	n	í	l	a	m	w	ε	n	έ	o	k	u	m	u	</S>
j'	0.0782007	0.406024	0.158238	0.0870188	0.0217407	0.0131425	0.0077922	0.00292381	0.00133061	0.0043718	0.00465692	0.0164663	0.0272056	0.038505	0.0140221	0.0268905	0.0138171	0.0134927	0.0124768	0.00775938	0.00600546	0.00570216	0.00469278	0.00448664	0.00548907	0.00590838	0.00586029	0.00578016
entretiens	0.0484572	0.0152607	0.0184555	0.0218311	0.03854	0.055849	0.0581893	0.0971305	0.0427099	0.102347	0.0840184	0.0755908	0.0707136	0.0604291	0.0630062	0.0312287	0.00754578	0.0113355	0.00800381	0.00661563	0.00816417	0.0105708	0.0064898	0.00820821	0.0086984	0.00811634	0.0109535	0.021541
de	0.0590618	0.0830036	0.088156	0.0797032	0.0671162	0.0622232	0.0501424	0.0250931	0.0154138	0.0213056	0.0197751	0.0230577	0.0215418	0.0231624	0.0169297	0.0258261	0.0187783	0.0232348	0.0315151	0.0275939	0.0402028	0.0347303	0.0270745	0.0272756	0.0260111	0.0258709	0.0229888	0.0132124
bonnes	0.057289	0.029137	0.0157648	0.0166716	0.0194555	0.0206251	0.0176057	0.0161202	0.025728	0.0249119	0.0250235	0.0221221	0.0424209	0.0334097	0.03468	0.0337636	0.0481793	0.0455808	0.0490422	0.0796719	0.0511714	0.0407337	0.0657931	0.0457105	0.0406359	0.0267271	0.0368641	0.0351614
relations	0.0205631	0.0203043	0.0233675	0.0128847	0.018836	0.0221803	0.0165925	0.0174086	0.0224273	0.0190514	0.0213593	0.0257077	0.0280492	0.0399211	0.0281111	0.0350531	0.04244	0.031877	0.0447347	0.0203595	0.0214767	0.0404178	0.0539279	0.0554483	0.068298	0.0578241	0.0730211	0.118358
avec	0.032607	0.0298848	0.0203507	0.0263152	0.0289323	0.0376163	0.0176848	0.0151348	0.0119409	0.0173993	0.0201936	0.036058	0.0359104	0.0353883	0.0196595	0.0264734	0.0264749	0.0399795	0.0412218	0.0462692	0.0440999	0.0563925	0.046455	0.0517674	0.0562869	0.0470224	0.0594489	0.0730325
le	0.061711	0.0504563	0.0388367	0.046066	0.0549785	0.0541366	0.0236923	0.0156938	0.0137092	0.0142341	0.0175475	0.0298217	0.0270218	0.0463331	0.0285278	0.0296126	0.0289246	0.0212719	0.0323479	0.0152604	0.0194256	0.0203015	0.0278154	0.0337563	0.0426497	0.0562126	0.0721717	0.077483
notable	0.0161488	0.0137152	0.022919	0.0126413	0.0131301	0.0153482	0.0151033	0.0125736	0.0104266	0.0062167	0.00789999	0.008823	0.0142694	0.0218493	0.0216432	0.0255018	0.025265	0.0312341	0.0410942	0.0476734	0.0350124	0.0355971	0.0498403	0.0619786	0.0739307	0.0466284	0.122716	0.19082
okoumou	0.0259564	0.0184664	0.0215719	0.0153213	0.0127296	0.0140299	0.0123196	0.0148662	0.0122714	0.00878773	0.00949142	0.0117888	0.0138562	0.0228826	0.0195431	0.0224785	0.0231815	0.0260244	0.0279383	0.0361355	0.0303087	0.0394921	0.0519158	0.0628407	0.0701438	0.0942978	0.128114	0.153246
</S>	0.0448842	0.0159693	0.0195975	0.0212641	0.0146366	0.0153493	0.0129336	0.0133845	0.00784731	0.00503532	0.00352771	0.00477957	0.00735631	0.0135285	0.0175731	0.0202703	0.018092	0.0200318	0.0200639	0.0534421	0.0426519	0.0644641	0.0900868	0.0894085	0.0846613	0.0761785	0.0944386	0.108543
