 	b	í	s	í	l	é	e	b	έ	r	έ	i	k	o	í	m	í	y	a	m	b	a	l	ó	k	o	n	d	z	i	</S>
nous	0.288105	0.218469	0.0974153	0.0371667	0.0132827	0.0113188	0.0182839	0.0161581	0.0111872	0.0102221	0.0191758	0.0180814	0.0231214	0.0163431	0.0167901	0.0194605	0.0159203	0.0140057	0.0137328	0.0122932	0.0136551	0.0125559	0.0102444	0.00865494	0.00733046	0.0069416	0.008723	0.00995351	0.0113574	0.010223	0.0098272
jouons	0.0505092	0.0490829	0.0284742	0.0311402	0.0347438	0.0618113	0.0670848	0.0765371	0.0764737	0.0646402	0.0330955	0.0200726	0.0510891	0.0333451	0.0435359	0.0371112	0.0394008	0.0316364	0.0286342	0.0185611	0.0197446	0.0216559	0.0160365	0.0134839	0.00783596	0.00756189	0.00960177	0.00671356	0.00536547	0.00727759	0.00774349
de	0.00994928	0.021325	0.0310106	0.0542962	0.020383	0.0104075	0.0161548	0.0246929	0.0375686	0.031515	0.0357316	0.0445066	0.0234462	0.0321116	0.0254117	0.026882	0.0287627	0.0411262	0.0375286	0.0535988	0.0360347	0.0508659	0.0550234	0.0563787	0.0379601	0.0332863	0.0307526	0.0209937	0.0256328	0.0198528	0.02681
la	0.0263712	0.0211034	0.0202569	0.0186769	0.0166215	0.0206903	0.0170355	0.0201759	0.0255726	0.0295718	0.0351545	0.0374519	0.0524522	0.0390682	0.0381243	0.0462933	0.0503843	0.0503849	0.0402752	0.0370662	0.0307618	0.0333554	0.0257907	0.0286047	0.0290983	0.0219022	0.0283765	0.0341499	0.0454185	0.0357921	0.0440191
trompette	0.00659843	0.00682624	0.00728956	0.0109781	0.0109732	0.0165899	0.0167138	0.0231552	0.0155532	0.0160026	0.0134994	0.0131482	0.0351273	0.0370483	0.0270507	0.0313045	0.0275951	0.0311102	0.0386815	0.0472261	0.0698086	0.0473343	0.0483267	0.036093	0.0536769	0.0433779	0.0509772	0.043147	0.0386201	0.0638642	0.0723025
pour	0.00617865	0.00513184	0.00460496	0.00964463	0.0164345	0.0325164	0.0264955	0.0377172	0.0288728	0.0366083	0.0271195	0.0192992	0.0405187	0.0488657	0.0544153	0.0598294	0.0516827	0.043458	0.0438348	0.0592005	0.0433211	0.0406682	0.0426912	0.0351583	0.0275368	0.0276896	0.0276203	0.0200404	0.0227378	0.0242707	0.035837
accueillir	0.0206109	0.0208293	0.0210403	0.0231493	0.0231106	0.0263267	0.0256967	0.0303707	0.025524	0.0253434	0.0181631	0.0114964	0.0237628	0.0214677	0.0307792	0.0429444	0.0347864	0.0382502	0.0376569	0.0336188	0.0375959	0.0485534	0.0476865	0.0424282	0.033062	0.0322728	0.0339476	0.0367141	0.041733	0.0406164	0.0704623
le	0.0198815	0.0157959	0.0130164	0.0162476	0.020015	0.0250344	0.0210579	0.024891	0.0223816	0.0275166	0.0223472	0.0143972	0.0254624	0.0263116	0.0296505	0.0415025	0.0436154	0.0471143	0.0515767	0.0528861	0.0471414	0.0439727	0.0530491	0.0408914	0.0376166	0.031629	0.0319457	0.0273623	0.029354	0.0304382	0.0658976
chef	0.0254882	0.0200633	0.0169717	0.015257	0.0129526	0.0161939	0.0176281	0.0184448	0.0164448	0.015714	0.0170422	0.0173799	0.0352067	0.0299892	0.0252938	0.0354012	0.0367626	0.0364644	0.0410373	0.0194005	0.0323478	0.0228225	0.0408526	0.0320653	0.0182979	0.0190069	0.0281126	0.0382191	0.0680464	0.120865	0.110228
</S>	0.0125361	0.0141319	0.0168693	0.0176487	0.0166124	0.0191009	0.0190646	0.0236127	0.0180544	0.0178548	0.0130994	0.0104153	0.0246157	0.0178906	0.0207546	0.0269028	0.0274304	0.0368275	0.041383	0.037515	0.0482395	0.0385303	0.0426506	0.0436478	0.0463817	0.0451677	0.0419844	0.055602	0.0580089	0.0746729	0.0727943
