 	a	k	έ	έ	m	á	a	f	u	m	b	ú	s	á	b	á	n	a	</S>
la	0.0738116	0.0448635	0.0127426	0.0113177	0.0108311	0.0127215	0.0259358	0.0454714	0.0604072	0.12322	0.128168	0.0801881	0.0808483	0.106102	0.0575542	0.0470425	0.0287994	0.0297276	0.0202481
ciga	0.0504405	0.123089	0.279817	0.278164	0.157538	0.0600121	0.0202475	0.0077558	0.00671129	0.00481165	0.00354974	0.0032904	0.000599908	0.000312605	0.000303216	0.000571731	0.00107227	0.0007549	0.00095767
rette	0.0594122	0.0723135	0.076525	0.0633888	0.0723111	0.0818909	0.105157	0.0935371	0.0569541	0.0908613	0.0682851	0.0395076	0.0223255	0.0142652	0.0190654	0.0173882	0.00922913	0.0167347	0.0208485
fait	0.298293	0.152216	0.115966	0.0654367	0.0543454	0.0632553	0.0540922	0.0568493	0.0415909	0.016707	0.0144624	0.00652667	0.00444404	0.00583328	0.00482138	0.0060907	0.00780319	0.00917592	0.0220905
perdre	0.0599992	0.0482649	0.0372452	0.0353247	0.0518137	0.0921696	0.0591061	0.0279859	0.0300087	0.0243722	0.0190705	0.0239753	0.0402124	0.059548	0.0588139	0.0656105	0.0798059	0.0719139	0.114759
le	0.0654746	0.0637428	0.0535331	0.0455829	0.0825863	0.0840123	0.0604449	0.0271539	0.022422	0.0210269	0.0151436	0.00801491	0.0153866	0.0176082	0.0307773	0.0494937	0.0727616	0.0936401	0.171194
bon	0.0972274	0.0497271	0.0537118	0.0323821	0.0389653	0.026531	0.00942238	0.00695121	0.0088604	0.0170392	0.0294403	0.0327596	0.0578437	0.0360941	0.0365924	0.0571716	0.0987497	0.105433	0.205098
sens	0.0906589	0.0600652	0.0436164	0.0330243	0.0280873	0.0204081	0.0110452	0.0100721	0.0111231	0.0121013	0.0107311	0.0207368	0.0418504	0.0694423	0.0911266	0.0964383	0.107552	0.112969	0.128951
aux	0.0653187	0.0456819	0.0307307	0.021448	0.0240719	0.026339	0.014711	0.0104204	0.00799249	0.00747533	0.00485006	0.00317781	0.0142829	0.0395326	0.106496	0.150872	0.108411	0.113343	0.204845
enfants	0.133088	0.0939057	0.0676497	0.0534766	0.0247357	0.0159757	0.0104772	0.010313	0.0108675	0.00852833	0.00648614	0.00769433	0.0205223	0.0375574	0.0526261	0.0764112	0.0997523	0.103258	0.166674
</S>	0.0552762	0.0653505	0.0592756	0.0861213	0.0677318	0.034538	0.0120675	0.00510196	0.00446123	0.00398168	0.00383759	0.00684345	0.0192609	0.0373855	0.0608122	0.105609	0.123717	0.117306	0.131322
