 	w	a	a	d	í	i	b	a	a	l	í	í	p	é	n	d	í	p	ó	s	á	b	a	r	e	s	á	p	o	o	y	é	m	b	v	a	m	b	v	a	</S>
c'	0.025255	0.183496	0.154002	0.139368	0.0754253	0.0592272	0.0910175	0.0631676	0.077754	0.0467115	0.0316979	0.0167755	0.00663447	0.0078941	0.00430785	0.00465823	0.00261755	0.00244995	0.000843339	0.000424837	0.000217986	0.000301584	0.000233884	0.000184069	0.000267687	0.00024545	0.000255072	0.000253303	0.000264737	0.000322777	0.000360784	0.000393673	0.000370052	0.00039501	0.000389863	0.000342265	0.000350938	0.00034579	0.000294315	0.000309955	0.000173546
est	0.0503775	0.0752726	0.070005	0.0394695	0.0625819	0.0603418	0.0509969	0.0440495	0.0350883	0.0323113	0.0361074	0.0488054	0.0464815	0.0386938	0.0634676	0.0548822	0.0406852	0.0268202	0.00577408	0.00500226	0.00392081	0.00308254	0.00199679	0.00385179	0.00830887	0.00505978	0.00665195	0.00617007	0.00808073	0.00608081	0.00641744	0.00830391	0.00751698	0.0052308	0.00511356	0.00635068	0.00577513	0.0044285	0.00388868	0.0029682	0.00358801
assurément	0.0131038	0.0162409	0.0133895	0.070701	0.0604799	0.0375601	0.0313794	0.0219211	0.0281924	0.0180934	0.0193224	0.0456604	0.0450466	0.0371634	0.0251288	0.0283477	0.0129353	0.0146785	0.0198183	0.0333078	0.0248208	0.0464742	0.0467691	0.0367602	0.0366677	0.0249398	0.014178	0.018327	0.010735	0.00908913	0.00899428	0.00331368	0.0032255	0.00289064	0.00245068	0.00292384	0.00438071	0.00692978	0.0126166	0.0215389	0.0695037
le	0.0252474	0.0260313	0.0335198	0.0243881	0.0379339	0.0486861	0.0517324	0.0246214	0.0373831	0.0225745	0.0150736	0.0312429	0.0323386	0.0229001	0.012392	0.012181	0.00433306	0.00548898	0.0106488	0.0126446	0.0139591	0.0183158	0.0177822	0.0235729	0.0175889	0.0215694	0.0234524	0.0318561	0.0307356	0.0311428	0.0206683	0.0183807	0.0205809	0.0165355	0.0115835	0.015545	0.0210664	0.0293909	0.0377246	0.0342093	0.0529782
garçon	0.0222374	0.0501476	0.0319639	0.0496149	0.079569	0.0670376	0.0677465	0.0485023	0.0457094	0.0540178	0.0311131	0.0354469	0.0366121	0.0661453	0.0931594	0.0770053	0.0267081	0.0123575	0.0093155	0.01361	0.0111227	0.00427508	0.00370542	0.00557225	0.00701664	0.00520926	0.00359324	0.0024198	0.00264395	0.00198158	0.00253888	0.00318375	0.00134923	0.00121687	0.00125324	0.00127621	0.0014026	0.00193697	0.0028611	0.00236464	0.0150572
le	0.0112499	0.0103492	0.00964993	0.00976001	0.0207695	0.02424	0.0279276	0.00949885	0.0154394	0.00660587	0.00466383	0.00629493	0.00678257	0.00573503	0.00593016	0.00759328	0.0124516	0.022088	0.0340327	0.0345906	0.0381419	0.0358015	0.0259705	0.0301733	0.0244473	0.0254754	0.0142565	0.0144551	0.0159824	0.0205626	0.0159124	0.0244365	0.0317569	0.0320332	0.0370528	0.045526	0.040617	0.0462503	0.0489232	0.0472812	0.0992915
plus	0.00478985	0.00964337	0.00890251	0.0137466	0.0241093	0.0251378	0.0280813	0.0134568	0.0171509	0.0118529	0.00700546	0.0120799	0.00741068	0.0115584	0.00865259	0.0110469	0.014469	0.0377076	0.0377341	0.0236247	0.0423383	0.0260672	0.023833	0.0207863	0.0201297	0.0221599	0.016721	0.0169279	0.0178935	0.0218366	0.0209282	0.0203583	0.0199045	0.0195464	0.0321867	0.0301135	0.0333493	0.0443427	0.0529277	0.0502934	0.119195
gentil	0.00909114	0.00569098	0.00554207	0.00596034	0.00840235	0.00773419	0.00811954	0.00474716	0.00716387	0.004577	0.00479835	0.00702213	0.0103876	0.00828577	0.011844	0.00877315	0.0108788	0.0297441	0.0521203	0.0562886	0.038505	0.0404401	0.0273381	0.0243134	0.0229187	0.0189992	0.0144204	0.0133123	0.0171904	0.0196921	0.0213673	0.0207995	0.0200572	0.0212913	0.0361414	0.0400325	0.04619	0.0541751	0.0566426	0.0623685	0.116633
du	0.0139135	0.0100817	0.0106997	0.00949688	0.0184217	0.0180775	0.0156667	0.0128255	0.0144781	0.0100146	0.00461546	0.00469778	0.00520522	0.00710732	0.00991474	0.0129422	0.0114873	0.0115183	0.0182307	0.0199581	0.0262273	0.0348763	0.0364978	0.0288236	0.0276438	0.0384498	0.0286747	0.0350382	0.0321495	0.0330841	0.0348216	0.0313672	0.031879	0.0283003	0.0223323	0.0237193	0.0326764	0.0423809	0.049666	0.0540856	0.0879535
village	0.0105375	0.0103279	0.00853198	0.0127223	0.0242992	0.0220621	0.0196146	0.0118778	0.0109802	0.00726777	0.006162	0.00775025	0.00799476	0.00725371	0.00713148	0.00791781	0.00631798	0.00918822	0.0135723	0.0190547	0.0142386	0.0192957	0.0246945	0.0179489	0.0175478	0.0240597	0.0193243	0.0278856	0.0296464	0.0239847	0.027828	0.0190474	0.0229874	0.0194773	0.0282117	0.0309416	0.0479946	0.073604	0.0762703	0.076173	0.128274
</S>	0.0135066	0.00857906	0.00981427	0.0107503	0.00923125	0.00888106	0.0082045	0.00685924	0.00712309	0.00513346	0.00440716	0.00584674	0.00727935	0.00579869	0.00675161	0.0084009	0.00990498	0.0112184	0.0234103	0.0248827	0.0199168	0.0235944	0.0193798	0.0188104	0.0152274	0.021296	0.0166008	0.0177509	0.0188325	0.0236059	0.0229126	0.0254934	0.0305962	0.0321514	0.0291946	0.031471	0.0558426	0.0806045	0.0911109	0.079563	0.130061
