 	n	g	á	i	d	i	l	a	p	ó	s	á	o	s	á	l	á	l	a	n	ω	t	s	í	n	a	n	ω	o	d	í	l	a	m	w	έ	έ	n	έ	</S>
j'	0.0721988	0.274531	0.281821	0.13503	0.0615463	0.0200944	0.00639693	0.00713617	0.00520135	0.00217284	0.000680013	0.000635135	0.00104695	0.00128766	0.00352952	0.004529	0.00464828	0.00627783	0.00864517	0.0124964	0.00845297	0.00743902	0.00552759	0.00600549	0.0037356	0.00448953	0.00483913	0.00440644	0.00543101	0.0041498	0.00518978	0.00326836	0.00336264	0.00393934	0.00382676	0.00338635	0.00318319	0.00344627	0.00293151	0.00308415
aime	0.0270315	0.00930022	0.00722749	0.01737	0.0168761	0.0201906	0.0295516	0.0510948	0.0941287	0.110044	0.101742	0.0805267	0.0741797	0.0481444	0.0492512	0.0418292	0.037508	0.0339988	0.021657	0.0198056	0.00814016	0.0063487	0.0124893	0.0102328	0.00792602	0.00556011	0.00387524	0.00238366	0.00211879	0.0018394	0.00276577	0.00254557	0.00432384	0.00465044	0.00353233	0.00268598	0.00591661	0.00437961	0.00548119	0.0113471
travailler	0.0478649	0.035704	0.0372473	0.0385962	0.0298018	0.0272357	0.0293928	0.0224468	0.0214357	0.0182145	0.0172367	0.0242601	0.0276874	0.0352113	0.0320816	0.0320011	0.0177542	0.0134497	0.0255845	0.0193647	0.0373231	0.0415852	0.0227943	0.0353399	0.0310604	0.0218274	0.0184448	0.0168904	0.0163014	0.0178294	0.019547	0.0171881	0.0170444	0.0259331	0.0167194	0.013127	0.0154577	0.0183776	0.0199927	0.0246453
avec	0.0210957	0.0347708	0.0626886	0.0166676	0.0163813	0.0150619	0.00976769	0.00935938	0.0110941	0.0127383	0.0171992	0.0177649	0.0178057	0.0241914	0.0228304	0.0286808	0.033968	0.025312	0.0171976	0.0277634	0.0266687	0.0248763	0.0311169	0.0273669	0.0298034	0.0320951	0.0298193	0.0233663	0.0173578	0.0217353	0.0224635	0.0289297	0.0280743	0.0204675	0.012029	0.0180015	0.0213713	0.0353415	0.0447993	0.0619776
toi	0.0070619	0.00739481	0.0122834	0.00741193	0.00670758	0.00612079	0.00411945	0.00405477	0.00610192	0.00786306	0.00680434	0.0114244	0.0126262	0.0159346	0.0161247	0.0215783	0.02074	0.0182059	0.0233892	0.0226489	0.0212097	0.0241129	0.0247589	0.0384319	0.0392404	0.0465384	0.0450599	0.041432	0.0579936	0.0417398	0.0406435	0.050516	0.0383951	0.0441409	0.0266164	0.0290371	0.029612	0.0406372	0.0324187	0.0488697
parce	0.0105544	0.00733679	0.0131357	0.00556953	0.00508338	0.0054247	0.00592374	0.00535089	0.00796008	0.00716351	0.00747574	0.00793314	0.00860758	0.0103657	0.0124236	0.0198055	0.0209276	0.0264618	0.0420571	0.0244634	0.0352192	0.0389155	0.03315	0.0345631	0.0406801	0.0428771	0.038257	0.039961	0.0461697	0.05024	0.0382342	0.0410521	0.0277795	0.0305592	0.0141939	0.0111259	0.0240701	0.0354558	0.0435286	0.0799442
que	0.0131726	0.00465934	0.00327507	0.00314586	0.00530356	0.00590814	0.00944373	0.00943182	0.0187063	0.0196242	0.020973	0.0255224	0.0262889	0.0248489	0.0275152	0.0342596	0.0379764	0.0390722	0.0601602	0.040776	0.0505068	0.0567914	0.0382351	0.0412828	0.0434946	0.0355474	0.0389692	0.0335527	0.0222606	0.0177943	0.0129714	0.0194549	0.0178182	0.0188861	0.0080483	0.0101787	0.0154173	0.0191509	0.021733	0.0478429
tu	0.0209529	0.0112236	0.00830957	0.00904665	0.0160197	0.0156286	0.0120211	0.0121344	0.0137603	0.00831501	0.00829393	0.00857124	0.00877562	0.0124489	0.010877	0.0149686	0.0161151	0.0148202	0.0230151	0.0228437	0.0349795	0.0411412	0.0399646	0.0470922	0.0560068	0.0487857	0.0505527	0.0418034	0.0353134	0.028417	0.0284739	0.0347881	0.0334851	0.0315043	0.0146483	0.0209632	0.0278632	0.032546	0.0352684	0.0482619
es	0.0356308	0.016011	0.0129078	0.0189586	0.0236871	0.0159823	0.00874174	0.00762208	0.00750621	0.00595928	0.00678124	0.00673804	0.00746901	0.0117953	0.010516	0.014001	0.0209331	0.0212249	0.0207261	0.031726	0.0304143	0.0295904	0.0293686	0.0293599	0.0316979	0.0301404	0.0280007	0.014941	0.0141183	0.0156579	0.0229996	0.0337464	0.0402834	0.0438319	0.0349136	0.0390973	0.0455188	0.0491584	0.0542306	0.0780129
persévérant	0.016331	0.00963034	0.012586	0.011251	0.0113778	0.00874159	0.00532385	0.00604078	0.00739866	0.00631265	0.00841482	0.00847478	0.010822	0.0187419	0.0161366	0.0225068	0.028179	0.0296409	0.0328187	0.0423816	0.0416144	0.0454634	0.0599406	0.0359181	0.0407117	0.0303514	0.0271254	0.034266	0.0276389	0.0182557	0.0204881	0.0192598	0.019502	0.0287035	0.0278833	0.0354702	0.0321818	0.041833	0.0434309	0.0568508
</S>	0.0225389	0.0113726	0.0135144	0.0134822	0.0155657	0.010189	0.00740381	0.00705296	0.00702333	0.00497103	0.0037491	0.00378619	0.0039149	0.00503641	0.00445038	0.0048537	0.00773851	0.00591321	0.00753154	0.0180484	0.0230105	0.0247187	0.0497554	0.0280335	0.0382716	0.0338222	0.0281983	0.0242558	0.025154	0.0198392	0.0375031	0.0472884	0.0397413	0.0516168	0.0574722	0.0573716	0.0541568	0.0545605	0.0606841	0.0664097
