 	b	á	a	b	á	a	b	e	n	g	á	a	m	b	é	b	h	á	s	é	b	a	l	á	y	o	l	ω	n	g	ω	</S>
ils	0.0634769	0.110717	0.101026	0.0812827	0.0553145	0.0468938	0.0327048	0.0291096	0.0117922	0.0162458	0.0225228	0.0443788	0.0432214	0.0403155	0.0373563	0.0229292	0.0262429	0.0278798	0.0324874	0.0202628	0.0118785	0.0180096	0.0216197	0.0164955	0.0202126	0.00682051	0.00631346	0.00427583	0.00511065	0.00791191	0.00792788	0.0072627
font	0.0134142	0.0191773	0.0207964	0.015923	0.021908	0.0285228	0.0198102	0.0340881	0.0604651	0.0423833	0.0555324	0.0447987	0.0494352	0.0474404	0.0718599	0.0778499	0.0803842	0.0533705	0.0629427	0.0340922	0.0362792	0.0187586	0.0215708	0.0123467	0.0134592	0.00849971	0.00573253	0.00630216	0.00821129	0.00696515	0.00531576	0.00236449
la	0.028943	0.0191845	0.0208185	0.015042	0.0106454	0.00985374	0.0133315	0.0223659	0.0383317	0.0392013	0.0392318	0.0324687	0.0507422	0.0465028	0.0612198	0.0653834	0.0671273	0.0546825	0.0589182	0.0527056	0.031723	0.033328	0.0202183	0.0175512	0.0236317	0.0226785	0.0182065	0.0179752	0.0216	0.0158253	0.0215171	0.00904525
chasse	0.0190117	0.0141512	0.030372	0.030282	0.0297404	0.0303141	0.0330331	0.03846	0.0359539	0.0280508	0.0355394	0.0350287	0.0339002	0.0334422	0.0309007	0.0293193	0.0268326	0.0304175	0.0298044	0.0363492	0.0466007	0.0349039	0.0337813	0.0351367	0.0324095	0.032996	0.0269497	0.0452461	0.0300197	0.0250721	0.0272192	0.0187615
aux	0.0193244	0.0126439	0.0101714	0.00854028	0.0113008	0.0116191	0.0169924	0.0278232	0.0363806	0.0380332	0.040397	0.0375068	0.0415893	0.0484663	0.0496005	0.0500846	0.0502937	0.0496598	0.0370518	0.0363007	0.0387455	0.0325481	0.0154589	0.0144831	0.0160582	0.0176606	0.0189799	0.0255074	0.0368529	0.0440155	0.0422203	0.0636899
hérissons	0.0218173	0.0165423	0.0144785	0.0148292	0.0147819	0.0149397	0.0160771	0.0228443	0.0287755	0.0314057	0.0292981	0.0321247	0.0360768	0.033467	0.0378164	0.0399765	0.0304244	0.0287471	0.0253857	0.0230302	0.0313612	0.0308483	0.0228243	0.0246773	0.0266571	0.0313324	0.0380469	0.0553476	0.0500078	0.0540664	0.050744	0.0712481
dans	0.0213292	0.0198031	0.0126568	0.014454	0.0130781	0.0149944	0.0165665	0.0169549	0.018559	0.0223079	0.0188862	0.0191801	0.0228714	0.0230575	0.0277508	0.0296282	0.0252932	0.0209887	0.0180477	0.0176438	0.0199982	0.0200761	0.016555	0.0196738	0.0355977	0.0503438	0.0618382	0.0908349	0.0621775	0.0722545	0.0593176	0.0972813
la	0.0337008	0.0256989	0.0176648	0.0204355	0.01774	0.0213918	0.0173004	0.0225527	0.0248404	0.0258409	0.0292743	0.0311715	0.0317558	0.0296468	0.0313556	0.0341676	0.0236412	0.0194843	0.016962	0.0188305	0.0240283	0.0247742	0.0226512	0.0273259	0.0333929	0.0330517	0.0408732	0.0391202	0.0540695	0.0617299	0.0649014	0.0806262
petite	0.0257713	0.0214123	0.0202731	0.0163894	0.0116172	0.00948488	0.00890774	0.00934371	0.00986796	0.00938847	0.0107996	0.0123819	0.0116034	0.0105143	0.00920667	0.00679773	0.00176819	0.0036877	0.00278204	0.00232956	0.00454362	0.0109141	0.0140354	0.0188558	0.0420802	0.0605567	0.0725426	0.131075	0.0914684	0.110188	0.0865054	0.142908
plaine	0.0255639	0.018187	0.0152997	0.0185206	0.0111772	0.0100141	0.00952936	0.0083944	0.00939762	0.00798541	0.0181758	0.0197049	0.0123551	0.0117176	0.00608762	0.0061352	0.00197512	0.00342854	0.00264025	0.00370492	0.00680098	0.00996263	0.0114216	0.0170974	0.034739	0.044334	0.0636765	0.0861665	0.107101	0.120337	0.119552	0.158817
au	0.0423965	0.0283817	0.0204218	0.0288571	0.022921	0.0165776	0.0101672	0.0132369	0.0109817	0.00987533	0.0169346	0.0161004	0.0136707	0.0118863	0.00695499	0.00806655	0.00304962	0.00528109	0.00557482	0.00672645	0.0165204	0.0200642	0.0282031	0.0375694	0.0577111	0.0524571	0.0499929	0.0651469	0.0807488	0.0965759	0.0808856	0.116062
mi	0.0611049	0.0293826	0.0153226	0.011041	0.0115481	0.0137518	0.0145237	0.014221	0.01633	0.0122107	0.0202262	0.0240082	0.0217038	0.0177795	0.0116625	0.0148656	0.00519844	0.00932889	0.00850703	0.00971216	0.0219619	0.0261661	0.0268685	0.0254756	0.0278661	0.0225913	0.0377406	0.0731833	0.0906337	0.0936527	0.0979212	0.11351
lieu	0.0159432	0.00976542	0.00646341	0.0117371	0.00769366	0.0122287	0.0155359	0.0165188	0.0231083	0.0182028	0.0262742	0.0240957	0.0260584	0.0202352	0.0150574	0.0178394	0.0162559	0.0146678	0.0139314	0.0211484	0.0283948	0.0257181	0.0131478	0.0195088	0.0255607	0.0357589	0.0294006	0.0309858	0.0593126	0.122875	0.0826324	0.193943
de	0.0438286	0.0348677	0.0256978	0.0294252	0.0244752	0.0224282	0.018939	0.0265077	0.0319096	0.0239539	0.0426796	0.0267998	0.0340372	0.0238324	0.0181715	0.0201662	0.020367	0.0124935	0.0138765	0.0151656	0.0181923	0.01615	0.0128772	0.01656	0.0260737	0.0283948	0.0367544	0.0480147	0.0512881	0.0697454	0.057292	0.109035
la	0.0472854	0.0378807	0.0304432	0.0406244	0.0356029	0.0317882	0.0178877	0.0267102	0.0204199	0.0217467	0.0304563	0.0245414	0.0252836	0.0229662	0.0172602	0.0191354	0.0155939	0.0110416	0.0131962	0.0138077	0.0163811	0.012139	0.00992415	0.0105443	0.0272684	0.0376238	0.0525521	0.0617597	0.0555903	0.0652461	0.0537206	0.0935786
forêt	0.0637229	0.038499	0.0313386	0.0303466	0.0333017	0.0298106	0.0221435	0.0255929	0.012414	0.0146661	0.0315495	0.0250585	0.0194297	0.0179903	0.00870386	0.0103838	0.00551853	0.00439332	0.00483067	0.00609038	0.0102432	0.00931828	0.00915121	0.0126223	0.0223557	0.0290576	0.0474333	0.0626894	0.068592	0.073502	0.0838367	0.135414
</S>	0.027793	0.014933	0.0173448	0.0153691	0.0180457	0.0237296	0.020134	0.0328238	0.0339767	0.0320544	0.0499306	0.026088	0.0335666	0.0303329	0.0242674	0.0247527	0.0154527	0.0109148	0.0106494	0.017208	0.0212684	0.0142232	0.0118245	0.0141381	0.0257874	0.0212712	0.0311627	0.0465076	0.0621553	0.0756112	0.0637866	0.132896
