 	m	í	p	f	a	l	á	n	d	é	e	y	á	b	í	s	í	l	ó	o	l	ω	n	d	ώ	o	p	o	n	g	a	m	ú	m	é	b	ώ	ω	y	é	l	ó	m	i	</S>
pour	0.00731088	0.0175747	0.0146106	0.0176651	0.0190178	0.0283197	0.0307772	0.0344139	0.0411368	0.0429946	0.0393842	0.0424875	0.0465495	0.0484188	0.0448684	0.0423308	0.01982	0.0164229	0.0155489	0.022483	0.00733343	0.00970466	0.00834296	0.00618475	0.00760994	0.00975247	0.0110017	0.0153921	0.0203743	0.0144045	0.0221066	0.027471	0.0233642	0.0213956	0.0256333	0.0248623	0.0200014	0.0186172	0.0206502	0.0220955	0.0194921	0.0126281	0.0125424	0.014437	0.0124672
arriver	0.103095	0.0445519	0.0495723	0.0279195	0.040082	0.0422362	0.0619466	0.0638758	0.0554698	0.0709837	0.047255	0.0456962	0.0522743	0.0459808	0.0295931	0.0324331	0.0308633	0.0184003	0.0284588	0.0148323	0.00729944	0.00755202	0.00378703	0.00410573	0.0042806	0.00300444	0.00388915	0.00298799	0.0040527	0.00224101	0.00359336	0.0029114	0.00182848	0.00292129	0.00407316	0.0032001	0.00377699	0.00341386	0.00341472	0.00639287	0.00364023	0.00198178	0.00291747	0.00226723	0.00494718
chez	0.0465328	0.0466813	0.0267467	0.0225433	0.0253758	0.0234467	0.0297669	0.0161916	0.0169017	0.0175954	0.00888237	0.013576	0.0224876	0.0207678	0.0234635	0.0232506	0.0236832	0.0233407	0.0383246	0.0204236	0.0195437	0.0139087	0.0181989	0.0154392	0.0157592	0.0319413	0.0270246	0.0286491	0.0283024	0.0276771	0.0237004	0.0235432	0.0246985	0.0237401	0.023316	0.0187208	0.0185921	0.0153388	0.0211874	0.016202	0.0123363	0.0189529	0.0164486	0.0162654	0.0105309
nous	0.0355696	0.0415165	0.0589276	0.0657177	0.0672744	0.0676568	0.0648051	0.042389	0.0462323	0.0276577	0.031502	0.0340347	0.028509	0.0247312	0.0171956	0.014212	0.0112727	0.00649408	0.0201238	0.0178473	0.0138787	0.0158943	0.0149862	0.013807	0.0116892	0.0123473	0.0123352	0.01136	0.0120387	0.00775325	0.0106873	0.00785561	0.00822622	0.00858273	0.010251	0.00752648	0.00732034	0.00773378	0.00787442	0.00882683	0.0085408	0.00790764	0.0134924	0.0154115	0.0200042
il	0.0194781	0.0247155	0.0310076	0.0436191	0.0524899	0.0487167	0.0435097	0.0368782	0.0331715	0.0300247	0.0189821	0.0213424	0.0226934	0.017687	0.0169933	0.0155839	0.0149506	0.0101328	0.0245619	0.0257192	0.0205567	0.0199623	0.0197507	0.0145074	0.0188634	0.0174171	0.0170661	0.0119415	0.0162575	0.0112279	0.0132731	0.0067784	0.00661528	0.00782251	0.0103564	0.0108935	0.0107831	0.0114498	0.0156019	0.0179744	0.0197663	0.0222225	0.03056	0.037953	0.0581418
faut	0.0190623	0.0317412	0.0445851	0.0428981	0.0527056	0.0388691	0.0313243	0.0240452	0.0224979	0.0211642	0.0119903	0.0147389	0.0174123	0.0189774	0.0168877	0.0190407	0.0188881	0.0141605	0.0237901	0.0259001	0.0186706	0.0188618	0.0228021	0.0177294	0.0203884	0.0183441	0.0208513	0.0174949	0.0205738	0.0144011	0.0159838	0.0145818	0.0134021	0.0143559	0.0194556	0.0179891	0.0158049	0.012992	0.0155998	0.0263163	0.0217613	0.0138108	0.0302738	0.0357212	0.031155
suivre	0.0368975	0.025614	0.0278852	0.0288326	0.0282316	0.0325071	0.0243241	0.0153711	0.0126264	0.0110578	0.00908101	0.00882234	0.00986627	0.0136011	0.0159184	0.0176	0.0163865	0.0118309	0.018516	0.0171423	0.0133308	0.0129174	0.0142174	0.0128718	0.0144066	0.01697	0.0215629	0.018809	0.024598	0.0176904	0.0186866	0.0164079	0.0182124	0.01718	0.0244378	0.0222591	0.0243202	0.0283781	0.0312788	0.0367538	0.040503	0.0331947	0.0461867	0.0566812	0.0360331
le	0.0183676	0.0151081	0.0160082	0.0180427	0.0204682	0.0232008	0.0239614	0.0184105	0.014058	0.0143614	0.0119205	0.0127697	0.0143055	0.0153934	0.0156557	0.0163954	0.0171628	0.0190101	0.0322638	0.0286713	0.0299544	0.0220283	0.0282626	0.0199052	0.024255	0.0226079	0.027323	0.0234731	0.0238825	0.0251145	0.0222105	0.0195067	0.0198073	0.0185972	0.0191273	0.0203391	0.019347	0.0210499	0.022923	0.0272482	0.0280879	0.0277178	0.0324315	0.0329015	0.0563634
côté	0.0389543	0.0314549	0.0266221	0.0165139	0.0162599	0.00664737	0.00533538	0.00323114	0.00461645	0.00687178	0.00486179	0.00661629	0.00863239	0.0144508	0.0140303	0.0222798	0.0259195	0.0312032	0.0338593	0.0293602	0.0235482	0.0201922	0.0204282	0.0228021	0.0193003	0.0152286	0.0144023	0.0119825	0.0129508	0.0110704	0.00999205	0.014409	0.0128355	0.0138393	0.0166626	0.0244212	0.0382134	0.0306045	0.0406586	0.0544358	0.0322697	0.0330918	0.0492336	0.0429814	0.066725
droit	0.0377579	0.029513	0.0241977	0.0172865	0.011203	0.00792599	0.00753898	0.00701071	0.00605166	0.0057101	0.0039478	0.00435472	0.00482671	0.00366917	0.00232615	0.00264288	0.00256099	0.0042285	0.0144161	0.0258867	0.0385929	0.051643	0.0496528	0.0467804	0.0423558	0.0384424	0.0384431	0.032355	0.0248405	0.0308615	0.0255044	0.0232722	0.0244302	0.0227709	0.0222462	0.0229467	0.0227486	0.0226099	0.0158679	0.0163421	0.0125874	0.0175061	0.0249248	0.0258745	0.0833455
de	0.0431277	0.0270011	0.0223942	0.0216161	0.0173669	0.0114973	0.00945462	0.00781397	0.00751663	0.00692345	0.00752902	0.00735415	0.00734657	0.00738766	0.00590398	0.00617245	0.00482094	0.00509891	0.0117413	0.012572	0.0183743	0.0213442	0.0305379	0.0371051	0.031532	0.031342	0.0361102	0.0280091	0.0176246	0.0259552	0.0183989	0.0212873	0.0262226	0.0248112	0.0229248	0.0207205	0.0267929	0.0295025	0.0245517	0.0290118	0.0302631	0.0388569	0.0394696	0.0467964	0.0718162
cette	0.0331665	0.021093	0.0188716	0.0155614	0.0119678	0.00891412	0.00670582	0.00413645	0.00400377	0.00402989	0.0042158	0.00414097	0.00405619	0.00397095	0.00299267	0.00335639	0.0028545	0.00345651	0.00830239	0.0148731	0.0156122	0.0208317	0.0233859	0.0300491	0.0232889	0.019504	0.0249687	0.0259793	0.0207687	0.0294891	0.0247717	0.0273859	0.0319222	0.0289028	0.0287691	0.0300175	0.0327219	0.0358682	0.0346867	0.0427667	0.0429953	0.0446093	0.0506861	0.0539534	0.0753956
route	0.030547	0.0168503	0.0144664	0.0105829	0.00892192	0.00389796	0.00260751	0.00203679	0.00258844	0.0029343	0.00338285	0.00337315	0.00344436	0.00460799	0.00405354	0.00604466	0.0055924	0.00762678	0.0130781	0.0191193	0.018525	0.0188332	0.0215658	0.0211583	0.0176434	0.0137678	0.0180168	0.0169186	0.0154772	0.0233591	0.0230933	0.0354689	0.0344965	0.0327386	0.0311532	0.0304295	0.0377077	0.0425995	0.0349326	0.0561264	0.0540509	0.0472929	0.0578181	0.0647974	0.0662728
</S>	0.0399229	0.0311256	0.0321241	0.0281007	0.0228947	0.0180902	0.0149575	0.0122481	0.00796889	0.00728298	0.00593153	0.00575184	0.00451768	0.00331303	0.00292504	0.00310357	0.00468582	0.00516047	0.0111471	0.00981672	0.0123931	0.015795	0.0174838	0.0204101	0.0197232	0.0214363	0.0303622	0.0275582	0.0279824	0.0324664	0.0304364	0.024203	0.0301793	0.0291274	0.0317641	0.0269648	0.0247863	0.024538	0.0267232	0.0282965	0.0237511	0.0345031	0.0396242	0.0400553	0.0883682
