 	a	m	b	ω	r	i	á	m	i	d	í	n	g	í	s	á	n	d	é	e	y	é	é	m	i	b	h	í	s	í	m	á	m	ú	b	h	u	</S>
les	0.0557545	0.0473232	0.0541106	0.0296186	0.0307471	0.0368297	0.0444968	0.0377826	0.0413413	0.0571366	0.0442957	0.0502989	0.0492841	0.0474817	0.0446069	0.0365433	0.0238949	0.0201396	0.0267344	0.0154334	0.0140817	0.0117592	0.0106015	0.00961133	0.0101282	0.0113968	0.010682	0.0119333	0.0126991	0.011248	0.0112942	0.0106314	0.00923272	0.0104243	0.0106492	0.0125729	0.0122255	0.0149742
militaires	0.032792	0.0294596	0.0269441	0.0384382	0.0517468	0.0491059	0.0510098	0.0346113	0.0230272	0.0290713	0.0351317	0.0439722	0.0167276	0.0241708	0.00844205	0.00495891	0.00509354	0.00340397	0.0106771	0.0124886	0.0138806	0.0167688	0.0299277	0.0212018	0.0345755	0.0253454	0.0323976	0.0254741	0.0353997	0.029961	0.0314421	0.0324225	0.0311022	0.026672	0.0309215	0.0229465	0.018286	0.010002
ont	0.0258956	0.0331276	0.0134691	0.0386515	0.0331731	0.0302245	0.0392064	0.0413924	0.0572239	0.0546038	0.0667251	0.0440199	0.0351694	0.0384325	0.0270778	0.0264502	0.0436268	0.0324062	0.0213094	0.0209997	0.0189331	0.0134345	0.0100716	0.0132652	0.011956	0.0112602	0.00885183	0.00835947	0.0128616	0.0119069	0.0162867	0.0218875	0.0185341	0.0200268	0.0189717	0.0187182	0.0222682	0.0192219
encerclé	0.0107337	0.0224504	0.018013	0.0472947	0.0442894	0.0488827	0.0475817	0.0391794	0.0327597	0.026161	0.0514015	0.0216522	0.0594513	0.0629927	0.0288558	0.0135801	0.0121523	0.00805081	0.0104301	0.0189152	0.0171932	0.0258919	0.0201823	0.0349532	0.029528	0.0242299	0.0250319	0.0211489	0.0160676	0.0175932	0.0193984	0.015552	0.0185865	0.0166227	0.0152083	0.0150206	0.0214458	0.0215177
la	0.0180738	0.01533	0.013227	0.0140086	0.0121708	0.010134	0.0124406	0.0101147	0.00981385	0.011076	0.010193	0.0137563	0.0151999	0.0138521	0.014611	0.0128959	0.0277945	0.0276793	0.0263768	0.0287964	0.0405717	0.0537021	0.0534025	0.0541999	0.0520397	0.0432713	0.0359349	0.040248	0.0344464	0.0380833	0.031305	0.028252	0.0295606	0.0262118	0.0273246	0.0223038	0.0251302	0.0464675
maison	0.0353361	0.0231444	0.0176362	0.0228185	0.0234551	0.0164764	0.0228242	0.0162764	0.0176192	0.0155389	0.01164	0.0123246	0.0140618	0.00925803	0.0163262	0.0141696	0.0308314	0.0314009	0.025254	0.0287879	0.0319368	0.0328382	0.0276797	0.0290574	0.0213871	0.0162712	0.0165544	0.0273818	0.0230876	0.038908	0.0317252	0.0345693	0.0474561	0.0381846	0.041977	0.0390209	0.0307062	0.0660788
qui	0.0192676	0.0144302	0.0113117	0.0136789	0.0140809	0.011177	0.0128641	0.0105669	0.0113218	0.0102549	0.00951048	0.00677136	0.0103377	0.00769401	0.00905339	0.0133629	0.0248658	0.0295505	0.0327413	0.0421258	0.0565923	0.0603337	0.0661899	0.0727763	0.0700978	0.0394071	0.0426821	0.0326513	0.031234	0.0228985	0.0217333	0.0223908	0.0246653	0.0218032	0.0196614	0.0195932	0.0263828	0.0339399
abrite	0.0216043	0.0159588	0.0133153	0.0163037	0.0245674	0.0239413	0.024771	0.0191582	0.0145952	0.00904949	0.00938823	0.00816738	0.0112639	0.0101975	0.00957894	0.0207971	0.0354613	0.0263709	0.0333288	0.0316619	0.0392505	0.0488282	0.0475676	0.0450192	0.0403801	0.0283988	0.0377005	0.0274895	0.0257925	0.0182766	0.0207371	0.0239499	0.0255702	0.0262653	0.0246273	0.0256841	0.0370873	0.0778948
le	0.0558086	0.0449075	0.031287	0.0306103	0.0236665	0.0149801	0.0161984	0.0111378	0.0136228	0.0117913	0.0101872	0.012403	0.0136506	0.0152296	0.0117001	0.0126703	0.0244656	0.0318925	0.0306281	0.0408112	0.0430422	0.051966	0.0536026	0.0367346	0.0362186	0.015401	0.0175255	0.0113302	0.0114953	0.0149856	0.017717	0.0236004	0.0220944	0.0226895	0.0248861	0.0231274	0.0277207	0.0882142
voleur	0.018842	0.0188948	0.0125789	0.0118436	0.00811673	0.00768118	0.00876747	0.0071028	0.007173	0.00427921	0.00368739	0.00345069	0.00439339	0.00343557	0.00420841	0.00793106	0.0115291	0.0113946	0.023844	0.0324542	0.0384205	0.055542	0.0692809	0.0890395	0.0757451	0.0456016	0.04719	0.0341101	0.0289561	0.0163471	0.0184625	0.0198812	0.0197064	0.0244169	0.0272464	0.0335271	0.0526047	0.092314
</S>	0.0425835	0.0434599	0.0299026	0.0425246	0.0282619	0.022378	0.019952	0.0105597	0.00821455	0.00418857	0.00325209	0.00313011	0.00350599	0.0027573	0.00381869	0.00685829	0.0141935	0.0190714	0.0141648	0.0232901	0.0204225	0.0198094	0.0215256	0.0215302	0.0203751	0.0105406	0.0140269	0.0093272	0.0104973	0.00979013	0.0149552	0.0257564	0.0330035	0.0391391	0.0480388	0.0716924	0.0833319	0.18017
