 	n	g	á	l	í	i	k	a	y	á	m	w	a	n	g	é	l	o	l	ω	i	y	é	é	y	í	í	n	g	á	t	s	á	á	n	y	i	</S>
j'	0.0384812	0.276683	0.437011	0.194484	0.0259485	0.00859693	0.000904339	0.00135815	0.000483557	0.000540905	0.000190861	0.000627503	0.000637423	0.00037456	0.000512448	0.000470526	0.000573653	0.000781101	0.000618756	0.000502214	0.000593293	0.000687679	0.000707932	0.000652767	0.000628945	0.00047571	0.000514507	0.000523701	0.000524154	0.000520326	0.000510839	0.000593556	0.000547741	0.000569416	0.000573548	0.000572545	0.00051973	0.000502542
adresse	0.0143029	0.00415584	0.00467483	0.00499525	0.00956063	0.013341	0.0505518	0.0974755	0.105389	0.065762	0.140773	0.0543117	0.0488448	0.0555062	0.0532566	0.0484393	0.0421414	0.0183712	0.0160582	0.0204195	0.01962	0.0173267	0.017117	0.015785	0.0136983	0.00213637	0.00288923	0.0026165	0.00226844	0.00187275	0.00349799	0.00232578	0.00332253	0.00310121	0.00334344	0.00178545	0.00494922	0.0140132
mes	0.0399961	0.0273808	0.0157393	0.0201677	0.0183076	0.0136671	0.0124773	0.0239615	0.0282378	0.0288259	0.0281568	0.0565646	0.0917181	0.0651468	0.0527505	0.0316066	0.0262682	0.0339338	0.0312878	0.022736	0.0306731	0.0208246	0.0200949	0.017706	0.0126414	0.0211386	0.0137683	0.0205486	0.0211571	0.0191822	0.019682	0.0223638	0.0192042	0.0175327	0.0133282	0.0161662	0.0145956	0.0104624
regrets	0.0167074	0.00934746	0.00833485	0.00960313	0.0187316	0.018583	0.015727	0.0194173	0.020025	0.0222605	0.0210905	0.048542	0.0292818	0.0296373	0.0353494	0.02374	0.0263313	0.0368665	0.0437178	0.037922	0.0394567	0.0322787	0.0274327	0.0266999	0.0354161	0.0297554	0.0341004	0.0209423	0.0176159	0.0165364	0.0170652	0.0205508	0.0172356	0.0198876	0.02488	0.0442252	0.0345215	0.0501836
au	0.00604233	0.00564614	0.00318006	0.00446051	0.00500376	0.00530669	0.00677393	0.00671394	0.0123997	0.0151692	0.0135582	0.0140601	0.0152737	0.0157184	0.0226834	0.0166119	0.0230043	0.0247723	0.0394416	0.0566321	0.0549272	0.0402179	0.0373027	0.0302441	0.035099	0.0372765	0.0354258	0.037303	0.0359564	0.0349153	0.0360001	0.0384204	0.0303666	0.0359809	0.0365772	0.0437284	0.0414274	0.0463789
sorcier	0.0184546	0.0175696	0.0104323	0.00632009	0.00472655	0.00837785	0.00958535	0.0105153	0.0119497	0.0134316	0.017735	0.00780845	0.0143397	0.0191646	0.031866	0.0295831	0.0359521	0.0366151	0.0331325	0.0353107	0.0333074	0.0281389	0.0304044	0.0330903	0.0371562	0.0385075	0.0330112	0.0325394	0.0355127	0.0359239	0.040508	0.0332237	0.0334205	0.0335798	0.0415456	0.0367838	0.0315829	0.0388938
qui	0.00775176	0.00703452	0.00540065	0.00423227	0.00471807	0.0071722	0.0101098	0.0112811	0.0160783	0.0176474	0.0164551	0.0156877	0.013999	0.0160593	0.0224535	0.023612	0.0246316	0.0326636	0.0475128	0.056078	0.0561022	0.0507646	0.0442499	0.040636	0.0444263	0.0344754	0.0298044	0.0303312	0.0256926	0.0261265	0.0284027	0.0224423	0.0284502	0.0303435	0.0317479	0.0312018	0.035442	0.0487819
a	0.0348431	0.0225858	0.0152413	0.0132451	0.0134717	0.0241171	0.0253298	0.0268204	0.0212607	0.0153613	0.0100799	0.00909478	0.00885655	0.0113442	0.0130831	0.0227765	0.0211757	0.0324284	0.0442216	0.028298	0.0424683	0.0476306	0.048021	0.0635825	0.0607994	0.0368228	0.0322016	0.0209265	0.00831456	0.00867742	0.0129319	0.00520487	0.012023	0.0161648	0.0272964	0.0288775	0.0439029	0.0705193
fait	0.0342767	0.0219594	0.0247829	0.0239733	0.0198792	0.0187511	0.0143672	0.0125674	0.01353	0.00988921	0.00699838	0.0065777	0.00691564	0.00592543	0.00644625	0.01098	0.00963617	0.0143071	0.0181895	0.0175118	0.019765	0.026154	0.0223926	0.0236806	0.0282105	0.0388264	0.056912	0.0385609	0.0466646	0.0460929	0.0512733	0.030604	0.0449071	0.0411267	0.0449277	0.0441915	0.047853	0.0503931
de	0.034308	0.0278366	0.0329647	0.0299007	0.0223593	0.0200592	0.0141279	0.013288	0.0119658	0.0108367	0.00741561	0.00921704	0.00826949	0.00708526	0.00889602	0.0097088	0.00990337	0.0114011	0.0165406	0.0188726	0.0198149	0.0253348	0.0192173	0.0191396	0.0225025	0.0253213	0.0421449	0.0288476	0.0358808	0.0384744	0.04762	0.0263503	0.0470795	0.0457452	0.0500196	0.0503794	0.0614469	0.0697241
