 	o	m	a	m	i	b	e	a	b	í	í	l	á	m	b	á	n	g	á	b	í	n	d	a	</S>
qui	0.00651012	0.00781669	0.00906917	0.00732495	0.0105254	0.0109346	0.0120941	0.0159883	0.00968176	0.00859004	0.00890727	0.0145415	0.0210126	0.0241735	0.0285898	0.0342305	0.0420437	0.0321069	0.0698495	0.133585	0.13585	0.139479	0.132772	0.0510424	0.0332803
va	0.105229	0.11083	0.0665366	0.0753732	0.0577638	0.0353294	0.020207	0.0345553	0.0285498	0.0185805	0.0204503	0.0270755	0.0254403	0.0790596	0.0622445	0.0612345	0.0546176	0.0217077	0.0311481	0.0147975	0.00920573	0.0122885	0.00719863	0.00526949	0.0153076
goûter	0.029507	0.0348161	0.027296	0.0232072	0.0241974	0.0203916	0.00930335	0.010403	0.00678209	0.00378753	0.00867547	0.0177125	0.058943	0.0954313	0.157086	0.12336	0.0895679	0.0522787	0.04532	0.0386311	0.0387511	0.0241582	0.0253712	0.0204485	0.0145732
la	0.0263111	0.027739	0.0179502	0.023552	0.0218776	0.0176808	0.0136511	0.0124151	0.00983016	0.00996816	0.0152045	0.0120819	0.0252255	0.0622366	0.0946557	0.102874	0.101561	0.0784956	0.0850795	0.0497997	0.0347923	0.0225944	0.0302679	0.0456106	0.0585458
nourriture	0.0183973	0.0303173	0.0449281	0.0449224	0.0496262	0.03776	0.0196512	0.0375187	0.0480267	0.037311	0.0465781	0.0351517	0.0449162	0.0489564	0.0800497	0.062995	0.0368145	0.0131161	0.0291064	0.0191594	0.0318215	0.0300981	0.0481564	0.0388747	0.0657469
que	0.014292	0.023158	0.030857	0.0298132	0.0319848	0.0337404	0.0437362	0.0590365	0.0573505	0.0351118	0.05866	0.0378706	0.0491971	0.0500106	0.06408	0.0729297	0.060963	0.0285335	0.0406348	0.0257816	0.0260383	0.0218436	0.0306391	0.0187955	0.0549423
j'	0.0384514	0.048189	0.0428736	0.0374259	0.0210302	0.0150431	0.0100807	0.00912626	0.00738142	0.00662048	0.0105738	0.0173844	0.0334554	0.0504973	0.0784185	0.091362	0.0776898	0.0707431	0.0618434	0.0469356	0.0307522	0.0445361	0.0368666	0.0407328	0.071987
ai	0.0563555	0.0454981	0.0378241	0.0229694	0.0133579	0.00766377	0.00700476	0.0063502	0.00654523	0.00539762	0.00817924	0.0127136	0.0195489	0.0269013	0.0351839	0.0418925	0.0550216	0.0591605	0.0685098	0.0998396	0.0659992	0.0520056	0.0518542	0.0617622	0.132461
préparer	0.150088	0.0937062	0.0526209	0.0279074	0.0118472	0.00995766	0.0081623	0.00802115	0.00724444	0.00636381	0.00872668	0.0162107	0.0182857	0.0233819	0.022373	0.0277908	0.0369631	0.0322864	0.0497622	0.0726411	0.0523089	0.0466986	0.0542099	0.0480899	0.114352
</S>	0.0670772	0.0515315	0.0456864	0.0400265	0.026561	0.0187699	0.00844844	0.00740501	0.00799588	0.00778937	0.00807239	0.0126978	0.0112627	0.0144033	0.0283474	0.031989	0.0553746	0.0754941	0.0807561	0.0616928	0.0395152	0.0593413	0.05711	0.0486033	0.134049
