 	n	g	o	o	á	m	i	s	á	á	o	k	ώ	b	h	ώ	w	a	m	ó	y	í	b	h	a	</S>
sa	0.0559568	0.223912	0.0302944	0.0143102	0.0179139	0.0113908	0.0511562	0.0397719	0.046818	0.0380054	0.0401094	0.0379524	0.0367674	0.0297686	0.036394	0.0192613	0.0216041	0.0214452	0.0241032	0.0311358	0.0343529	0.0324848	0.0308228	0.0323013	0.0257048	0.0162622
mère	0.4891	0.101375	0.0780361	0.0772954	0.0597549	0.0303403	0.0288632	0.0222945	0.0247648	0.0119524	0.0110215	0.0122287	0.00658806	0.00383777	0.00199323	0.00340267	0.00476117	0.0025355	0.00234472	0.00580618	0.00667113	0.00412488	0.00608288	0.0027499	0.0011913	0.000883978
en	0.0932735	0.0661821	0.0863661	0.0712382	0.0695828	0.0288977	0.0231992	0.0166506	0.0224285	0.0421405	0.026384	0.0360546	0.0469568	0.0616061	0.0752251	0.0279307	0.0152634	0.020703	0.0258641	0.0257232	0.0245798	0.0241461	0.0196073	0.0176336	0.0184294	0.0139336
a	0.029476	0.00906816	0.0147798	0.0221653	0.0237235	0.0196501	0.0296754	0.0245834	0.0488337	0.0723794	0.0584004	0.0732064	0.0715315	0.0584271	0.0712013	0.0428513	0.0913259	0.0887378	0.0434847	0.0160754	0.00928544	0.0105566	0.00535501	0.0194782	0.0153566	0.0303918
marre	0.0235897	0.0106421	0.0121872	0.0122017	0.0109106	0.0384331	0.0326665	0.0279107	0.0425704	0.0323303	0.0497263	0.0536977	0.0655026	0.0489657	0.0602428	0.0494925	0.0597878	0.0601027	0.045055	0.0366676	0.0349449	0.0339116	0.0310149	0.0411688	0.03728	0.0489969
de	0.0409351	0.0219494	0.021509	0.020146	0.0195796	0.0426219	0.0417723	0.0290525	0.0606305	0.0410787	0.0637252	0.0762432	0.075691	0.0393164	0.0493176	0.0432628	0.0295034	0.0429726	0.0374822	0.0311079	0.0310619	0.0263523	0.0254481	0.0442634	0.0191124	0.0258646
son	0.0319738	0.015845	0.0230245	0.0230811	0.0206297	0.0346469	0.0290443	0.0239801	0.0280961	0.0217654	0.0317281	0.0363005	0.0229329	0.0231575	0.0308961	0.0348943	0.0296091	0.0366592	0.0349873	0.0420921	0.0481558	0.0673188	0.0677588	0.0803396	0.0714354	0.0896479
habitude	0.0351691	0.0269608	0.0363428	0.0360993	0.0332916	0.0211871	0.0229479	0.0200854	0.0301825	0.0283801	0.0363857	0.0415111	0.0369716	0.0298209	0.0400998	0.049055	0.0151755	0.0150199	0.0178103	0.0237445	0.0130797	0.0297651	0.0202079	0.100393	0.0872636	0.153049
de	0.0509199	0.0165719	0.0458127	0.0548379	0.0296784	0.0433435	0.0524544	0.0333762	0.0693846	0.0326291	0.0789708	0.06389	0.0429967	0.054457	0.0614335	0.0178179	0.0264023	0.0271441	0.0226059	0.0151913	0.012618	0.00976691	0.010419	0.0109629	0.0115589	0.104757
voler	0.0947624	0.0661472	0.0634397	0.0638817	0.0342994	0.0298263	0.0181793	0.0111821	0.0175782	0.0124673	0.0366678	0.0255571	0.0260521	0.0241813	0.0293879	0.0232659	0.0216033	0.0281398	0.0288825	0.0120431	0.0170133	0.0209636	0.0249797	0.0423443	0.0383072	0.188847
</S>	0.0679171	0.0474436	0.0772554	0.0742182	0.0632969	0.0353488	0.0292188	0.0184805	0.0207568	0.0111003	0.0270213	0.0279024	0.0231676	0.0246956	0.0388721	0.0146165	0.0112265	0.0219561	0.0203769	0.012678	0.016353	0.0238022	0.0308675	0.0422158	0.0455264	0.173686
