 	m	o	r	o	w	ó	á	k	a	y	i	l	a	p	á	m	i	o	b	o	s	ó	b	í	w	á	a	</S>
cet	0.0105364	0.0131494	0.00912137	0.00887409	0.0098758	0.00895311	0.0130369	0.0175824	0.027886	0.0395286	0.0250275	0.068895	0.168197	0.0689847	0.0618903	0.0420564	0.0291256	0.0277018	0.0319073	0.0249658	0.026483	0.0273496	0.0271956	0.0299682	0.0374992	0.0427922	0.0518088	0.0496077
homme	0.19185	0.214038	0.211644	0.0851633	0.15143	0.0452318	0.0338086	0.0155537	0.0136231	0.00476149	0.00149281	0.00492378	0.000829204	0.000709663	0.000948447	0.0017541	0.00263336	0.00309793	0.00599856	0.00296417	0.00256339	0.00182866	0.000574214	0.000319367	0.000715183	0.000259661	0.00074389	0.000538711
a	0.0357207	0.0412503	0.0303492	0.0306755	0.0445682	0.0368187	0.0274395	0.0392526	0.0397075	0.0304411	0.0233103	0.0379785	0.0513302	0.0564378	0.0699268	0.078739	0.0507906	0.0549978	0.0601364	0.0418147	0.0268652	0.0119354	0.0150463	0.0153365	0.0091863	0.00927017	0.0157386	0.0149362
poussé	0.0256139	0.0403711	0.0371653	0.03324	0.0237332	0.0193033	0.0207767	0.0499941	0.033902	0.0366402	0.0271213	0.0423013	0.0214835	0.0152685	0.0241758	0.0229121	0.0350162	0.0483556	0.0681539	0.0521683	0.0425587	0.0462368	0.0490685	0.0361066	0.0353524	0.0337364	0.0268529	0.0523912
de	0.0414658	0.0534709	0.0312871	0.0287633	0.0195278	0.0184406	0.0190055	0.0199988	0.0202528	0.031079	0.0541684	0.0443957	0.0569673	0.0568253	0.059023	0.0359121	0.0358067	0.0306832	0.0229688	0.0307562	0.0309171	0.0195328	0.0282237	0.0342565	0.0312558	0.0262276	0.0435288	0.0752594
grands	0.0236357	0.0252342	0.0183742	0.0183067	0.0161541	0.0149775	0.0177247	0.0230527	0.0305501	0.041379	0.0656124	0.05242	0.0735764	0.0603933	0.0593066	0.0361914	0.0468517	0.0333746	0.0261516	0.0376294	0.0403972	0.0382007	0.0367958	0.0337353	0.027909	0.0283784	0.0317937	0.0418936
cris	0.0380958	0.0362128	0.0185104	0.0219378	0.0161031	0.0200449	0.0224982	0.0272645	0.0242079	0.0205556	0.0107712	0.0160128	0.0308954	0.0296347	0.0219594	0.0248626	0.0263108	0.0373368	0.0535927	0.0481606	0.0587757	0.0451245	0.0392197	0.0411703	0.0419702	0.0289425	0.0711985	0.128631
avant	0.0191094	0.0220037	0.0203849	0.0281147	0.0231141	0.0273294	0.0245074	0.0179886	0.0146608	0.0101092	0.0058208	0.00903957	0.01055	0.0107368	0.0134856	0.0139569	0.0187024	0.0261674	0.0465226	0.0372809	0.0543364	0.0798131	0.0613565	0.0534462	0.0811873	0.0908284	0.0623632	0.117084
de	0.180061	0.169791	0.0934793	0.0320631	0.0185237	0.0140096	0.0134189	0.0133229	0.016828	0.0183591	0.00980556	0.0161151	0.0160644	0.0143263	0.0129376	0.0177359	0.0169153	0.0268118	0.0343461	0.0213433	0.0259365	0.0289866	0.0300997	0.0369959	0.0285183	0.0292209	0.0161664	0.0478181
mourir	0.100685	0.103976	0.0544871	0.0406266	0.0183495	0.015665	0.00779395	0.00462277	0.00326635	0.00463262	0.0080406	0.00695733	0.00680621	0.00700672	0.0104937	0.00896073	0.0170481	0.0168568	0.0262154	0.0231913	0.0281426	0.0488367	0.0415576	0.0426479	0.0925328	0.0745724	0.0690953	0.116934
</S>	0.0841113	0.109742	0.102548	0.0589627	0.0173751	0.0182802	0.0100393	0.00948393	0.00656369	0.0081131	0.00780182	0.00793376	0.008344	0.00767176	0.0107369	0.0106349	0.0163978	0.0176176	0.0172197	0.0156337	0.018503	0.0226617	0.0222817	0.0224689	0.0947482	0.0578676	0.0708202	0.145436
