 	e	k	a	b	h	í	r	í	y	é	é	k	a	b	h	í	r	í	b	á	a	á	s	á	r	e	é	p	έ	ε	n	g	á	n	y	i	n	g	a	</S>
la	0.00632091	0.00946949	0.00992024	0.00919626	0.0103747	0.0143693	0.0119503	0.0150448	0.0174608	0.0254956	0.0385596	0.0403301	0.03984	0.0553916	0.0387809	0.0449638	0.0493533	0.026416	0.0255047	0.0298091	0.0208642	0.0181152	0.0129574	0.0186053	0.0170219	0.0201349	0.0172824	0.0170475	0.028337	0.0233833	0.0254544	0.0234113	0.0221392	0.0273436	0.0408095	0.0381916	0.0330658	0.0347852	0.0261634	0.0163355
manière	0.018436	0.0197985	0.0220561	0.0373286	0.0479791	0.0494197	0.0364844	0.0279107	0.0251999	0.0372233	0.0586773	0.0351284	0.0298641	0.063419	0.0555268	0.0807585	0.0302541	0.0568727	0.0322489	0.0339503	0.0219459	0.0165479	0.0158035	0.0177355	0.0198477	0.0101377	0.00969519	0.00901906	0.013319	0.00700112	0.00629566	0.0183721	0.0125385	0.00467292	0.0058024	0.00357832	0.00259256	0.00297772	0.00291343	0.000667354
dont	0.0933325	0.0351259	0.0173332	0.0182781	0.0095975	0.00833577	0.00565363	0.00304619	0.00237868	0.00358959	0.00417699	0.00636099	0.00922722	0.00950043	0.0238285	0.0403855	0.0711872	0.107376	0.0801085	0.074123	0.0633707	0.0455802	0.037276	0.0321378	0.0221109	0.0153898	0.0228365	0.0306923	0.0210834	0.0150326	0.0115358	0.0118232	0.00859856	0.00887224	0.00660651	0.00497899	0.00317028	0.00447137	0.00558151	0.00590623
elles	0.0538387	0.0449183	0.0400018	0.02371	0.0147776	0.0146075	0.0120338	0.00827913	0.00990626	0.0214736	0.0171026	0.0228683	0.0209426	0.0150751	0.0362813	0.0249604	0.0812175	0.020798	0.0340933	0.0482707	0.0409346	0.0473486	0.0304372	0.0353394	0.0216239	0.0116381	0.0218873	0.0173635	0.0158666	0.0155877	0.0171432	0.0119783	0.0118525	0.0110523	0.016304	0.0143387	0.0102184	0.0159334	0.017156	0.0508397
se	0.0422679	0.057116	0.0685082	0.0669836	0.0633973	0.0876174	0.0772557	0.0436827	0.0324738	0.0327013	0.0134498	0.0186747	0.016534	0.0102583	0.0105376	0.00826518	0.0146631	0.0105055	0.0199615	0.0158557	0.0162616	0.0173941	0.0278025	0.021487	0.0166004	0.0157713	0.0181871	0.0195789	0.0118273	0.0122565	0.0155466	0.011476	0.0080038	0.00941191	0.00871229	0.00628793	0.00661839	0.0123319	0.00960511	0.02413
sont	0.0327341	0.0459164	0.0652824	0.0779741	0.0890872	0.0949711	0.0574009	0.0299756	0.0124066	0.0158019	0.0100039	0.00902861	0.00755619	0.0087053	0.00884367	0.00835854	0.0079831	0.00974992	0.00906266	0.00875349	0.00854957	0.0122103	0.0300065	0.0161125	0.0144697	0.0198647	0.0230011	0.0264866	0.0187614	0.0200729	0.0263148	0.0194942	0.0133216	0.0134675	0.0141142	0.00853937	0.0126322	0.0194853	0.0272566	0.0462432
disputées	0.0900847	0.0740099	0.0584165	0.0454143	0.0330444	0.0361768	0.0368549	0.025382	0.0173462	0.0160113	0.0114262	0.0108642	0.00793939	0.00760366	0.00964707	0.00678803	0.00620472	0.01105	0.0107754	0.0068354	0.00769786	0.0115659	0.0266416	0.0140507	0.0270453	0.0295878	0.0270473	0.0265934	0.0168039	0.0158015	0.0180722	0.0285314	0.02639	0.0251828	0.0180488	0.0131563	0.0144067	0.00991281	0.0344343	0.0871543
toutes	0.083412	0.0729563	0.0708598	0.0530191	0.0369815	0.0316047	0.0336721	0.019066	0.0140617	0.0121249	0.0082009	0.0100409	0.0123119	0.0158316	0.0230269	0.0235958	0.0196757	0.0179142	0.0143736	0.00883429	0.00715794	0.00649475	0.00975736	0.00652374	0.011513	0.0191027	0.0171179	0.0201738	0.0230205	0.0202483	0.0332588	0.0320478	0.028774	0.0189161	0.00986768	0.00613741	0.00688553	0.00659065	0.0378788	0.0969693
les	0.0626412	0.0547536	0.0430548	0.0350667	0.0261664	0.026658	0.0383969	0.0398773	0.0329373	0.0361105	0.0247017	0.0285184	0.0265849	0.0139906	0.00808192	0.00549803	0.00498421	0.00412988	0.00587211	0.0041341	0.004944	0.00720635	0.0132683	0.011681	0.0129053	0.0150163	0.0182935	0.0170532	0.014873	0.0186995	0.0235763	0.0259898	0.0275284	0.03432	0.0211652	0.0172712	0.0223185	0.0221379	0.0358575	0.113736
trois	0.0352157	0.037139	0.0307025	0.0278723	0.0199903	0.0112904	0.00851457	0.00732559	0.00715933	0.00751298	0.00746808	0.00712247	0.00742722	0.00624166	0.00594036	0.00846507	0.0095261	0.00966066	0.0127097	0.00879294	0.00945044	0.0118748	0.0144007	0.00949651	0.0173731	0.0274401	0.0189961	0.0232033	0.032291	0.0238166	0.0384603	0.0391984	0.0394793	0.0369039	0.0500368	0.0461854	0.0448498	0.0370398	0.0768797	0.126547
m'	0.0611634	0.0540565	0.0467836	0.0412341	0.0289607	0.0258291	0.0218376	0.014725	0.00758553	0.0061368	0.00459211	0.00513709	0.00608671	0.00435295	0.00474035	0.00481196	0.00520877	0.00678968	0.00695817	0.00614397	0.006435	0.0101884	0.0184564	0.0136321	0.0187439	0.0190615	0.0178191	0.0200955	0.0184587	0.016231	0.0218447	0.0297993	0.034304	0.0367068	0.0376483	0.0273379	0.0328641	0.0248092	0.0746129	0.157817
a	0.213904	0.101168	0.0575666	0.0306706	0.0118614	0.00601868	0.00522595	0.00419632	0.00433971	0.00294603	0.00297913	0.00654753	0.00632034	0.00428315	0.00643284	0.00654766	0.0103318	0.00969648	0.00872177	0.010019	0.00503469	0.00968796	0.00937026	0.00748904	0.0271249	0.0277851	0.0189397	0.0148425	0.0163109	0.0123702	0.0140397	0.0196922	0.0245224	0.0157385	0.0207342	0.0187421	0.0169016	0.0130826	0.0524034	0.145411
attristé	0.114881	0.0549725	0.0334085	0.0161533	0.0065817	0.00434979	0.00427585	0.00321112	0.00280851	0.00189004	0.00203693	0.00495914	0.00484466	0.00363739	0.00424948	0.00414334	0.00911615	0.00697342	0.00754489	0.00965555	0.00756831	0.0163309	0.0151611	0.0142369	0.0275751	0.0284436	0.0325269	0.0326688	0.0347182	0.0455612	0.0425463	0.0461624	0.0446028	0.040223	0.0292478	0.0220916	0.0285969	0.0249518	0.0562111	0.110882
</S>	0.0376656	0.0225724	0.0159226	0.0155039	0.00937624	0.00676868	0.00540296	0.00432604	0.00470753	0.00438323	0.00431138	0.00770458	0.00614581	0.0041478	0.00356245	0.00414221	0.00589438	0.00673278	0.00860476	0.00814247	0.00691539	0.0185605	0.0192463	0.0154751	0.0249912	0.0362589	0.0239054	0.0252696	0.0332316	0.0307601	0.0368986	0.0384464	0.042484	0.0486713	0.0582885	0.056909	0.0637087	0.0535908	0.0749992	0.105372
