 	o	b	é	l	a	m	ú	ó	m	i	k	o	b	h	á	e	m	b	a	r	á	a	</S>
cet	0.0154698	0.0187228	0.0177063	0.0175439	0.0172334	0.0207424	0.0310632	0.0245036	0.0277534	0.0462591	0.0466277	0.0435964	0.0423165	0.0332665	0.0400263	0.0292823	0.0443208	0.0728255	0.0876663	0.0918557	0.110869	0.0739008	0.0464484
assesseur	0.0206436	0.0447352	0.0292618	0.0192924	0.0389593	0.0595207	0.114164	0.0691576	0.109661	0.189145	0.0747518	0.0834035	0.0375202	0.0185551	0.0258455	0.0137398	0.00561895	0.00494692	0.00787687	0.00613545	0.0139612	0.00532746	0.00777648
a	0.071301	0.0364616	0.0301411	0.0308268	0.0218041	0.0282175	0.071804	0.0569387	0.0460348	0.0494948	0.0439481	0.076922	0.108725	0.107915	0.0667563	0.0390853	0.0229181	0.0161922	0.0189231	0.0157498	0.00967248	0.0207836	0.009384
le	0.0346899	0.0261103	0.0313186	0.0330932	0.0274364	0.0222803	0.0311433	0.0238481	0.0281134	0.0406458	0.036344	0.0491688	0.058692	0.0563831	0.0846697	0.0737909	0.0803494	0.0634899	0.0595487	0.0485582	0.0326556	0.0248348	0.0328357
pouvoir	0.0657022	0.0477491	0.0396962	0.0231899	0.0337309	0.0514762	0.0417039	0.0297406	0.0271257	0.0302363	0.0271766	0.0563471	0.0656107	0.0774949	0.0455661	0.0396327	0.0382456	0.0508681	0.0559746	0.0347632	0.0231613	0.0355795	0.0592288
mystique	0.0262325	0.0280284	0.0311352	0.0317887	0.0333395	0.0472162	0.0420036	0.0354327	0.0357318	0.0313844	0.0280495	0.0429934	0.0472094	0.0525539	0.0495989	0.067134	0.0451345	0.0563732	0.0496831	0.03396	0.0228578	0.0612537	0.100906
de	0.0647436	0.0876488	0.109441	0.103422	0.048986	0.0494296	0.0570959	0.0839956	0.0457616	0.0297229	0.0239322	0.0135165	0.00917856	0.0105356	0.0124676	0.0171547	0.0249221	0.0361369	0.0178857	0.0340337	0.0260874	0.0539786	0.0399236
retenir	0.19834	0.109026	0.0548825	0.025375	0.0133561	0.0142711	0.0215462	0.027127	0.0139985	0.0115241	0.0101033	0.00810374	0.00827705	0.00791747	0.0238445	0.0227819	0.0273963	0.0400331	0.0224785	0.051816	0.0654676	0.0804888	0.141845
les	0.0786219	0.0612994	0.0583863	0.0583626	0.0394375	0.0348995	0.0309785	0.0461511	0.0362062	0.0457654	0.0337025	0.0344068	0.0353608	0.0210344	0.016837	0.0154164	0.0194815	0.0389021	0.0291298	0.061011	0.0682346	0.0460219	0.0903526
faits	0.0710082	0.0605948	0.0536983	0.0437366	0.0393138	0.0371455	0.0443024	0.0429494	0.0330574	0.0287163	0.0289863	0.0239884	0.0254519	0.0134581	0.0301732	0.0282171	0.0248359	0.042912	0.0232621	0.0270043	0.0303182	0.0696395	0.17723
</S>	0.0586595	0.0531878	0.0503363	0.0423251	0.0280534	0.0181278	0.0164783	0.0162379	0.0132496	0.0124768	0.0130785	0.0115861	0.0131194	0.0115577	0.0261766	0.0374547	0.0404463	0.080247	0.0489808	0.0779819	0.0822387	0.0825546	0.165445
