 	p	o	o	y	é	b	á	a	y	o	b	h	á	n	g	a	l	a	m	í	d	z	á	á	g	h	á	</S>
dans	0.0116853	0.0116047	0.0125308	0.0207563	0.0185573	0.0347531	0.0437851	0.0540119	0.0511209	0.0503059	0.0520085	0.0488544	0.0457949	0.0498371	0.0538131	0.0427823	0.0411137	0.0254629	0.0373545	0.0230571	0.0304798	0.0598675	0.0316482	0.0356368	0.0416477	0.0261523	0.0281546	0.0172232
ce	0.093536	0.0547322	0.032358	0.0382716	0.0281079	0.0170756	0.0184618	0.019212	0.0188927	0.0306302	0.0534703	0.0560931	0.110026	0.0825257	0.0428057	0.036518	0.0360749	0.0377237	0.0334985	0.0139211	0.00836392	0.0265187	0.00531722	0.02564	0.0324664	0.0108323	0.0175608	0.0193654
village	0.0374472	0.0318357	0.0233791	0.0175068	0.0087002	0.0136448	0.0170134	0.0141519	0.0207165	0.0266068	0.0293084	0.0362493	0.0485244	0.0260094	0.0672096	0.0774648	0.0733789	0.081513	0.0643409	0.0817193	0.0680344	0.0402754	0.0316336	0.0225906	0.0102639	0.0101946	0.0108252	0.00946189
on	0.0362232	0.0601698	0.0531262	0.0544386	0.0557296	0.0456266	0.0444527	0.0345373	0.0505605	0.0473992	0.0356591	0.0291765	0.0547094	0.0267782	0.0267637	0.0370288	0.0276392	0.0214055	0.02961	0.0365545	0.0215542	0.0246174	0.0158702	0.0170577	0.0170201	0.019056	0.0243954	0.0528406
parle	0.0433256	0.0536593	0.047079	0.0424404	0.0482381	0.050709	0.0309621	0.0230108	0.0232011	0.0239622	0.0244267	0.0230502	0.0230826	0.0259307	0.0206951	0.0165564	0.0312835	0.0313401	0.042269	0.0404758	0.0325761	0.0352535	0.0268182	0.0364429	0.030569	0.0276505	0.064154	0.080838
mal	0.0701837	0.0679609	0.0631526	0.0608159	0.0584947	0.0438527	0.0241023	0.0199743	0.0181198	0.0202934	0.0227716	0.0215689	0.025044	0.0409605	0.0273569	0.0242557	0.0286417	0.0205686	0.0240266	0.0184352	0.0220391	0.0299269	0.025886	0.0360239	0.0340002	0.0396947	0.0479545	0.0638948
de	0.0800015	0.0555368	0.0502884	0.0504648	0.0492847	0.0483289	0.0356647	0.0286239	0.028065	0.0306563	0.0358669	0.0319532	0.0354021	0.0533483	0.0361945	0.0291472	0.0282847	0.0226899	0.0181241	0.0119548	0.0152106	0.0220381	0.018816	0.0232093	0.0266387	0.0365804	0.0358737	0.0617526
ngala	0.0304544	0.0224702	0.0276712	0.0332476	0.0476171	0.0506379	0.0394212	0.0359585	0.0377771	0.0394236	0.0583968	0.0411526	0.0315374	0.0342092	0.0418605	0.0463264	0.0365578	0.0291015	0.0207844	0.0169576	0.011499	0.0303233	0.0130263	0.0195799	0.0297949	0.039022	0.0514799	0.0837115
parce	0.0398732	0.0284954	0.0286582	0.034765	0.0405908	0.0513767	0.0448214	0.0314777	0.0251363	0.0217446	0.0250048	0.0214446	0.0170369	0.0173438	0.0209533	0.022864	0.0208115	0.019075	0.0222293	0.037352	0.0268387	0.051716	0.0253503	0.0320261	0.060489	0.0619779	0.0789169	0.0916306
qu'	0.0422992	0.0324841	0.0349294	0.0447183	0.0528852	0.0673099	0.0487833	0.034397	0.0245954	0.0174095	0.0155175	0.0130659	0.0121116	0.00462416	0.00671291	0.0100831	0.0123643	0.0149258	0.01898	0.0459093	0.0412871	0.0568455	0.0518809	0.0542469	0.0573838	0.0531944	0.0610874	0.0699679
elle	0.0643898	0.0453828	0.0410495	0.0422262	0.044527	0.045754	0.0292164	0.0267954	0.0219435	0.0168473	0.0122446	0.00994532	0.00896239	0.00517342	0.0081564	0.00649848	0.00706194	0.00909247	0.0103787	0.0273886	0.0308042	0.0537809	0.0407191	0.0507233	0.068433	0.0557473	0.0978283	0.11893
a	0.129549	0.0708001	0.0533624	0.0475655	0.0365347	0.0205143	0.0168565	0.0157218	0.0167067	0.0122558	0.0124758	0.0130527	0.010844	0.0143241	0.0176264	0.0277215	0.016939	0.0136097	0.00746602	0.0167066	0.022133	0.0485852	0.0216631	0.0453919	0.0661584	0.0517536	0.077553	0.0961293
fait	0.143079	0.0736374	0.0537371	0.0461542	0.0357903	0.0229916	0.0177378	0.0149877	0.0141838	0.0105159	0.0107667	0.0111347	0.00971658	0.014114	0.0123659	0.0195066	0.0119059	0.010648	0.00747109	0.0151809	0.0223676	0.0484213	0.0261392	0.0447422	0.0669705	0.0543391	0.0771422	0.104253
une	0.132264	0.0739545	0.0530702	0.0354861	0.0256296	0.0138959	0.00923749	0.00905234	0.0100519	0.00775572	0.0079898	0.00816379	0.00726318	0.0107801	0.00933626	0.0127706	0.00922281	0.00841705	0.00799818	0.0148511	0.0210618	0.0524708	0.0264009	0.0479613	0.0791787	0.06745	0.086332	0.151954
bonne	0.0957711	0.0466617	0.0309977	0.0215223	0.0148254	0.00954634	0.00582436	0.00548107	0.00510865	0.00468169	0.00463114	0.0046918	0.00472878	0.00651674	0.00904935	0.0128871	0.0162323	0.0149806	0.015594	0.021999	0.0237821	0.0574459	0.0219707	0.0407864	0.0608052	0.0416862	0.0826852	0.319107
récolte	0.109218	0.0478184	0.0348116	0.0328832	0.0306072	0.0146018	0.00603071	0.00641112	0.00606053	0.0053078	0.00451566	0.00422703	0.00421542	0.00544524	0.00955959	0.00997678	0.0108384	0.00906642	0.0105711	0.0122674	0.0127237	0.0439889	0.013636	0.0320128	0.0672202	0.047757	0.0841234	0.324105
d'	0.0553652	0.031866	0.023969	0.0170775	0.0179028	0.014042	0.01779	0.016427	0.0167026	0.00914547	0.00725499	0.00610713	0.00730414	0.00534158	0.00397573	0.00522785	0.00519923	0.00694876	0.0079079	0.0270154	0.0293846	0.0534363	0.0573537	0.0804178	0.102416	0.106196	0.107136	0.161089
ignames	0.144928	0.052399	0.039706	0.0354866	0.0429506	0.0390407	0.025677	0.0188869	0.0178872	0.0132532	0.0119843	0.011939	0.0113071	0.00470378	0.0040795	0.00462036	0.0041732	0.00505895	0.00422961	0.0119757	0.0120019	0.025898	0.0220675	0.03427	0.0516777	0.0569215	0.06606	0.226816
</S>	0.118382	0.0658262	0.0476383	0.0309948	0.0276511	0.0232518	0.0253623	0.0204594	0.0226928	0.0144324	0.0149558	0.0150029	0.0150497	0.00890832	0.00644475	0.00733909	0.00666831	0.0082375	0.00502543	0.0187777	0.0212832	0.0359345	0.0284684	0.0556789	0.056052	0.050135	0.0708317	0.178516
