 	a	k	ω	m	ώ	k	ω	m	ω	á	m	i	l	o	n	d	á	o	t	ω	ώ	s	é	f	u	n	d	u	</S>
la	0.174628	0.0429691	0.0238115	0.0222894	0.0525805	0.0454673	0.073875	0.0475611	0.0356328	0.0274782	0.0407104	0.0407584	0.0191647	0.0367483	0.0266989	0.036619	0.0391192	0.024081	0.0264048	0.0138651	0.0127016	0.0131391	0.013648	0.0137397	0.0157523	0.0170983	0.0176461	0.0269053	0.018907
plante	0.0213342	0.0418313	0.0961388	0.135558	0.0604384	0.0473696	0.0167525	0.025946	0.0199759	0.0229292	0.0441624	0.0497607	0.10744	0.055206	0.0316411	0.0122309	0.0200482	0.029955	0.0323402	0.0283225	0.0285738	0.0159277	0.0178411	0.0130986	0.00766913	0.00759119	0.00511257	0.00236955	0.00243438
komokomo	0.0229394	0.0324071	0.063911	0.0635286	0.0483462	0.0555894	0.0684802	0.0545978	0.0522696	0.0409208	0.0409078	0.0465813	0.0653211	0.031315	0.0260529	0.0183096	0.012189	0.0196953	0.024146	0.0294467	0.0369265	0.0367292	0.0323238	0.0270204	0.0120016	0.0122605	0.00977703	0.0101328	0.00587341
a	0.0453611	0.0562705	0.0570533	0.0677943	0.0627807	0.0648381	0.0461614	0.0458053	0.049346	0.064684	0.0580205	0.0616628	0.0220066	0.00714249	0.00563304	0.00672552	0.0098382	0.0125118	0.0156739	0.0142937	0.0165703	0.0189991	0.0193043	0.0172789	0.015655	0.0235211	0.0328686	0.0356617	0.0465377
beaucoup	0.0443546	0.0448601	0.0504012	0.0589712	0.0566598	0.0577951	0.0592386	0.0489377	0.0394912	0.0301137	0.0277349	0.0273007	0.0262564	0.0187241	0.0176358	0.0137969	0.0108389	0.0120789	0.0133014	0.0164828	0.0185385	0.0197532	0.02086	0.0233328	0.0257002	0.0359365	0.038578	0.0400012	0.102326
poussé	0.0376022	0.0325072	0.0380134	0.0519331	0.051286	0.0584759	0.0609122	0.0443334	0.0351646	0.0255833	0.0200541	0.0188641	0.0170429	0.0122715	0.0109817	0.0120828	0.012281	0.0199759	0.0171282	0.028137	0.0265539	0.0359157	0.0433333	0.0391003	0.0400127	0.0397622	0.0412763	0.0343776	0.0950375
dans	0.0319469	0.0143669	0.0111558	0.0154659	0.0211098	0.0227052	0.0160298	0.0159205	0.013576	0.0155039	0.0138734	0.0135608	0.0117685	0.00989201	0.0123267	0.0217161	0.0204378	0.0239853	0.0255072	0.0452854	0.0302697	0.047763	0.0512037	0.0475879	0.0673137	0.0816503	0.0808674	0.0908203	0.12639
la	0.0249472	0.0160686	0.0211908	0.0307294	0.0444526	0.0391622	0.022192	0.0233583	0.0215135	0.0212184	0.0157945	0.015163	0.00886013	0.00841363	0.00988073	0.0143638	0.0165158	0.0240527	0.0192441	0.0260186	0.0238079	0.0326571	0.0352985	0.0484106	0.0583342	0.0523163	0.0863888	0.0757889	0.163858
parcelle	0.0179514	0.0109602	0.0125018	0.0146919	0.0174732	0.0125687	0.00458232	0.00346599	0.00299292	0.0035288	0.00320086	0.00355033	0.00255589	0.00302157	0.00379573	0.00635871	0.00779659	0.017349	0.0245985	0.0389609	0.0500014	0.0602667	0.0601203	0.0716623	0.0841075	0.0676196	0.100175	0.112503	0.181639
</S>	0.0292305	0.0334151	0.0308631	0.0285397	0.0202945	0.0206495	0.0146703	0.009991	0.00917383	0.00883146	0.00681729	0.00618999	0.00435299	0.00573195	0.00986859	0.0136728	0.0135208	0.0150603	0.020872	0.0297834	0.027921	0.0395857	0.0320515	0.0261116	0.0463173	0.0442453	0.0707005	0.0819527	0.299585
