 	a	b	i	a	b	é	k	ó	r	í	á	b	h	á	l	i	w	á	n	d	u	r	u	</S>
les	0.0433401	0.0146661	0.0113127	0.00850326	0.0168465	0.0144985	0.0211608	0.0183207	0.0216857	0.0352712	0.0593948	0.0937598	0.119664	0.100951	0.0587278	0.0539312	0.0661811	0.046617	0.0438671	0.036305	0.0400085	0.0289973	0.0271627	0.0188275
membres	0.203579	0.140072	0.147397	0.126646	0.111109	0.0684842	0.0306631	0.0229053	0.0249204	0.00843652	0.00399423	0.00374912	0.00228553	0.00260886	0.00183544	0.00521294	0.0035544	0.00282529	0.0135983	0.0206421	0.0151563	0.0198186	0.0123172	0.00818934
de	0.025816	0.0294108	0.0328758	0.027432	0.0211522	0.0219502	0.026298	0.0443925	0.0930431	0.07389	0.0473294	0.04183	0.0451117	0.0499857	0.0567888	0.0703638	0.0337013	0.0388477	0.044078	0.0454469	0.0391779	0.0320451	0.0432478	0.0157852
son	0.0364954	0.0469722	0.0663736	0.0503224	0.0603959	0.0385541	0.0540875	0.0451515	0.0383651	0.0333114	0.0668708	0.0587711	0.0311136	0.0299973	0.0179543	0.018478	0.00497124	0.00533697	0.0259228	0.0368142	0.0327329	0.0425301	0.0618799	0.0965975
association	0.0171035	0.0199543	0.0231886	0.0406928	0.0506176	0.0481022	0.0432163	0.0377915	0.0405839	0.0354776	0.0462581	0.0484117	0.0450467	0.0393755	0.0390584	0.0456229	0.0218259	0.0335183	0.0544199	0.0643329	0.0468114	0.0543562	0.0533307	0.0509029
lui	0.0455004	0.0442694	0.0339518	0.0355655	0.0513377	0.0656365	0.0634098	0.0713885	0.0654365	0.0436685	0.053206	0.0225823	0.0233938	0.0136224	0.0155918	0.0250127	0.0123529	0.0156083	0.0246689	0.0292367	0.0333325	0.0387684	0.0552459	0.117213
ont	0.0361334	0.0353603	0.0316976	0.0261097	0.0271344	0.0403554	0.0469098	0.0455188	0.0609394	0.0528635	0.0442118	0.0297803	0.0275157	0.0197582	0.0238428	0.0381261	0.0290989	0.0127567	0.0503154	0.05006	0.0503429	0.050398	0.0517456	0.119025
imposé	0.0312187	0.0298093	0.027865	0.0276376	0.0303925	0.0369618	0.034679	0.0340898	0.0336433	0.0199201	0.0222354	0.0188337	0.0188547	0.012033	0.00953819	0.0134663	0.00923363	0.00900898	0.062469	0.0838071	0.0711416	0.114062	0.100583	0.148516
un	0.0396043	0.0364935	0.0426012	0.0406794	0.0471766	0.0492559	0.0590668	0.0643198	0.0630519	0.0527835	0.0471235	0.0124918	0.010248	0.00612227	0.00740132	0.0209585	0.00727874	0.00443648	0.0311361	0.0463264	0.0484134	0.0648163	0.062086	0.136128
poste	0.0451683	0.0482618	0.0473229	0.0443377	0.0383002	0.01947	0.0176462	0.0174193	0.0166825	0.0168746	0.0153414	0.00467332	0.00563279	0.00395533	0.00620997	0.0104513	0.0035038	0.00433673	0.0229105	0.0519019	0.0639763	0.14352	0.148942	0.203162
de	0.0582887	0.0610177	0.0545208	0.0601602	0.0546222	0.0502461	0.0589317	0.0596955	0.0708214	0.0663337	0.024408	0.00967654	0.00932469	0.00591546	0.00835311	0.0193241	0.0169487	0.0214215	0.0357097	0.0319328	0.0350656	0.0388298	0.0382666	0.110185
responsabilité	0.0523642	0.0522327	0.0549539	0.0487196	0.0508911	0.0211645	0.0196702	0.0203382	0.0209618	0.022487	0.0179515	0.0126189	0.0142612	0.0114926	0.0162481	0.0239532	0.0120718	0.00723068	0.0293573	0.0380678	0.0545176	0.0979655	0.134454	0.166027
</S>	0.0405621	0.0417258	0.0455639	0.0461122	0.0484282	0.0464556	0.0433723	0.0449626	0.0462037	0.0442773	0.0248329	0.0168619	0.0217833	0.0136038	0.0156672	0.026063	0.00833943	0.0161433	0.0429544	0.0517195	0.0547002	0.0710218	0.0831387	0.105507
