 	a	p	o	o	m	a	n	á	m	á	a	d	z	á	á	l	e	t	s	i	a	n	d	z	á	á	b	í	s	í	l	e	d	í	t	s	i	a	o	d	z	á	a	k	a	á	</S>
dans	0.129064	0.022136	0.0290178	0.00987414	0.013351	0.0364118	0.0445845	0.048808	0.0478075	0.0427382	0.0334809	0.0461119	0.0602004	0.0395742	0.0362252	0.0280115	0.0163906	0.0117646	0.00715027	0.00660505	0.00720573	0.00822929	0.0110649	0.00654304	0.00623868	0.0038172	0.00436154	0.0066641	0.00691426	0.00455079	0.010906	0.00516774	0.00518414	0.00499258	0.00551546	0.00601866	0.00835859	0.00722994	0.0127383	0.0116982	0.022875	0.0191758	0.0248993	0.019844	0.0208377	0.0241922	0.0154692
certains	0.157261	0.091248	0.0546758	0.0351322	0.0154425	0.0370607	0.0248085	0.0262799	0.0235671	0.0258659	0.0312863	0.0373168	0.0376145	0.029658	0.0310324	0.0357087	0.0197889	0.0167642	0.0163702	0.0144165	0.0157556	0.0174927	0.0142861	0.0141206	0.0147103	0.012027	0.0145349	0.0092334	0.0123083	0.00922554	0.0140749	0.0130008	0.00802781	0.00723707	0.00576154	0.00637518	0.00334197	0.00220925	0.000985836	0.00152889	0.00248859	0.00550252	0.00869364	0.00623923	0.00403771	0.00366976	0.011833
villages	0.0141621	0.0376495	0.0479923	0.0440658	0.054923	0.0357232	0.0383008	0.0377605	0.0304735	0.0244145	0.0266681	0.0198151	0.0195285	0.0313402	0.0433788	0.0485496	0.043513	0.0263497	0.0264475	0.0309781	0.0283834	0.0291087	0.0292788	0.0284628	0.0171494	0.0185613	0.0205136	0.0143166	0.0121535	0.00961199	0.00583811	0.0109616	0.00325807	0.00119034	0.00310912	0.00177576	0.00225194	0.00315026	0.00269696	0.00609109	0.00948634	0.0119031	0.014915	0.0089463	0.00945532	0.00624986	0.00914717
on	0.0146389	0.028836	0.0346619	0.0363988	0.0444063	0.0480431	0.0382289	0.0435783	0.0351191	0.0251348	0.0347411	0.0312405	0.0320776	0.0323176	0.0383398	0.0460394	0.0359657	0.0182352	0.0148922	0.0129274	0.00950668	0.0108121	0.0154036	0.0128482	0.00978747	0.00987668	0.0169886	0.0174129	0.0149546	0.0132143	0.0123283	0.0190366	0.0311554	0.0138626	0.0220961	0.0156365	0.0108284	0.00769168	0.00716509	0.0060676	0.00961307	0.00682737	0.00841574	0.00610441	0.00540967	0.0126353	0.0284984
consomme	0.00508293	0.0103767	0.0120089	0.0107791	0.0110471	0.0112829	0.0123392	0.012791	0.0128838	0.0108762	0.0106623	0.0108776	0.0106226	0.0104745	0.0104568	0.0125366	0.0164936	0.0150441	0.0177964	0.0215453	0.0219565	0.0202713	0.0194386	0.0277599	0.024442	0.0282166	0.0319451	0.0249889	0.0228094	0.048518	0.032799	0.0507428	0.0738212	0.0824954	0.0670081	0.0355558	0.0245666	0.0120876	0.00628924	0.00786753	0.00683739	0.00698663	0.00991789	0.0121669	0.0117338	0.012137	0.0306631
le	0.00652164	0.00586661	0.00591651	0.00773836	0.0142621	0.00915071	0.0114368	0.0106329	0.0113369	0.0106789	0.0133841	0.00935818	0.0091505	0.0119694	0.00858967	0.0120076	0.0194714	0.0203101	0.0259202	0.0335677	0.0285125	0.0237099	0.0464916	0.0367407	0.0265815	0.0383473	0.0392195	0.0381687	0.0344269	0.0420358	0.0273384	0.0183002	0.0470159	0.0259845	0.0268392	0.0214839	0.0260762	0.0197133	0.0121199	0.018247	0.0187749	0.0146783	0.0142127	0.0168454	0.0196029	0.0211597	0.0401026
letsia	0.0152966	0.0142605	0.0141857	0.0140936	0.016288	0.014049	0.0125518	0.0105957	0.0128253	0.00903701	0.0113692	0.0147902	0.012357	0.0123681	0.0138223	0.0210908	0.0294914	0.0196626	0.0253712	0.0428695	0.0417062	0.0338812	0.0363587	0.0413719	0.0297863	0.0460284	0.041026	0.0274039	0.0138486	0.0247019	0.020514	0.0242561	0.0474462	0.0289625	0.0396515	0.0246998	0.0182809	0.00907139	0.00669629	0.00899548	0.0077545	0.00692088	0.00753437	0.0108128	0.00945303	0.0109426	0.0455192
mais	0.0133291	0.01401	0.0135114	0.0125165	0.0146799	0.013389	0.0149389	0.011826	0.0127051	0.00820178	0.00993069	0.00952398	0.0100515	0.0101102	0.0111753	0.014066	0.0224389	0.0189281	0.0247501	0.0439383	0.0483123	0.0409287	0.0379283	0.0404297	0.0373513	0.0525739	0.0499602	0.0304676	0.0186791	0.0421149	0.0293681	0.0312467	0.0483333	0.0298042	0.0408848	0.0204968	0.0103961	0.00702969	0.00580801	0.00720635	0.00814621	0.00400806	0.00436961	0.00537015	0.0051128	0.00789477	0.0317574
nous	0.0137882	0.011804	0.0147308	0.0150309	0.014835	0.0118303	0.0106302	0.00489136	0.00326504	0.00310711	0.00375711	0.00356682	0.0040641	0.00546293	0.00622688	0.0074159	0.0117521	0.0104221	0.0160007	0.0252259	0.0285745	0.0238606	0.0233577	0.0371303	0.0353129	0.0618454	0.0361313	0.0349866	0.0431914	0.0654414	0.0617506	0.0393504	0.0381587	0.0259281	0.0254803	0.0150196	0.0150378	0.00919286	0.00953526	0.0124261	0.0118303	0.0157619	0.0168079	0.0187717	0.0248731	0.031479	0.0409569
n'	0.027008	0.0255614	0.0232958	0.0180077	0.0143381	0.00921705	0.0078181	0.00558768	0.00346972	0.00363722	0.00443734	0.0043757	0.00492191	0.00616918	0.00670366	0.00878314	0.0129541	0.011611	0.0156592	0.0190033	0.0201872	0.0184937	0.0166329	0.0260917	0.0253779	0.0365979	0.0252584	0.0263611	0.0320723	0.0483525	0.041536	0.0325985	0.0291274	0.0310842	0.0353837	0.0206098	0.0127457	0.00894559	0.0106169	0.0137494	0.0172704	0.0288048	0.0315221	0.0348768	0.0427344	0.0467531	0.0536561
