 	w	a	á	y	i	r	i	i	n	g	á	s	a	á	n	i	l	á	w	a	l	í	í	b	o	n	d	z	í	l	a	n	g	á	</S>
il	0.0582729	0.150591	0.197607	0.171392	0.0787202	0.0263891	0.0175994	0.00546026	0.00807008	0.00905984	0.00595137	0.00647441	0.00574391	0.00855691	0.00901748	0.00631392	0.0058966	0.00470258	0.00879715	0.00760383	0.00677267	0.0112765	0.0115148	0.0158583	0.026992	0.0248239	0.0208093	0.0151218	0.0140053	0.0118692	0.0122868	0.00913012	0.0125447	0.00862808	0.00614705
m'	0.0583806	0.0485395	0.030557	0.0164165	0.0559299	0.0224798	0.0943162	0.0829529	0.0472559	0.0972526	0.108568	0.0322122	0.0251555	0.0167412	0.0221151	0.018621	0.00556522	0.00750084	0.00996908	0.00534575	0.00633604	0.0149936	0.00882885	0.0101793	0.00972837	0.0077286	0.0243429	0.0108231	0.015715	0.00895185	0.0113964	0.00307408	0.0151726	0.0135134	0.0333417
a	0.0105081	0.00846609	0.00478932	0.00405308	0.011979	0.0105119	0.0240958	0.0340245	0.0365074	0.0240312	0.0206886	0.0226102	0.0324792	0.0202406	0.0236098	0.0238879	0.022156	0.029727	0.0338559	0.0545462	0.0842223	0.0689604	0.0397369	0.04389	0.0441416	0.0413516	0.0334845	0.0467528	0.0295703	0.0250362	0.0358373	0.0166341	0.0165081	0.00975992	0.011346
demandé	0.0263101	0.0261741	0.0144847	0.014394	0.0282525	0.024938	0.0213063	0.0456219	0.0270897	0.0569366	0.0511	0.103254	0.102931	0.0570856	0.115079	0.0461486	0.0199566	0.0278591	0.0223264	0.0141031	0.0212268	0.0223279	0.00969425	0.00889858	0.00950144	0.00577966	0.0046754	0.00631093	0.00454072	0.00461172	0.00607702	0.0131291	0.00647937	0.0111046	0.0202915
de	0.0229325	0.0114671	0.0102913	0.0145337	0.00636485	0.0189443	0.0174913	0.0316228	0.0651359	0.0369766	0.0273464	0.0411521	0.0157866	0.0159697	0.0203332	0.0290213	0.0319482	0.0178895	0.010248	0.0106967	0.0187998	0.0244105	0.0183218	0.0431314	0.0449899	0.0374413	0.0470323	0.0500189	0.050532	0.0433133	0.0219118	0.0516393	0.0225956	0.0218763	0.0478339
le	0.051504	0.0553867	0.0436982	0.062753	0.0429486	0.0654563	0.046504	0.048042	0.0566796	0.0474577	0.0274261	0.0279876	0.015622	0.0137571	0.0182809	0.0107384	0.00970444	0.00789393	0.00994929	0.00909939	0.0111271	0.0157302	0.0122224	0.0153853	0.0166572	0.0139081	0.0193595	0.0199776	0.0193617	0.0229335	0.0195677	0.0155812	0.0262827	0.0203413	0.080675
dédommager	0.0389674	0.038139	0.0340102	0.0454396	0.0360425	0.0474703	0.0530197	0.040664	0.0490265	0.0319367	0.0282538	0.0550567	0.0330695	0.0198396	0.0384106	0.0217718	0.0191453	0.0151787	0.0170688	0.00708915	0.00387953	0.00289403	0.00172224	0.00185519	0.00293345	0.00127313	0.00234063	0.00720841	0.0126968	0.0155559	0.0195714	0.00404283	0.0203736	0.0153965	0.218656
pour	0.0296114	0.0314721	0.0282705	0.0466089	0.0229047	0.0416743	0.0387309	0.0413755	0.0403453	0.0412308	0.0372643	0.0373209	0.0290561	0.0359014	0.0312237	0.0347053	0.0603278	0.0181346	0.0200604	0.0201272	0.0189412	0.0116554	0.0115596	0.00888502	0.0134897	0.00382541	0.00561156	0.0115568	0.0140093	0.0259043	0.0184128	0.0263109	0.0263622	0.0362067	0.0809225
son	0.0310576	0.0271886	0.0191996	0.022746	0.0248117	0.024812	0.0223405	0.0286779	0.0304749	0.0191792	0.0156377	0.0191668	0.0119161	0.0116259	0.0131668	0.0212386	0.021439	0.0304456	0.0362975	0.0275901	0.0277025	0.0332897	0.0185803	0.0280675	0.0407266	0.0148232	0.0217975	0.0301968	0.0385759	0.0456561	0.0443978	0.0373305	0.0501483	0.0525344	0.0571609
assiette	0.0260362	0.0235019	0.0238368	0.0248023	0.0207756	0.0161494	0.015543	0.019126	0.0176862	0.0189828	0.0244832	0.0336376	0.0309516	0.0347574	0.0375472	0.0431263	0.0394374	0.0438899	0.0468388	0.0353951	0.0269913	0.0252345	0.010308	0.0109513	0.0192165	0.01072	0.0165437	0.0237524	0.0402213	0.0397461	0.0429997	0.00930876	0.0467242	0.0361529	0.0646248
que	0.0229216	0.0216995	0.0189507	0.028639	0.0232916	0.023001	0.0220402	0.0169284	0.025981	0.0114027	0.0108476	0.0199176	0.0151462	0.0131412	0.0197732	0.0260607	0.0223315	0.0151631	0.0176763	0.0191394	0.0175157	0.0209143	0.00799177	0.0119576	0.0263883	0.00762037	0.0178769	0.0445739	0.0517491	0.0670322	0.0702839	0.0265644	0.0748544	0.075675	0.0849497
j'	0.0224109	0.018678	0.0165897	0.0243728	0.0235645	0.0221153	0.0224656	0.0226114	0.019352	0.016553	0.00937318	0.0244032	0.0195299	0.0128704	0.0207761	0.0173055	0.0158957	0.00876542	0.00928229	0.0132854	0.0128083	0.0288987	0.0318443	0.046598	0.0312386	0.018477	0.0327896	0.0376071	0.0574597	0.0468769	0.0515521	0.0470072	0.0526589	0.0717462	0.0722372
ai	0.0248826	0.0195311	0.0163765	0.0249705	0.0260965	0.0224219	0.0222401	0.0187551	0.0225274	0.0113296	0.00995348	0.0205951	0.0144502	0.0125665	0.0155482	0.0163474	0.0144461	0.0126081	0.0215063	0.0144011	0.0149382	0.0216053	0.0147625	0.0204637	0.0432704	0.0174138	0.0235682	0.0367035	0.049204	0.0600524	0.0589429	0.0679602	0.0623539	0.0691679	0.0780391
cassée	0.0407653	0.0327537	0.0226407	0.0378743	0.0455122	0.0364545	0.0369818	0.0279683	0.0261565	0.0196263	0.0209168	0.0298677	0.0249502	0.024013	0.0223404	0.017542	0.0132505	0.0188137	0.0226932	0.0103543	0.0117387	0.0188352	0.0142087	0.0195664	0.0387791	0.0137352	0.0167982	0.0170621	0.025925	0.0324342	0.0371089	0.0425773	0.0615174	0.0480021	0.070236
</S>	0.0126387	0.0108213	0.0106506	0.018837	0.0191841	0.0128122	0.0168494	0.0144416	0.0103087	0.0141017	0.0142933	0.0165316	0.0154359	0.0109892	0.0198509	0.0214601	0.0189881	0.0173084	0.0160749	0.0201209	0.0225943	0.0267085	0.017088	0.0192899	0.0497556	0.0197242	0.0255585	0.0201647	0.0406306	0.04796	0.04718	0.0521301	0.0829763	0.0811615	0.135379
