 	p	á	b	h	a	n	g	a	n	g	a	l	á	a	b	h	í	b	h	á	o	k	ω	n	í	m	u	</S>
aujourd'	0.0519324	0.064007	0.0762995	0.0522115	0.039353	0.0221708	0.0356701	0.0266847	0.0179336	0.0158736	0.0331933	0.0475935	0.0490521	0.0510012	0.0528945	0.0510305	0.0505919	0.0501177	0.052179	0.0241674	0.0151098	0.0128555	0.0125378	0.0160234	0.0188009	0.0233508	0.0204674	0.0168972
hui	0.0318792	0.0480993	0.0528098	0.0582959	0.0583959	0.0602501	0.0543715	0.0885368	0.0694152	0.0382709	0.0824912	0.03791	0.0116242	0.0116951	0.0109656	0.00901662	0.0155164	0.0261056	0.0285741	0.0418208	0.0351984	0.0287935	0.0210865	0.0302917	0.018569	0.0110237	0.0069661	0.0120271
le	0.0217063	0.0266122	0.0279351	0.0306487	0.0287509	0.0383732	0.0346562	0.0230307	0.0217797	0.0268636	0.0374656	0.0357233	0.0508833	0.0450902	0.0486652	0.0513444	0.0633721	0.0594483	0.0412463	0.0418557	0.035668	0.0325442	0.0290287	0.0263406	0.0324639	0.0370613	0.0355567	0.0158857
féticheur	0.0117628	0.0206726	0.0317038	0.0618811	0.0395811	0.038457	0.039611	0.056453	0.0517261	0.0835659	0.0972262	0.054578	0.0523097	0.0536401	0.0493795	0.0437979	0.0272966	0.0257233	0.0239474	0.0238616	0.0182092	0.00836101	0.00611556	0.00775128	0.00990027	0.0122756	0.0175619	0.0326504
va	0.0249135	0.0393786	0.0419472	0.0413432	0.0488643	0.0482484	0.0571291	0.0751492	0.0700196	0.0696078	0.0748868	0.0738075	0.0561611	0.0336153	0.0236964	0.0122305	0.0110241	0.00998983	0.00889281	0.00598286	0.00686912	0.00951139	0.0164509	0.0199633	0.0236645	0.0210701	0.0285471	0.0470354
prélever	0.0286464	0.0184308	0.0204324	0.0212996	0.0199575	0.0218649	0.0203727	0.0358773	0.0479913	0.0592274	0.0550969	0.0577465	0.0624681	0.0604193	0.0456412	0.0231694	0.0223603	0.0127689	0.0233093	0.0215502	0.0229086	0.0276618	0.0324431	0.0400197	0.0484069	0.0465787	0.0519788	0.0513721
du	0.0300702	0.0203726	0.0173428	0.0185279	0.0197693	0.0316585	0.0258017	0.0338277	0.0414546	0.0492471	0.0486124	0.0541469	0.0502223	0.0408651	0.0327886	0.0323066	0.0318931	0.0329201	0.0336514	0.0285763	0.0266852	0.030845	0.0295524	0.036832	0.0411946	0.0459043	0.0512518	0.0636795
sang	0.0216337	0.0164999	0.0194604	0.0214054	0.0204436	0.0206961	0.0272875	0.0347196	0.0313305	0.031265	0.0259043	0.0273553	0.0289296	0.0315338	0.0237572	0.0233195	0.0252409	0.0226751	0.0285043	0.0301529	0.031111	0.0578252	0.0605895	0.0624694	0.0622529	0.0596817	0.0545777	0.0993779
sur	0.02616	0.0210734	0.020752	0.0255856	0.024755	0.0314187	0.0322621	0.0362676	0.0410415	0.0453414	0.0385651	0.0369925	0.0309257	0.0318155	0.0207999	0.0165385	0.0176931	0.0229555	0.0200649	0.0181671	0.0217657	0.036198	0.0295805	0.0500129	0.0547533	0.0571987	0.0599333	0.131383
ce	0.0395682	0.0321202	0.0315185	0.0319189	0.031423	0.0314778	0.0320325	0.0370276	0.0327467	0.0305399	0.0220782	0.0210219	0.0165532	0.0109719	0.00858579	0.00657221	0.00564492	0.00679774	0.00846668	0.00884297	0.0127719	0.0366656	0.0354341	0.0647104	0.0854628	0.0987621	0.102907	0.117377
malade	0.0410736	0.0351995	0.0346699	0.033627	0.0294245	0.0187161	0.0219418	0.01746	0.0135184	0.0136519	0.0125956	0.0109506	0.0102844	0.0105194	0.00939796	0.00772264	0.00757581	0.0102671	0.0121369	0.0164823	0.0172247	0.0420198	0.048781	0.0784242	0.097578	0.104232	0.113458	0.131067
</S>	0.0821562	0.0476509	0.0385751	0.0389012	0.0360621	0.0383824	0.0277257	0.0366557	0.0240043	0.0223142	0.0185607	0.0181628	0.0215194	0.0295339	0.0213534	0.0128052	0.00946585	0.00800151	0.00824279	0.0095245	0.00773804	0.0294546	0.0379254	0.055091	0.0715664	0.0672275	0.086945	0.094454
