 	w	á	á	n	ω	o	d	z	e	o	t	í	n	a	a	k	a	á	i	d	í	n	ω	k	y	έ	r	ε	o	t	á	á	s	a	k	a	á	</S>
si	0.132768	0.127295	0.115661	0.0687086	0.0216947	0.0163611	0.0212441	0.0280594	0.0207753	0.0186572	0.0205949	0.0185293	0.0147584	0.0165561	0.0209161	0.014764	0.0155532	0.0213842	0.0165311	0.0170798	0.0110657	0.0106868	0.00628754	0.0046037	0.010043	0.00929483	0.0105881	0.00835013	0.00980207	0.0127011	0.0208893	0.0219843	0.0264841	0.0187956	0.0232169	0.0180152	0.0161807	0.0131203
tu	0.163054	0.108551	0.101474	0.0671775	0.0834969	0.092534	0.0631566	0.0524575	0.0309156	0.0375332	0.0133012	0.0178388	0.0147064	0.0186701	0.0203153	0.00886793	0.0167625	0.0135876	0.00597475	0.00802346	0.00706626	0.00873369	0.00482271	0.00162011	0.00166102	0.00175696	0.00119985	0.00105743	0.00138597	0.00140419	0.00100297	0.00153203	0.00318357	0.00282326	0.00475558	0.00331146	0.00324517	0.0110399
ne	0.0103092	0.00878223	0.0111579	0.0192287	0.0350256	0.034364	0.0473221	0.0304861	0.0560277	0.0480941	0.0248467	0.0447864	0.0514111	0.0593041	0.046187	0.0479216	0.06254	0.0542905	0.0468626	0.0379363	0.025302	0.0140009	0.0167697	0.0126906	0.0119613	0.00756063	0.00397132	0.00244111	0.00244703	0.00872681	0.0119476	0.0133131	0.0088999	0.0113006	0.013109	0.0174589	0.017051	0.0241646
bouges	0.0238788	0.023406	0.0126242	0.0266471	0.0396538	0.0438131	0.0220135	0.0399165	0.0205136	0.0315181	0.0379365	0.0323929	0.0150005	0.0141896	0.0178742	0.0227049	0.0287138	0.0212002	0.0218701	0.0363468	0.0308712	0.0314307	0.0439818	0.0436081	0.0585361	0.0379651	0.042037	0.0456825	0.0213194	0.0176686	0.0135552	0.00840287	0.00853956	0.00929626	0.0111813	0.00932086	0.00998327	0.0244062
pas	0.00797877	0.00780118	0.00778336	0.00997694	0.0117086	0.0117387	0.0111047	0.0128582	0.0174603	0.0199427	0.021217	0.0223747	0.0136883	0.0102559	0.00989439	0.010098	0.0195145	0.0123279	0.0135106	0.0327138	0.0208918	0.023944	0.0234882	0.0229219	0.0386608	0.0338534	0.0429274	0.0481884	0.06	0.0349277	0.0291361	0.0351204	0.0475934	0.0393244	0.0531075	0.0405372	0.058076	0.0633528
je	0.00976265	0.00963827	0.00854016	0.00885089	0.0179841	0.0191869	0.0213438	0.0306281	0.0180619	0.0195662	0.0166973	0.0145841	0.00733987	0.00558133	0.0043467	0.00598361	0.0101088	0.00906	0.0119864	0.0171295	0.0138268	0.0169092	0.0189335	0.0202286	0.0313143	0.0329628	0.0443295	0.0318292	0.0391176	0.0328094	0.0333779	0.0540507	0.0676058	0.067427	0.0593919	0.049244	0.0610441	0.0592172
ne	0.010358	0.00917892	0.00848963	0.00802535	0.0193854	0.0169305	0.0191449	0.0237268	0.0290367	0.0271477	0.0271935	0.0219091	0.0138587	0.0126905	0.0110106	0.0121166	0.0147634	0.0138417	0.0179481	0.0180556	0.0132733	0.0145691	0.0144669	0.0173983	0.01873	0.0187929	0.0253244	0.0247443	0.0288411	0.0228312	0.0259524	0.0335079	0.0454576	0.0414293	0.0554112	0.0752446	0.0782782	0.110936
te	0.0082123	0.00801624	0.00880116	0.0160891	0.0173689	0.0180421	0.0223137	0.0209861	0.0212177	0.0158406	0.017651	0.0125217	0.00806858	0.00964748	0.00803352	0.00983161	0.013422	0.0127891	0.0184312	0.0229846	0.0194274	0.0221617	0.0256253	0.0269181	0.0283842	0.0287676	0.0390204	0.0359592	0.0404854	0.0372959	0.0317859	0.037499	0.0455914	0.037318	0.0565743	0.0580969	0.0642861	0.0745341
ferai	0.0121599	0.0117296	0.00832436	0.018219	0.0217657	0.0205817	0.0314733	0.0288915	0.0290419	0.012491	0.0185548	0.0183174	0.0120184	0.0148594	0.0128476	0.0145728	0.0198134	0.0188325	0.0243451	0.0325057	0.0422226	0.0447743	0.0634803	0.0506793	0.0545586	0.0516757	0.0419348	0.0320675	0.0256154	0.0231677	0.019185	0.013901	0.0113796	0.0099945	0.0301384	0.022047	0.0259709	0.0558625
pas	0.017743	0.0169312	0.010637	0.0125096	0.0104161	0.00873664	0.0108326	0.00973062	0.0107304	0.00681214	0.00915132	0.0106518	0.0113067	0.0141013	0.0114765	0.0136654	0.0175441	0.0170497	0.0236242	0.0254778	0.0321443	0.0528869	0.079713	0.0590567	0.0650712	0.0618946	0.0617207	0.054943	0.0465678	0.0444675	0.0298537	0.0203859	0.015359	0.015073	0.0197783	0.019467	0.0239184	0.0285712
de	0.0353657	0.0203878	0.0220567	0.0392326	0.0395418	0.0326445	0.0480009	0.035701	0.0369116	0.0114743	0.0183221	0.012973	0.0101735	0.0158046	0.0164258	0.0237555	0.0274978	0.0227073	0.0192576	0.0230877	0.0287407	0.0249293	0.0387843	0.0304017	0.0431422	0.0300137	0.0151881	0.0109206	0.00913158	0.00913391	0.0119907	0.0105732	0.00975059	0.0161177	0.0408464	0.0233534	0.044125	0.0915349
