 	o	k	w	έ	r	i	t	s	έ	r	έ	w	ó	s	í	b	á	y	á	a	d	é	e	</S>
où	0.0139897	0.0109313	0.0169118	0.0199041	0.0233367	0.0203453	0.0199225	0.0377709	0.0466037	0.0493473	0.0445117	0.051112	0.0831683	0.0651172	0.066315	0.0550083	0.0719747	0.0539376	0.0537673	0.0554452	0.0471725	0.0390475	0.0335549	0.0208045
est	0.107888	0.0519483	0.0489825	0.0640725	0.108803	0.0630091	0.0511345	0.0466399	0.0505766	0.0550461	0.0380257	0.0423797	0.0311676	0.0428714	0.0223893	0.0208094	0.0183578	0.0132736	0.009977	0.0253265	0.0245055	0.0191659	0.0234772	0.0201735
celui	0.0520993	0.0417503	0.0247405	0.0758934	0.0507685	0.0454699	0.0291614	0.0427152	0.0433821	0.0432124	0.0115097	0.0263494	0.0423402	0.0326754	0.0360216	0.0711312	0.0652678	0.0439088	0.0542947	0.0519703	0.0401521	0.021351	0.0400567	0.013778
qui	0.0587755	0.0796862	0.0286421	0.0725955	0.0642264	0.0600574	0.0388971	0.0292264	0.0268015	0.0345949	0.0378909	0.0272053	0.0284813	0.0207439	0.0199451	0.0261533	0.0284104	0.024258	0.0341366	0.0476221	0.0380574	0.0478921	0.0656592	0.0600417
a	0.0344431	0.0496536	0.0376204	0.060744	0.0554006	0.0614733	0.0657006	0.0464145	0.0525454	0.0571646	0.0221421	0.0318931	0.0345414	0.011779	0.0182275	0.0142889	0.0289788	0.0483225	0.0395535	0.0225048	0.0276687	0.0241545	0.0554696	0.0993156
enfoncé	0.0575804	0.0534467	0.0424961	0.0445863	0.0332422	0.0306505	0.0306317	0.0199272	0.0233416	0.0292644	0.023809	0.025594	0.0490495	0.0383058	0.0494219	0.0391915	0.0592314	0.0630339	0.0566587	0.038854	0.0292289	0.0347002	0.0558539	0.0719003
cette	0.061436	0.0718275	0.0335846	0.0397882	0.0283331	0.0294631	0.0232079	0.0173181	0.0164444	0.0217601	0.0173553	0.0223721	0.0478921	0.0432144	0.0625465	0.0706251	0.0604747	0.0428391	0.0337871	0.0206977	0.0162939	0.0363763	0.0488815	0.133481
pointe	0.0910976	0.0981682	0.0636363	0.0583347	0.0320397	0.0258739	0.0114957	0.00890742	0.008178	0.00997665	0.00971846	0.023991	0.0376045	0.00974992	0.0193766	0.0125326	0.0158888	0.0237433	0.0203869	0.027879	0.0392334	0.0617392	0.0902547	0.200193
dans	0.105684	0.0573676	0.0348031	0.0246764	0.0197148	0.0155472	0.0134776	0.00565166	0.0106811	0.0158833	0.0288559	0.0311417	0.0474198	0.0433243	0.0466346	0.0402675	0.0584327	0.0455289	0.0790165	0.0771497	0.0272052	0.042542	0.0507573	0.0782367
la	0.0722135	0.0482301	0.0627586	0.0432683	0.041163	0.0408203	0.0508088	0.0254761	0.0252995	0.0233144	0.0140898	0.0199014	0.0190778	0.0178544	0.0245213	0.0119282	0.0174427	0.0242833	0.0422868	0.0461754	0.0406122	0.0452458	0.0798146	0.163414
planche	0.0659781	0.0409137	0.0376134	0.0268723	0.0209967	0.0155308	0.0178556	0.0148424	0.0173718	0.0146371	0.0171194	0.00818379	0.0190879	0.00517737	0.0053131	0.00488312	0.00686518	0.00922535	0.0116872	0.0161138	0.0610199	0.0908126	0.167246	0.304654
</S>	0.0688193	0.0461697	0.0435208	0.0382652	0.0373409	0.0436815	0.0498676	0.0320758	0.0487563	0.0491591	0.0426136	0.0346536	0.0227744	0.0223382	0.0218375	0.0317859	0.0334121	0.0341626	0.0356174	0.0415411	0.0369646	0.0499057	0.0503536	0.0843832
