 	a	b	á	á	á	d	i	o	m	b	v	ú	n	u	ω	p	ω	ώ	l	a	a	s	a	n	y	a	</S>
il	0.0810157	0.0684722	0.150427	0.168962	0.182656	0.139197	0.0568259	0.0196299	0.0104875	0.00704334	0.00549856	0.00845147	0.00559764	0.00726922	0.00468651	0.00480061	0.00441738	0.00425521	0.00430056	0.00472432	0.00473012	0.00606203	0.00952995	0.0104525	0.0108325	0.0109777	0.00869605
y	0.0310633	0.040688	0.0416185	0.0322824	0.0334505	0.0283587	0.0328718	0.0383045	0.0311308	0.0149311	0.0346653	0.0201468	0.0514829	0.0637076	0.0930421	0.119408	0.0739046	0.0648252	0.0408196	0.0274082	0.0210809	0.0158889	0.0122445	0.00871406	0.00566959	0.00800859	0.0142834
a	0.0720879	0.0399894	0.0194562	0.0178943	0.0249379	0.0284362	0.0628399	0.0423771	0.0462436	0.0419692	0.0416232	0.0367002	0.0453171	0.05948	0.0640207	0.0629782	0.057785	0.0378484	0.0300176	0.0254588	0.0188523	0.0207109	0.0201897	0.0233972	0.0204391	0.0197233	0.0192263
autant	0.0226428	0.0259138	0.0219269	0.0255379	0.0247906	0.0242726	0.0379095	0.0201651	0.0248569	0.0211153	0.0236739	0.0162078	0.022781	0.0415385	0.0591564	0.0922638	0.100395	0.0775144	0.0481669	0.0390365	0.0332542	0.0384619	0.0316267	0.03086	0.0286274	0.0324055	0.0348984
de	0.00972435	0.00980525	0.00781834	0.0108518	0.0120429	0.0159741	0.0303973	0.0369043	0.0616411	0.0647272	0.0617486	0.0427242	0.0404823	0.0315666	0.0421785	0.042757	0.0439224	0.0413912	0.0404674	0.0435395	0.0416207	0.0349135	0.0337376	0.0469173	0.0403447	0.0502468	0.0615552
couteaux	0.0294465	0.0378598	0.023554	0.0227542	0.0214631	0.0183643	0.0222265	0.0339676	0.051286	0.0557689	0.0548305	0.0338325	0.0281072	0.0194037	0.0145904	0.0181234	0.0289851	0.0392924	0.0336632	0.0476652	0.0476871	0.0502212	0.0435189	0.0499088	0.0503969	0.0530654	0.0700171
que	0.0196835	0.0243387	0.0189763	0.0244876	0.0233515	0.0238666	0.0288366	0.0345209	0.0521022	0.0628769	0.0655065	0.0420288	0.0344567	0.0197771	0.01762	0.022265	0.0284669	0.0367115	0.0379308	0.0453023	0.0483765	0.0439284	0.0449104	0.0425785	0.0367853	0.0496384	0.0706762
des	0.0254399	0.0301807	0.025197	0.0270969	0.0291381	0.0310438	0.0291266	0.0319097	0.0361808	0.046716	0.0497107	0.0486629	0.0351963	0.028906	0.018807	0.0234446	0.0252665	0.0281445	0.0199833	0.023262	0.0275442	0.0299641	0.0326596	0.0414613	0.0564486	0.0850267	0.113482
fourchettes	0.0288357	0.0215833	0.0210355	0.0206062	0.0235474	0.0254447	0.0258612	0.018747	0.0198058	0.0168096	0.0170642	0.0109944	0.012738	0.0139161	0.0245639	0.0306242	0.0420636	0.0386909	0.0548302	0.0646793	0.064463	0.0608566	0.0674691	0.0654357	0.0619953	0.0711718	0.0761672
</S>	0.0259046	0.018433	0.016054	0.0177394	0.0163904	0.016568	0.0168023	0.0156671	0.0186331	0.0172416	0.0176466	0.0142965	0.0136872	0.0217775	0.0295176	0.0511057	0.0754962	0.0704082	0.0586267	0.065053	0.0550036	0.0566812	0.054522	0.0561555	0.0544938	0.0569765	0.0691187
