 	i	k	ω	n	í	á	m	i	í	b	h	o	n	í	s	á	m	w	á	n	a	o	y	ú	r	u	w	ó	</S>
la	0.0140679	0.0125776	0.0120333	0.0115009	0.0109735	0.0111139	0.0104499	0.0191022	0.0234706	0.026058	0.0293952	0.0338954	0.0254065	0.0313244	0.0245667	0.0234843	0.0203683	0.0338051	0.0257698	0.0473435	0.0536647	0.0813699	0.0741977	0.0832705	0.0773874	0.0645846	0.0430724	0.0360611	0.0396849
maladie	0.198989	0.297251	0.147949	0.158185	0.0357674	0.0172822	0.0118715	0.0251118	0.0323656	0.0204238	0.0125866	0.00388311	0.0017491	0.00369089	0.00247044	0.00191246	0.00218723	0.00102371	0.00162563	0.00370874	0.00101121	0.00369565	0.00279286	0.00340833	0.00296667	0.00167236	0.00180862	0.000560218	0.00205043
a	0.0559337	0.0364671	0.0158675	0.0203909	0.0167419	0.0135448	0.0255385	0.0500385	0.038	0.0371268	0.0337729	0.0185449	0.0364635	0.024433	0.0568009	0.0494295	0.057286	0.0905285	0.0535964	0.0248469	0.0453971	0.0218201	0.0199974	0.0238677	0.0291363	0.0298054	0.0413854	0.017225	0.0160133
fait	0.0385503	0.0779951	0.0526558	0.0603992	0.0549342	0.0442736	0.0524908	0.0997974	0.0546231	0.0717141	0.0756757	0.0205297	0.0394111	0.024808	0.0255353	0.0154758	0.0207577	0.0185101	0.012565	0.0147582	0.00743782	0.00870333	0.0088574	0.0115116	0.0131501	0.00874018	0.0135533	0.0166939	0.0358922
perdre	0.0182416	0.0144306	0.0139276	0.023058	0.0269402	0.0600522	0.0462275	0.0629121	0.0484297	0.0292376	0.025369	0.0311787	0.0448892	0.0371877	0.0526322	0.0276461	0.0299297	0.0377159	0.0257772	0.0358482	0.02483	0.0248999	0.0231642	0.0239122	0.0264888	0.0379644	0.0288511	0.047057	0.0712012
la	0.0161948	0.0169513	0.0184801	0.0210154	0.0325067	0.0487804	0.0438159	0.0464817	0.0566279	0.0266067	0.0245339	0.0263662	0.0329773	0.0326502	0.0331898	0.0434596	0.0460738	0.03647	0.0321569	0.0270214	0.0315003	0.0254965	0.0246366	0.025702	0.0277479	0.0276097	0.0364675	0.04565	0.0928295
mémoire	0.0506111	0.0431089	0.0430021	0.033648	0.0319819	0.0176646	0.00750074	0.00774068	0.00824372	0.0237109	0.0302751	0.0237742	0.0276352	0.0268233	0.0401807	0.0208268	0.0434081	0.011141	0.0340819	0.0403126	0.0240552	0.0447551	0.0417153	0.0403651	0.0366627	0.0423663	0.0517048	0.0591042	0.0935996
à	0.0602296	0.0314435	0.0305561	0.0283406	0.0256704	0.0267149	0.0240752	0.0279991	0.0252878	0.0263638	0.0263697	0.0257288	0.0290824	0.0325018	0.0573498	0.0620054	0.0893156	0.0196839	0.0356753	0.0269239	0.00909296	0.0369668	0.0188435	0.0134756	0.00914011	0.0182866	0.0234431	0.0697301	0.0897035
cette	0.0417494	0.0447034	0.0366034	0.029444	0.0341816	0.016378	0.0100996	0.00730643	0.00604454	0.00684329	0.00944866	0.0128179	0.00986853	0.0108051	0.031785	0.0217783	0.0483519	0.0119301	0.0448241	0.0523826	0.0226919	0.0376022	0.0486648	0.0502509	0.0417909	0.0440536	0.0698274	0.0872387	0.110534
fille	0.0737348	0.0457371	0.0452014	0.0387837	0.0443481	0.0248866	0.0209144	0.0150544	0.0184376	0.0202812	0.0194794	0.0307899	0.0212519	0.0115173	0.0268461	0.0117845	0.0172218	0.0125291	0.0123788	0.0336928	0.00851934	0.0528455	0.018759	0.0197298	0.02055	0.0268919	0.065876	0.0869274	0.15503
</S>	0.0556346	0.033377	0.028566	0.027003	0.026909	0.0223704	0.0206389	0.0192984	0.0156993	0.0148635	0.0164595	0.0149564	0.0260632	0.0231928	0.0405673	0.0356219	0.0435294	0.0120489	0.0288836	0.047217	0.0148908	0.0563466	0.0343058	0.0378536	0.0324873	0.0580465	0.0553206	0.0805399	0.0773089
