 	a	d	í	b	h	e	r	á	ω	d	z	á	b	v	ú	u	m	ó	n	g	o	l	o	y	á	n	d	z	a	a	k	a	á	</S>
on	0.200648	0.275957	0.122181	0.0254383	0.01444	0.0215661	0.011842	0.0103808	0.0164559	0.0137664	0.0174181	0.0181154	0.0119289	0.0160365	0.0211628	0.0110881	0.00817816	0.00926556	0.00833318	0.00775859	0.00588575	0.00562624	0.0058066	0.00809514	0.00978037	0.00842533	0.0135784	0.01377	0.018066	0.0117086	0.0181097	0.0157569	0.013648	0.00978265
ne	0.0963702	0.0985731	0.0527042	0.0291759	0.0296934	0.0268994	0.0453403	0.0326624	0.04616	0.0460667	0.0464217	0.0408585	0.0419731	0.0393823	0.0428953	0.0514247	0.0304954	0.0369244	0.0258333	0.0161188	0.0165805	0.007449	0.00793158	0.00827011	0.0148919	0.0104089	0.00993395	0.00674626	0.00875065	0.00937083	0.00909876	0.00418305	0.00465016	0.00576115
peut	0.0358754	0.0414662	0.0771688	0.0761883	0.0569891	0.0347519	0.0457466	0.059138	0.0486253	0.0520131	0.0526197	0.0364527	0.0413914	0.0343332	0.0346303	0.0222693	0.0259527	0.0206598	0.0238874	0.0319565	0.0297438	0.0141639	0.019809	0.0107546	0.0118704	0.0101097	0.00831418	0.00535581	0.00518037	0.00538171	0.00555306	0.00588083	0.00788729	0.00787977
pas	0.0577126	0.0373626	0.0219136	0.0132001	0.0127993	0.00918171	0.00854581	0.0122309	0.0101048	0.0213428	0.0283397	0.0203715	0.0218723	0.0193943	0.0232806	0.0235186	0.0308368	0.0315281	0.0661358	0.039826	0.0316815	0.0322738	0.0471795	0.036125	0.0443619	0.0396054	0.0308549	0.0252094	0.040177	0.0257824	0.0351647	0.0286611	0.0343931	0.0390325
manger	0.00921322	0.00845122	0.0104094	0.0232021	0.0339792	0.0239398	0.0266586	0.0324083	0.0284968	0.0369993	0.02882	0.0170154	0.0150965	0.0104501	0.00983142	0.0135249	0.0211787	0.0217793	0.0331784	0.0322915	0.0462728	0.0487367	0.0537892	0.0663204	0.0493517	0.0436203	0.0340533	0.0350198	0.0315764	0.0204641	0.0377572	0.0265216	0.0311431	0.0384492
autant	0.0309967	0.0159266	0.0182912	0.0240455	0.0348163	0.0377325	0.0619397	0.0619328	0.0458546	0.0347434	0.0241008	0.0122571	0.00798049	0.00772597	0.00712398	0.0104673	0.0170543	0.0199673	0.0240977	0.0240113	0.0246247	0.0223639	0.0294624	0.0282126	0.0281351	0.0406252	0.0392909	0.0429867	0.0304945	0.0154991	0.0362141	0.0215386	0.0388588	0.0806276
sans	0.0344425	0.022251	0.0253726	0.0268981	0.0334721	0.0349777	0.0512669	0.0535529	0.0361721	0.0406604	0.0263524	0.0117693	0.00847049	0.00854773	0.00660351	0.00838557	0.01529	0.0175353	0.0203453	0.0309711	0.0301375	0.0257756	0.0407173	0.0374637	0.0336335	0.0369022	0.0361339	0.0347352	0.0306374	0.0145845	0.0330667	0.0236059	0.0390546	0.0702148
être	0.0828751	0.0358836	0.0314079	0.0213621	0.0250957	0.0212578	0.029622	0.0307414	0.0155116	0.0189273	0.0161929	0.0104009	0.00811859	0.0102546	0.00850647	0.0134834	0.0270501	0.0315182	0.027388	0.0299206	0.0240165	0.0203654	0.02483	0.0202023	0.0171979	0.020509	0.0288511	0.0446141	0.0438452	0.0204256	0.0472376	0.0384917	0.0572082	0.0966869
malade	0.0652943	0.0525458	0.0580985	0.0404913	0.0316835	0.0140622	0.0107924	0.0100918	0.0087695	0.0145441	0.0138787	0.0124162	0.0116704	0.0141795	0.0120129	0.0205635	0.0251949	0.033173	0.0318136	0.0418578	0.0462987	0.0282651	0.0359291	0.0329344	0.0348865	0.0273161	0.0247124	0.0253729	0.0240251	0.0165164	0.0371159	0.0294802	0.030161	0.0838521
</S>	0.0698316	0.0544752	0.0509358	0.0383149	0.0369742	0.0275126	0.0155454	0.017917	0.0128731	0.0162211	0.0144081	0.0129011	0.0134072	0.0138117	0.0147578	0.0215795	0.0230146	0.026397	0.0293548	0.032551	0.0314462	0.0273336	0.0206085	0.0234563	0.0148529	0.0142812	0.0157678	0.0235361	0.0281163	0.0402308	0.0407515	0.0558692	0.046954	0.0740119
