 	a	t	á	á	á	b	í	s	í	á	s	á	a	m	ω	n	g	ω	a	n	g	ó	l	ó	m	i	á	s	á	a	b	á	a	b	ó	n	d	á	l	a	b	á	a	</S>
nos	0.0895433	0.0964885	0.0951273	0.082674	0.0927393	0.0471316	0.0383774	0.0374926	0.0352281	0.0323498	0.0361354	0.0277498	0.0215566	0.0204615	0.0210594	0.0144469	0.00946487	0.00658645	0.00742086	0.00619661	0.00623425	0.00952948	0.00526618	0.00434529	0.0033558	0.00418749	0.00493522	0.00386417	0.0029647	0.00362858	0.00486651	0.00477027	0.00502224	0.00478297	0.00768622	0.0085348	0.00872746	0.0101617	0.0126705	0.0161521	0.0117118	0.012541	0.0120374	0.0137935
pères	0.0286024	0.0351586	0.0297785	0.0211436	0.021777	0.0254887	0.0697885	0.0580094	0.0809011	0.0674597	0.0591003	0.0423781	0.051966	0.0375434	0.0294233	0.0257635	0.0190039	0.0147189	0.009886	0.0111891	0.008475	0.00798586	0.00342825	0.00221613	0.00160448	0.00407377	0.00282488	0.00662344	0.00462533	0.00552413	0.00951629	0.00986856	0.0163099	0.0127798	0.0174213	0.0155288	0.0168221	0.0153124	0.0273795	0.0410371	0.0156512	0.00608014	0.00596005	0.00387137
sont	0.0367944	0.0222811	0.0122071	0.00855132	0.00737594	0.00820901	0.0159963	0.0222462	0.0348847	0.0375072	0.0554096	0.0618042	0.0644025	0.040877	0.0264062	0.0200891	0.037949	0.0305878	0.0544555	0.0343153	0.030858	0.0363839	0.0219396	0.0203246	0.0141707	0.0109784	0.0113835	0.0100253	0.0103279	0.00903149	0.0070152	0.00772711	0.0115652	0.0109928	0.0171161	0.0130888	0.0120547	0.012655	0.0239924	0.023928	0.0167347	0.00937725	0.0137236	0.0122562
encore	0.0100299	0.0177024	0.018362	0.0149049	0.0106699	0.0154183	0.0215655	0.012827	0.0140356	0.0124692	0.0121676	0.0142243	0.0150436	0.0224985	0.0209465	0.0219159	0.025863	0.0250355	0.0278243	0.0357586	0.0369708	0.0409637	0.049371	0.0454813	0.0412557	0.0346568	0.0337525	0.0271642	0.0340804	0.018965	0.0111749	0.0134143	0.0152711	0.012246	0.0193073	0.0304996	0.0290072	0.0255376	0.0296822	0.0243233	0.0174311	0.0127802	0.0144117	0.0129896
vivants	0.00595245	0.00588464	0.00478628	0.004177	0.00448688	0.00498728	0.00679573	0.0108622	0.0154304	0.0184008	0.0131703	0.0139702	0.0157475	0.0136746	0.0164429	0.0206072	0.0191971	0.028018	0.0234337	0.021744	0.024597	0.0308594	0.0447084	0.0708464	0.0747778	0.0382616	0.0394954	0.0292725	0.0354445	0.0391541	0.0372629	0.0342604	0.0417099	0.0337121	0.0234263	0.0151159	0.0114475	0.0111365	0.011065	0.011834	0.014336	0.0177804	0.0155719	0.0261548
nos	0.0146871	0.0117799	0.0114082	0.0105418	0.00961767	0.00948858	0.0112829	0.0129589	0.0153336	0.0164624	0.0162703	0.0179293	0.0208707	0.020748	0.0188637	0.0181774	0.0147455	0.0172707	0.0170131	0.0136223	0.0155705	0.0174305	0.026046	0.0368957	0.0472856	0.0348369	0.0373296	0.0275514	0.0421894	0.0461674	0.0487992	0.0193233	0.0359405	0.0202732	0.0284642	0.0213335	0.0178387	0.0196902	0.0199622	0.0214689	0.0257866	0.0286653	0.0259655	0.0361137
oncles	0.00880697	0.00472265	0.00412554	0.00403775	0.00376419	0.00370812	0.00504186	0.008858	0.0145941	0.0186838	0.0209704	0.0201336	0.023962	0.0198068	0.0227516	0.022463	0.0256982	0.0249369	0.0263157	0.0279741	0.0436594	0.0347893	0.0355888	0.0389795	0.0293793	0.042278	0.0474299	0.052135	0.0457283	0.041585	0.0295636	0.0103336	0.00937316	0.00429165	0.0114735	0.0136321	0.0116555	0.00829198	0.0167749	0.0183369	0.0206769	0.0240192	0.0353445	0.0633246
doivent	0.0111056	0.0104513	0.00981041	0.00943226	0.00720918	0.00939087	0.010691	0.0104812	0.0149691	0.0232703	0.0200882	0.0275391	0.025625	0.0135769	0.0130175	0.0169992	0.0232632	0.0222768	0.0198812	0.0157539	0.0184116	0.0161632	0.0194803	0.0222493	0.0353647	0.0340168	0.0363319	0.0366297	0.0527439	0.040892	0.0376726	0.0163754	0.0318347	0.0177814	0.042178	0.0409371	0.0190992	0.0160817	0.015014	0.0132897	0.0202525	0.0206806	0.0224704	0.0592173
se	0.0239251	0.0221321	0.0223052	0.0215992	0.0151254	0.0147484	0.0189083	0.00670469	0.00734269	0.00633304	0.00623586	0.00633539	0.0081411	0.00923783	0.00879264	0.0075598	0.00963374	0.0105506	0.0108738	0.012867	0.0177236	0.0221033	0.0180866	0.0331646	0.0871573	0.0645804	0.0662158	0.0440362	0.0542923	0.0433511	0.0282554	0.0147942	0.0144393	0.00909979	0.0140145	0.0140004	0.0125446	0.00974953	0.0104673	0.0118687	0.0152249	0.0139354	0.0561349	0.075408
conformer	0.02125	0.0191955	0.0179081	0.0138213	0.0102126	0.0100318	0.00798946	0.00408889	0.00440089	0.004858	0.00559803	0.00708755	0.00640986	0.00937968	0.00792576	0.00847579	0.00777611	0.0115498	0.00828399	0.010812	0.0186062	0.0215221	0.0211489	0.0350172	0.0608644	0.0417946	0.0443003	0.0308664	0.0423938	0.0296579	0.0322245	0.0202816	0.0172085	0.00733179	0.0092107	0.0137515	0.0118983	0.0089321	0.0189905	0.0216829	0.0290804	0.0400306	0.0764558	0.149694
à	0.00934992	0.00893022	0.00950083	0.00969309	0.00942672	0.00945404	0.00995946	0.00880366	0.00931786	0.00885013	0.00960482	0.00965242	0.00970039	0.0101549	0.00906745	0.0100589	0.0109962	0.0131322	0.0103179	0.0129809	0.0188826	0.0184922	0.0126056	0.0181216	0.0490449	0.0408822	0.0402978	0.034234	0.0467853	0.0454974	0.0359964	0.0298557	0.0337348	0.0227653	0.0260986	0.0301594	0.0235494	0.0177248	0.0278643	0.0264859	0.0376078	0.042462	0.0529742	0.0689258
leur	0.0121375	0.0113197	0.0112774	0.0112803	0.0111215	0.0111374	0.0114954	0.00845045	0.00873584	0.00636187	0.00586372	0.00558243	0.00601693	0.00626603	0.00578713	0.00573705	0.00697018	0.00731744	0.00696005	0.010405	0.015516	0.0190476	0.0115759	0.0152863	0.032822	0.03036	0.0350163	0.0297761	0.0397017	0.0360295	0.0354065	0.0279091	0.0372106	0.0287521	0.039853	0.0413303	0.0401706	0.0408463	0.0434478	0.0435121	0.0438844	0.0460958	0.0461558	0.0500708
volonté	0.0128033	0.00914243	0.00867192	0.00867357	0.00884051	0.00890487	0.0103521	0.00649674	0.00802413	0.0062898	0.00777859	0.00871874	0.00892363	0.0130091	0.0104629	0.0106149	0.0105991	0.0141719	0.0106096	0.0167123	0.0243075	0.0275848	0.0141372	0.0146461	0.0271302	0.0271315	0.0288238	0.0241	0.0345096	0.0339188	0.0349191	0.0279248	0.0283508	0.0245665	0.0282888	0.0326827	0.0300981	0.0320543	0.0417208	0.0417374	0.042045	0.054948	0.0563449	0.0682291
</S>	0.0197756	0.0129782	0.0119834	0.0102716	0.00750932	0.00716372	0.0097833	0.0108251	0.0117217	0.0121586	0.0128143	0.0139633	0.0104238	0.0110389	0.0150723	0.0129583	0.0194498	0.0228482	0.0222832	0.0266854	0.0306639	0.034583	0.0258419	0.0247344	0.0358082	0.0239364	0.0348098	0.02089	0.0389378	0.0281228	0.0213539	0.0189105	0.0226453	0.0242027	0.0331372	0.0302847	0.0345792	0.0273788	0.0212741	0.0183211	0.0189978	0.0324262	0.0313675	0.0850849
