 	i	b	a	n	y	a	a	m	í	i	d	z	á	á	e	n	g	o	m	á	</S>
les	0.130683	0.0907906	0.0523598	0.0267319	0.0348146	0.0384457	0.0348194	0.032617	0.0434025	0.0606663	0.0745453	0.0529282	0.0614873	0.0500492	0.021286	0.0221479	0.0435434	0.0374629	0.0339636	0.0342557	0.0230002
chenilles	0.0297899	0.0381074	0.0683873	0.143907	0.145661	0.105653	0.137725	0.15187	0.0743556	0.047462	0.0131298	0.00898543	0.00552069	0.00369885	0.00500482	0.00410565	0.00475615	0.00458184	0.00261654	0.00279926	0.00188352
rouges	0.0485942	0.0584514	0.0393905	0.0246151	0.0229484	0.0366293	0.0533245	0.0356145	0.0465786	0.0699744	0.100216	0.0749664	0.0958682	0.0657034	0.0489497	0.0315302	0.0326199	0.0347528	0.0314929	0.0316207	0.0161583
ravagent	0.0243616	0.0229696	0.0336831	0.0347869	0.0544354	0.0531153	0.055531	0.042213	0.0684823	0.0503769	0.0191335	0.0174617	0.019203	0.0188451	0.0541203	0.0538631	0.0649907	0.0688355	0.0690385	0.0717793	0.102774
le	0.0439581	0.0336854	0.0346297	0.0370727	0.0402674	0.0444533	0.0427816	0.0393743	0.0276601	0.0212749	0.0201923	0.0215856	0.0244498	0.0348852	0.0590045	0.069472	0.0712858	0.070012	0.0739117	0.0797757	0.110268
feuillage	0.0395904	0.0228583	0.0215397	0.0228879	0.0267096	0.0404476	0.0394199	0.0281856	0.0300405	0.0346787	0.0322818	0.0378318	0.0450934	0.0546641	0.0778936	0.077271	0.0687729	0.0740812	0.0697328	0.0747917	0.0812273
du	0.0203168	0.0162957	0.016549	0.0182634	0.0249608	0.0348602	0.0324674	0.0291729	0.0277957	0.0307855	0.0202719	0.023581	0.0250856	0.0372198	0.0832042	0.0872383	0.0815481	0.085658	0.0882455	0.0948426	0.121638
grand	0.0317828	0.056505	0.062072	0.0540481	0.0418949	0.0261783	0.0262987	0.0149911	0.0138749	0.0217393	0.0214588	0.0375574	0.0209045	0.0154965	0.109004	0.0565791	0.045733	0.0559273	0.0589436	0.0971407	0.13187
arbre	0.0314936	0.0293808	0.028563	0.0283077	0.0294665	0.0247138	0.0301703	0.0123795	0.00674961	0.0124953	0.0106694	0.023634	0.034458	0.0306474	0.166424	0.0962337	0.0487736	0.0850878	0.0585413	0.0931696	0.118642
engoma	0.0519876	0.0366329	0.0278568	0.0191765	0.0271658	0.0240784	0.0278923	0.0147597	0.01516	0.0239521	0.0195943	0.021981	0.0216375	0.0244032	0.0700468	0.0695017	0.0344041	0.0641878	0.0602107	0.136111	0.209259
</S>	0.0466963	0.0369245	0.0328466	0.0253829	0.0206769	0.0154523	0.0169947	0.0126831	0.00888266	0.00946771	0.00804101	0.0142606	0.0177192	0.0272242	0.0660684	0.0924653	0.0731284	0.090278	0.0879494	0.130613	0.166245
