 	n	g	a	n	g	a	l	á	a	k	a	n	á	m	a	l	é	s	á	o	k	o	s	a	</S>
le	0.0128199	0.0151375	0.0167854	0.0173635	0.0161742	0.0168738	0.0267901	0.027237	0.021745	0.0321104	0.027459	0.0267061	0.0300021	0.0193546	0.0216916	0.0212066	0.067898	0.11664	0.129718	0.113199	0.132836	0.0456203	0.0194507	0.0120862	0.0130937
féticheur	0.0919998	0.208128	0.173411	0.0795898	0.149794	0.0662961	0.0539841	0.0551505	0.0194677	0.0131686	0.0214499	0.0106117	0.00973305	0.0082593	0.00653582	0.00437827	0.00312507	0.00332588	0.00499091	0.00251606	0.00284872	0.00569371	0.00277521	0.00193203	0.00083434
range	0.0179909	0.0215695	0.0252986	0.0246903	0.0583596	0.0608556	0.110616	0.142871	0.111678	0.084374	0.0832657	0.0575526	0.0256242	0.0245213	0.0287952	0.0285296	0.0147208	0.0148925	0.0152317	0.0109883	0.00684027	0.00671212	0.00509616	0.00635911	0.0125668
les	0.0620737	0.0497035	0.0523918	0.0510348	0.0420247	0.0348605	0.0152468	0.0220715	0.0279549	0.0464692	0.0512154	0.0428981	0.032435	0.0212011	0.0317068	0.0180951	0.0456262	0.0344969	0.0323758	0.0545592	0.064178	0.0554587	0.0274909	0.0279522	0.0564791
objets	0.0303101	0.029449	0.0292489	0.0421667	0.0354082	0.0346124	0.0362156	0.0465441	0.0245751	0.0268049	0.0260258	0.023759	0.0253636	0.0327599	0.0579521	0.0448058	0.0578935	0.0552683	0.0602531	0.0540715	0.0473709	0.047002	0.0450757	0.0369744	0.0500895
rituels	0.0246525	0.0183866	0.0181668	0.0186624	0.0200836	0.0237531	0.0279294	0.0413488	0.0295771	0.0365633	0.0366345	0.0325029	0.0376277	0.0338977	0.0563841	0.0572797	0.0559198	0.0418997	0.0475897	0.0388364	0.0403759	0.0464941	0.0574706	0.0715655	0.0863979
dans	0.039129	0.0238156	0.0216195	0.020989	0.0260098	0.0299169	0.03887	0.0511026	0.0317099	0.0322531	0.0268722	0.0257178	0.0315156	0.0266694	0.037432	0.0434111	0.0568713	0.0519371	0.0480617	0.0410675	0.0457951	0.0501768	0.0411408	0.0672172	0.0906991
une	0.0496853	0.0377251	0.0317642	0.0305693	0.0291835	0.0337729	0.0362152	0.04594	0.028246	0.0284533	0.0296576	0.0308983	0.0386683	0.0353198	0.0438089	0.0379541	0.0456103	0.0321167	0.0213865	0.0194932	0.0245809	0.0391001	0.0466359	0.0909998	0.112215
boîte	0.0384419	0.0297753	0.0229799	0.0214618	0.0186004	0.0227939	0.0203991	0.0129805	0.0183122	0.0139906	0.0151884	0.0144592	0.0116737	0.0189467	0.018164	0.0146833	0.0219714	0.0544829	0.0568553	0.0648794	0.0416046	0.0552462	0.0536072	0.127461	0.211041
</S>	0.141576	0.0866458	0.0551106	0.0465505	0.0184847	0.0267581	0.0196391	0.0160542	0.0159139	0.0108339	0.0119212	0.00914941	0.0120069	0.0178385	0.0326205	0.0249265	0.0484086	0.0360329	0.0347647	0.0240927	0.0287401	0.0381966	0.0553497	0.0905149	0.0978706
