 	y	o	l	i	a	d	i	í	s	ó	l	ω	n	g	ώ	</S>
le	0.0182858	0.0117807	0.0116919	0.00879964	0.0175614	0.0279899	0.0746479	0.062078	0.119322	0.255791	0.208565	0.072019	0.0411089	0.0220407	0.0217293	0.0265888
lézard	0.0811432	0.140299	0.155531	0.168197	0.0662499	0.159914	0.163571	0.0353991	0.0157304	0.0102538	0.00106612	0.00118816	0.000302493	0.000374064	0.000419079	0.000361059
à	0.23063	0.05878	0.11995	0.0669858	0.0387857	0.0303357	0.029116	0.0402765	0.0285879	0.0245468	0.0381009	0.0403745	0.052838	0.0580416	0.0752616	0.0673895
gueule	0.0293036	0.0516892	0.0673503	0.0684343	0.0343202	0.0107471	0.0153952	0.0378966	0.0544181	0.106736	0.165222	0.133991	0.0897126	0.0434337	0.0365009	0.0548487
rouge	0.0877481	0.0773055	0.0477546	0.0286431	0.0211955	0.0183641	0.0133342	0.0218907	0.0213374	0.0302698	0.0721316	0.121675	0.104624	0.0856431	0.0934795	0.154603
vit	0.0572573	0.0445327	0.0339902	0.0247808	0.0131494	0.00819185	0.0138903	0.0182192	0.0238168	0.0412577	0.0853901	0.164649	0.126024	0.0766477	0.0844403	0.183763
dans	0.0467232	0.0387925	0.0329831	0.0359739	0.0151698	0.00972311	0.0126821	0.00975981	0.00957074	0.0513973	0.0787599	0.16137	0.149099	0.0747691	0.0773391	0.195887
la	0.0810524	0.0640079	0.0496287	0.0246244	0.0123195	0.00844117	0.0114428	0.0202883	0.0186945	0.0237396	0.0285214	0.114931	0.16286	0.0739578	0.100348	0.205142
plaine	0.0449478	0.0319377	0.0184097	0.0104824	0.00548453	0.0043517	0.00312865	0.00515886	0.00555871	0.00831916	0.0248228	0.0756898	0.151846	0.199447	0.19227	0.218146
</S>	0.0942095	0.0722818	0.0366346	0.0177183	0.0119002	0.0104934	0.00485351	0.0135229	0.0108319	0.0118654	0.0176059	0.0538196	0.101787	0.104397	0.15277	0.285309
