 	b	a	r	e	á	t	s	ω	á	d	z	e	b	á	a	s	í	m	b	í	s	á	p	ώ	ω	y	έ	έ	s	e	r	í	w	a	</S>
tout	0.122785	0.0753046	0.0179823	0.00914099	0.012515	0.0315035	0.0222474	0.0389972	0.0378226	0.0393553	0.0435262	0.0465252	0.0521579	0.0537026	0.0596112	0.0497064	0.0431694	0.0264358	0.0141327	0.0117139	0.00908704	0.00918731	0.0124233	0.0106282	0.0116191	0.0107611	0.00776379	0.0114561	0.00720139	0.0145546	0.00853842	0.0269241	0.0215019	0.0151455	0.0148727
le	0.0393978	0.0379879	0.0777682	0.11394	0.139133	0.133374	0.109134	0.04764	0.0303808	0.0255194	0.029499	0.0244544	0.0102792	0.0232371	0.00649411	0.0118795	0.0038376	0.0052038	0.00539349	0.00348975	0.00565493	0.00648441	0.00407998	0.00614196	0.00679587	0.00953365	0.00760124	0.0111875	0.010732	0.00796484	0.00727438	0.0170612	0.0133435	0.00286102	0.00524082
monde	0.0530422	0.0366407	0.0422802	0.0580098	0.0559518	0.085736	0.0749401	0.0611768	0.0535104	0.0399479	0.0235868	0.0320577	0.0226346	0.020064	0.0145903	0.0225646	0.0135738	0.0220202	0.0136981	0.0153127	0.00983507	0.00858694	0.0119778	0.00782458	0.0148159	0.0131208	0.0144607	0.0082236	0.011425	0.0111971	0.0130502	0.0208658	0.0371614	0.0328181	0.0232983
acquiesçait	0.0359835	0.033121	0.0381175	0.0490633	0.0510204	0.0458703	0.0483339	0.0448819	0.0457554	0.056761	0.0667136	0.0655818	0.0729312	0.0491114	0.0378151	0.0344463	0.0237349	0.0237263	0.0179283	0.0124849	0.00995387	0.00901808	0.00755731	0.00504667	0.00682117	0.00712819	0.0176258	0.0037617	0.00652433	0.00838469	0.011175	0.00892251	0.0113865	0.00582688	0.0274851
à	0.0412507	0.0297431	0.0258827	0.0287574	0.028674	0.0316384	0.0338413	0.0283338	0.0194163	0.0165624	0.0168812	0.0151897	0.0116628	0.0127726	0.0105103	0.0188428	0.0227432	0.0199994	0.0174084	0.0180056	0.0331666	0.0278822	0.0265083	0.0296906	0.0329772	0.0328283	0.0390337	0.0497702	0.0409942	0.0388125	0.0411393	0.0332013	0.0296693	0.0269408	0.0692696
ce	0.0386674	0.0179777	0.0149042	0.0225443	0.0156377	0.0189975	0.0235642	0.0223954	0.0187922	0.015968	0.0134854	0.0188925	0.0196509	0.0171122	0.016348	0.0215249	0.0198355	0.0239124	0.0334202	0.0221962	0.0495625	0.042384	0.0308067	0.0325277	0.0338105	0.0359553	0.0389681	0.0512309	0.0388008	0.0407048	0.0346654	0.041275	0.0315588	0.0249707	0.056952
qu'	0.0133323	0.0149079	0.0132791	0.0205826	0.0186358	0.0257993	0.0376782	0.0303683	0.0280006	0.0209951	0.0200199	0.0232702	0.0213202	0.0194693	0.0189633	0.0171117	0.0170274	0.0218795	0.0263654	0.0159219	0.0299544	0.023497	0.0242556	0.031817	0.0295955	0.0370583	0.0346681	0.0387409	0.0321975	0.0374463	0.0369547	0.0521011	0.0487578	0.0452634	0.0727647
il	0.0195009	0.0147969	0.0128273	0.0188924	0.0170396	0.0267414	0.0491209	0.0460527	0.04575	0.0390546	0.0412231	0.0540105	0.0476031	0.033759	0.0256991	0.0213507	0.0186704	0.0165187	0.0190241	0.0093423	0.0210431	0.0230939	0.0185233	0.0292175	0.0240701	0.0220412	0.0253118	0.0310697	0.0373609	0.0295446	0.0332902	0.0126984	0.0264636	0.0256024	0.0636917
disait	0.0690167	0.0372642	0.0230405	0.0291802	0.0239215	0.0276486	0.0260524	0.0158942	0.0126782	0.0143071	0.0130177	0.0112547	0.0110497	0.0126656	0.0109101	0.0140101	0.0180526	0.0253617	0.0398295	0.0412383	0.039874	0.0389791	0.0345978	0.0370582	0.0392326	0.0377129	0.0475815	0.0237707	0.0392183	0.0185506	0.0225768	0.0178698	0.0165542	0.0232098	0.0868201
</S>	0.0522302	0.0334235	0.0244665	0.0238779	0.0205241	0.0234736	0.0165102	0.014257	0.0126806	0.0122019	0.0111072	0.00962394	0.0125121	0.011363	0.0127261	0.0150693	0.0221442	0.0368153	0.0488732	0.0560483	0.0406174	0.0527079	0.0397179	0.0605927	0.0354714	0.0350566	0.0342516	0.0173163	0.0227277	0.0144588	0.0144371	0.0113452	0.0119196	0.0407257	0.0987258
