 	m	o	r	o	w	o	á	y	a	m	b	á	b	í	s	í	o	b	v	έ	s	á	n	d	é	e	y	á	w	a	</S>
cet	0.00979466	0.0149776	0.0134621	0.0103996	0.0123189	0.0131487	0.0169871	0.0100221	0.0156054	0.0220326	0.0365305	0.0425699	0.0372701	0.0442503	0.0451995	0.0391317	0.040644	0.029886	0.0390071	0.0367446	0.0487982	0.0426594	0.0370657	0.0399413	0.0463934	0.0520784	0.0543579	0.0524367	0.0353663	0.0352165	0.0257038
homme	0.157824	0.176567	0.215686	0.123093	0.0726816	0.065455	0.090086	0.0264898	0.0191954	0.00367973	0.00219082	0.00286745	0.0011828	0.00149524	0.000972345	0.00109989	0.00210491	0.00235311	0.00368582	0.0028065	0.00493661	0.005542	0.00277684	0.00219398	0.00204385	0.0043717	0.00232208	0.00271492	0.00080624	0.000414822	0.000360628
nous	0.0366581	0.0411293	0.0285508	0.0192903	0.0146318	0.0155678	0.00890697	0.00897017	0.0138094	0.0357832	0.0498275	0.0332459	0.026159	0.0540222	0.0491903	0.0595428	0.0761403	0.113012	0.0768282	0.0703889	0.0541384	0.0236445	0.0165641	0.0103088	0.00937742	0.0129998	0.0104677	0.00936615	0.00726207	0.00977903	0.0044366
avait	0.0121991	0.0177057	0.0210211	0.0259869	0.0287471	0.0323665	0.0229943	0.0348647	0.0239019	0.025249	0.0366388	0.0539791	0.0425354	0.0297374	0.0251593	0.0366559	0.040743	0.0455277	0.0618771	0.0703823	0.0508795	0.060934	0.0462949	0.0385493	0.0231944	0.0201543	0.0169571	0.0126616	0.00837443	0.0142594	0.0194689
très	0.0591971	0.0443475	0.0387767	0.0334068	0.0214252	0.0246817	0.0131976	0.0157814	0.0204763	0.0160118	0.0154585	0.0180361	0.0210701	0.0278184	0.0378994	0.0338698	0.0335132	0.0421631	0.0461609	0.0493893	0.0493573	0.0523334	0.0440755	0.0336247	0.0293227	0.031482	0.0243576	0.0266787	0.0189496	0.0247069	0.0524307
bien	0.0694179	0.0555721	0.0551634	0.0310494	0.0315813	0.0377655	0.0254764	0.0270124	0.0223107	0.0106865	0.00769431	0.00783625	0.0110996	0.0133655	0.0127176	0.0198713	0.0285659	0.0310184	0.049396	0.0323869	0.0508043	0.0482982	0.0435112	0.0380393	0.0332183	0.0416718	0.0297395	0.0356383	0.0181146	0.0319366	0.0490404
reçus	0.0392228	0.027225	0.0241945	0.0232888	0.0225839	0.0222587	0.0229224	0.0247979	0.0290277	0.0169219	0.0138652	0.00793926	0.0111873	0.00979034	0.00969256	0.0107952	0.0247089	0.0177897	0.0319022	0.0304399	0.0565404	0.0665541	0.0917694	0.0593203	0.0330324	0.0439069	0.0204924	0.0208417	0.0123834	0.0503404	0.124265
chez	0.0229685	0.017841	0.0166832	0.0167292	0.0191138	0.0209866	0.0180602	0.0189177	0.0230398	0.0149284	0.0145877	0.0119922	0.010734	0.00773311	0.00540882	0.00680115	0.00758578	0.00776218	0.0120571	0.0221236	0.0312983	0.0412102	0.0605632	0.0672014	0.0681693	0.0546415	0.0583158	0.0515887	0.0639172	0.0775379	0.129503
lui	0.0613878	0.0457451	0.0335486	0.0309674	0.022714	0.0210002	0.0181649	0.0172361	0.0138291	0.0198359	0.0231323	0.0215255	0.014235	0.0119058	0.0109764	0.0177137	0.0191614	0.014941	0.02068	0.0298919	0.025474	0.0264689	0.0408495	0.0493762	0.0481382	0.0459313	0.048677	0.0521425	0.0400594	0.06304	0.0912509
</S>	0.0456192	0.0327719	0.0269126	0.0261663	0.0229326	0.0203208	0.0128236	0.00884233	0.00770244	0.00579812	0.00672691	0.00986715	0.00631406	0.0042771	0.00390104	0.00552895	0.00488686	0.00508863	0.00938496	0.0155932	0.0183018	0.0315883	0.0466514	0.07339	0.0733725	0.0733697	0.0686834	0.0682875	0.0703036	0.0890859	0.105507
