 	o	n	y	ε	b	h	í	á	y	a	n	d	z	i	w	á	o	k	o	n	o	o	s	í	b	o	ó	</S>
son	0.00824413	0.0128519	0.0110262	0.022151	0.0481264	0.0276008	0.0275846	0.039564	0.0461349	0.0464908	0.0619152	0.069522	0.111271	0.10701	0.0814303	0.0438747	0.0446819	0.0260807	0.027206	0.0206501	0.0191915	0.0149969	0.015178	0.0140259	0.0126745	0.00945168	0.0132596	0.017805
aîné	0.0232961	0.134167	0.124912	0.0905403	0.0396489	0.0284905	0.022511	0.0218365	0.0191501	0.023014	0.0658349	0.0875208	0.110802	0.11029	0.0341246	0.0183325	0.0115487	0.00499205	0.00838927	0.00340342	0.00619328	0.00296544	0.00135304	0.00297487	0.00188035	0.00119826	0.000306337	0.000323384
lui	0.0502853	0.0297698	0.0392875	0.026417	0.0346939	0.0504896	0.0420618	0.0298891	0.0298717	0.0481692	0.0346311	0.0438359	0.0655833	0.0338677	0.0721576	0.0690368	0.0345046	0.0360928	0.0376729	0.0448729	0.0399019	0.0316743	0.0253389	0.01874	0.00984266	0.00924274	0.00805002	0.004019
a	0.0446687	0.0520095	0.0607151	0.0672902	0.0748894	0.0653988	0.0529816	0.0594164	0.0566851	0.0430446	0.0284101	0.0333483	0.0369513	0.0304001	0.0313794	0.0349632	0.0274071	0.0287731	0.0178139	0.0125109	0.0239217	0.0145742	0.0103652	0.0106771	0.0135084	0.0156175	0.0153946	0.0368843
flanqué	0.0352115	0.030752	0.0348542	0.0319199	0.061088	0.0933854	0.0706769	0.0610459	0.0547465	0.0459778	0.0419697	0.0316837	0.0241957	0.0262757	0.0283103	0.0340018	0.0273349	0.0297146	0.0184945	0.0197788	0.0211457	0.0182619	0.0165096	0.0167317	0.0207622	0.0175909	0.0211831	0.066397
une	0.0304228	0.034375	0.0367828	0.0376297	0.0420026	0.0399307	0.0394449	0.0346607	0.0336096	0.0395293	0.0406096	0.0493324	0.0466425	0.0354988	0.0346999	0.0236557	0.0312144	0.0312452	0.0227675	0.0204627	0.0295335	0.019254	0.0201677	0.0327578	0.0347473	0.0381547	0.0448383	0.0760302
taloche	0.0443678	0.0270058	0.0277024	0.025826	0.0226982	0.0154819	0.0243924	0.0189762	0.012992	0.0106305	0.0141553	0.0200863	0.0185041	0.0145901	0.00757284	0.0166797	0.0304432	0.0381151	0.0400138	0.0434778	0.0453783	0.061738	0.0627799	0.0604546	0.0628902	0.07126	0.0747974	0.08699
sur	0.0368861	0.0291567	0.0319077	0.025849	0.0225074	0.0158579	0.0206778	0.0160741	0.0108601	0.0146139	0.0148666	0.0204758	0.017399	0.0143294	0.0124473	0.021697	0.0312849	0.0307642	0.0447345	0.0385148	0.0553742	0.0636382	0.0546488	0.0587041	0.0517577	0.0661193	0.0800111	0.0988425
la	0.0419038	0.0323104	0.0301269	0.0280116	0.0228359	0.0127701	0.0107523	0.00926318	0.00774031	0.0061728	0.0087947	0.0108276	0.00906716	0.00912182	0.00895061	0.0110565	0.0209607	0.0278919	0.037985	0.0489634	0.0533389	0.0562129	0.0571035	0.0662238	0.0714958	0.0916943	0.0959628	0.112461
tête	0.0315433	0.0333696	0.0319348	0.0279518	0.0201904	0.0102784	0.0082822	0.00660966	0.00598446	0.00658673	0.00724889	0.00521863	0.00484988	0.00579994	0.0118897	0.00893149	0.0201721	0.00885548	0.0180988	0.0152178	0.0265163	0.0357687	0.0475595	0.0729668	0.0744432	0.12008	0.15591	0.177741
</S>	0.119135	0.0638865	0.0565341	0.0664412	0.05593	0.0501098	0.0507357	0.0513187	0.0253923	0.018629	0.0168294	0.01183	0.0102115	0.00705163	0.00587418	0.00685406	0.0121021	0.0160387	0.017726	0.0139294	0.0150727	0.0164725	0.0170743	0.0187407	0.0182602	0.0542042	0.0558118	0.127805
